Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ МЕЖДУ СТАНЦИЯМИ НА УЧАСТКАХ ЖЕЛЕЗНЫХ ДОРОГ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Расстояния между станциями Узбекской ж.д. (код дороги 73),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  1) участок 73-001 ""ХОДЖАДАВЛЕТ (ЭКСП.) - БУХАРА I"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Ходжадавлет (эксп.),до ст. Бухара I,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Хаваст,до ст. Тукимачи,,,,,,,,,,,
  1.,725803 .,Хаваст,   0  км , 148  км ,,,,,,,,,,,
  2.,725201 .,Янгиер,  11  км , 137  км ,,,,,,,,,,,
  3.,725409 .,Янгиер-Новый,  19  км , 129  км ,,,,,,,,,,,
  4.,725108 .,Баяут,  28  км , 120  км ,,,,,,,,,,,
  5.,725004 .,Гулистан,  34  км , 114  км ,,,,,,,,,,,
  6.,724919 .,ОП Ост. Пункт 3476 км,  43  км , 105  км ,,,,,,,,,,,
  7.,724904 .,Акалтын,  47  км , 101  км ,,,,,,,,,,,
  8.,724800 .,Бахт,  59  км ,  89  км ,,,,,,,,,,,
  9.,724707 .,Сырдарьинская,  72  км ,  76  км ,,,,,,,,,,,
 10.,724603 .,ОП Мехнат,  82  км ,  66  км ,,,,,,,,,,,
 11.,724502 .,Новый Чиназ,  84  км ,  64  км ,,,,,,,,,,,
 12.,724406 .,Чиназ,  91  км ,  57  км ,,,,,,,,,,,
 13.,724317 .,ОП Бабаяров,  95  км ,  53  км ,,,,,,,,,,,
 14.,724302 .,Алмазар, 100  км ,  48  км ,,,,,,,,,,,
 15.,724228 .,ОП Дустлик, 103  км ,  45  км ,,,,,,,,,,,
 16.,724213 .,ОП Рамадан, 105  км ,  43  км ,,,,,,,,,,,
 17.,724209 .,Пахта, 109  км ,  39  км ,,,,,,,,,,,
 18.,724020 .,ОП Гульбахор, 119  км ,  29  км ,,,,,,,,,,,
 19.,724016 .,ОП Каунчи, 121  км ,  27  км ,,,,,,,,,,,
 20.,724001 .,Янгиюль, 124  км ,  24  км ,,,,,,,,,,,
 21.,723831 .,ОП Нау, 127  км ,  21  км ,,,,,,,,,,,
 22.,723827 .,Узбекистан, 131  км ,  17  км ,,,,,,,,,,,
 23.,723812 .,ОП Мустакиллик, 134  км ,  14  км ,,,,,,,,,,,
 24.,723808 .,Уртааул, 135  км ,  13  км ,,,,,,,,,,,
 25.,723723 .,ОП Зангиата, 138  км ,  10  км ,,,,,,,,,,,
 26.,723719 .,ОП Эркин, 142  км ,   6  км ,,,,,,,,,,,
 27.,723704 .,Рахимова, 144  км ,   4  км ,,,,,,,,,,,
 28.,723615 .,Ташкент-Южный, 146  км ,   2  км ,,,,,,,,,,,
 29.,723600 .,Тукимачи, 148  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  6) участок 73-007 ""ТУКИМАЧИ - САЛАР (ЧЕРЕЗ СТ. ТАШКЕНТ-ТОВАРНЫЙ)"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Тукимачи,до ст. Салар,,,,,,,,,,,
  1.,723600 .,Тукимачи,   0  км ,  16  км ,,,,,,,,,,,
  2.,722504 .,Хамза,   5  км ,  11  км ,,,,,,,,,,,
  3.,722400 .,Ташкент,  11  км ,   5  км ,,,,,,,,,,,
  4.,720903 .,Салар,  16  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  7) участок 73-008 ""ТАШКЕНТ-ПАССАЖИРСКИЙ - ТАШКЕНТ-ТОВАРНЫЙ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Ташкент-Пассажирский,до ст. Ташкент,,,,,,,,,,,
  1.,720918 .,Ташкент-Пассажирский,   0  км ,   2  км ,,,,,,,,,,,
  2.,722400 .,Ташкент,   2  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  8) участок 73-009 ""САЛАР - КЕЛЕС (ЭКСП.)"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Салар,до ст. Келес (эксп.),,,,,,,,,,,
  1.,720903 .,Салар,   0  км ,  19  км ,,,,,,,,,,,
  2.,720020 .,ОП Ост. Пункт 3362 км,   2  км ,  17  км ,,,,,,,,,,,
  3.,720015 .,ОП Ост. Пункт 3357 км,   7  км ,  12  км ,,,,,,,,,,,
  4.,720000 .,Чукурсай,   9  км ,  10  км ,,,,,,,,,,,
  5.,720104 .,Келес,  14  км ,   5  км ,,,,,,,,,,,
  6.,720602 .,Келес (эксп.),  19  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  9) участок 73-010 ""МАРОКАНД - КАШКАДАРЬЯ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Мароканд,до ст. Кашкадарья,,,,,,,,,,,
  1.,728002 .,Мароканд,   0  км , 127  км ,,,,,,,,,,,
  2.,728017 .,Гумбаз,  19  км , 108  км ,,,,,,,,,,,
  3.,728021 .,Улус,  35  км ,  92  км ,,,,,,,,,,,
  4.,728036 .,Джам,  49  км ,  78  км ,,,,,,,,,,,
  5.,733405 .,Айрытам,  64  км ,  63  км ,,,,,,,,,,,
  6.,733301 .,Алатун,  86  км ,  41  км ,,,,,,,,,,,
  7.,733316 .,Некуз, 107  км ,  20  км ,,,,,,,,,,,
  8.,733208 .,Кашкадарья, 127  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 10) участок 73-011 ""САЛАР - ХОДЖИКЕНТ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Салар,до ст. Ходжикент,,,,,,,,,,,
  1.,720903 .,Салар,   0  км ,  64  км ,,,,,,,,,,,
  2.,721130 .,Луначарского,   2  км ,  62  км ,,,,,,,,,,,
  3.,721126 .,ОП Шахриабад,   4  км ,  60  км ,,,,,,,,,,,
  4.,721111 .,ОП Феруза,   6  км ,  58  км ,,,,,,,,,,,
  5.,721107 .,Нурхаёт,   9  км ,  55  км ,,,,,,,,,,,
  6.,721200 .,Кадырья,  12  км ,  52  км ,,,,,,,,,,,
  7.,721323 .,ОП Кибрай,  15  км ,  49  км ,,,,,,,,,,,
  8.,721319 .,ОП Ботаника,  19  км ,  45  км ,,,,,,,,,,,
  9.,721304 .,Байткургон,  22  км ,  42  км ,,,,,,,,,,,
 10.,721408 .,Бозсу,  28  км ,  36  км ,,,,,,,,,,,
 11.,721412 .,ОП Ниязбек,  31  км ,  33  км ,,,,,,,,,,,
 12.,721501 .,Чирчик,  32  км ,  32  км ,,,,,,,,,,,
 13.,721605 .,Аранчи,  39  км ,  25  км ,,,,,,,,,,,
 14.,721709 .,ОП Паргос,  42  км ,  22  км ,,,,,,,,,,,
 15.,721713 .,ОП Искандер,  44  км ,  20  км ,,,,,,,,,,,
 16.,721802 .,Барраж,  47  км ,  17  км ,,,,,,,,,,,
 17.,721817 .,ОП Бостанлык,  50  км ,  14  км ,,,,,,,,,,,
 18.,722025 .,ОП Ост. Пункт 56 км,  56  км ,   8  км ,,,,,,,,,,,
 19.,722010 .,ОП Каранкуль,  61  км ,   3  км ,,,,,,,,,,,
 20.,722006 .,Ходжикент,  64  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 11) участок 73-012 ""ХАВАСТ - БЕКАБАД (ЭКСП.)"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Хаваст,до ст. Бекабад (эксп.),,,,,,,,,,,
  1.,725803 .,Хаваст,   0  км ,  37  км ,,,,,,,,,,,
  2.,725818 .,Восточный (рзд),   2  км ,  35  км ,,,,,,,,,,,
  3.,726007 .,Фархад,  20  км ,  17  км ,,,,,,,,,,,
  4.,726100 .,Бекабад,  33  км ,   4  км ,,,,,,,,,,,
  5.,726204 .,Бекабад (эксп.),  37  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 12) участок 73-013 ""СУВОНОБОД (ЭКСП.) - КОКАНД I"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Сувонобод (эксп.),до ст. Коканд I,,,,,,,,,,,
  1.,740108 .,Сувонобод (эксп.),   0  км ,  46  км ,,,,,,,,,,,
  2.,740112 .,Сувонобод,   1  км ,  45  км ,,,,,,,,,,,
  3.,740409 .,Арыкбаши,   9  км ,  37  км ,,,,,,,,,,,
  4.,740305 .,Рапкан,  19  км ,  27  км ,,,,,,,,,,,
  5.,744306 .,Яйпан,  31  км ,  15  км ,,,,,,,,,,,
  6.,740004 .,Коканд I,  46  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 13) участок 73-014 ""КОКАНД I - УЧКУРГАН (ЭКСП.)"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Коканд I,до ст. Учкурган (эксп.),,,,,,,,,,,
  1.,740004 .,Коканд I,   0  км , 142  км ,,,,,,,,,,,
  2.,740019 .,ОП Ост. Пункт 10 км,  12  км , 130  км ,,,,,,,,,,,
  3.,740023 .,ОП Ост. Пункт 15 км,  15  км , 127  км ,,,,,,,,,,,
  4.,740038 .,ОП Ост. Пункт 18 км,  18  км , 124  км ,,,,,,,,,,,
  5.,740042 .,ОП Ост. Пункт 21 км,  21  км , 121  км ,,,,,,,,,,,
  6.,740502 .,Бувайда,  23  км , 119  км ,,,,,,,,,,,
  7.,740517 .,ОП Ост. Пункт 26 км,  26  км , 116  км ,,,,,,,,,,,
  8.,740521 .,ОП Наубахор,  29  км , 113  км ,,,,,,,,,,,
  9.,740536 .,ОП Ост. Пункт 31 км,  31  км , 111  км ,,,,,,,,,,,
 10.,740540 .,ОП Ост. Пункт 35 км,  35  км , 107  км ,,,,,,,,,,,
 11.,740625 .,ОП Гульбах,  41  км , 101  км ,,,,,,,,,,,
 12.,740610 .,ОП Ост. Пункт 43 км,  43  км ,  99  км ,,,,,,,,,,,
 13.,740702 .,Пап,  45  км ,  97  км ,,,,,,,,,,,
 14.,740714 .,ОП Ост. Пункт 49 км,  49  км ,  93  км ,,,,,,,,,,,
 15.,740803 .,Чуст,  53  км ,  89  км ,,,,,,,,,,,
 16.,740945 .,ОП Ост. Пункт 60 км,  60  км ,  82  км ,,,,,,,,,,,
 17.,740930 .,ОП Ост. Пункт 65 км,  65  км ,  77  км ,,,,,,,,,,,
 18.,740911 .,ОП Ост. Пункт 72 км,  72  км ,  70  км ,,,,,,,,,,,
 19.,740907 .,Туракурган,  76  км ,  66  км ,,,,,,,,,,,
 20.,741011 .,ОП Ост. Пункт 83 км,  83  км ,  59  км ,,,,,,,,,,,
 21.,741007 .,Раустан,  86  км ,  56  км ,,,,,,,,,,,
 22.,741100 .,Наманган,  91  км ,  51  км ,,,,,,,,,,,
 23.,741204 .,Чартак, 108  км ,  34  км ,,,,,,,,,,,
 24.,741219 .,ОП Касканьяр, 117  км ,  25  км ,,,,,,,,,,,
 25.,741308 .,Уйчи, 121  км ,  21  км ,,,,,,,,,,,
 26.,741312 .,ОП Янгиарык, 123  км ,  19  км ,,,,,,,,,,,
 27.,741401 .,Учкурган, 133  км ,   9  км ,,,,,,,,,,,
 28.,741505 .,Учкурган (эксп.), 142  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 14) участок 73-015 ""УЧКУРГАН (ЭКСП.) - АНДИЖАН I"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Учкурган (эксп.),до ст. Андижан I,,,,,,,,,,,
  1.,741505 .,Учкурган (эксп.),   0  км ,  67  км ,,,,,,,,,,,
  2.,741401 .,Учкурган,   9  км ,  58  км ,,,,,,,,,,,
  3.,741435 .,Мехнатобод (рзд),  13  км ,  54  км ,,,,,,,,,,,
  4.,741416 .,ОП Ост. Пункт 139 км,  15  км ,  52  км ,,,,,,,,,,,
  5.,741717 .,ОП Ост. Пункт 151 км,  27  км ,  40  км ,,,,,,,,,,,
  6.,741806 .,Хаккулабад,  32  км ,  35  км ,,,,,,,,,,,
