Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
АЛФАВИТНЫЙ СПИСОК ЖЕЛЕЗНОДОРОЖНЫХ СТАНЦИЙ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Алфавитный список портов, производящих ПЕРЕВАЛКУ грузов с железнодорожного на ВНУТРЕННИЙ ВОДНЫЙ транспорт и обратно",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
№ п/п,Порт,с воды на ЖД,с ЖД на воду,"Масса груза, т",Пароходство,ж.д. Станция,Дорога,Расстояния до ТП,,,,,,,,,,,,
   33.,Калининград,§2,§2,5,,100001  Калининград-,10  Клг (Р),,,,,,,,,,,,,
,,,,,,Сортировочный,,,,,,,,,,,,,,
   34.,Камбарка,§2,§2,,,257000  Кама,24  Горьк (Р),,,,,,,,,,,,,
   35.,Камышин - ООО Камышенская,"§ 3, 5","§ 3, 5",70,,623008  Камышин,61  Прив (Р),Петров Вал (621801) - 19 км,,,,,,,,,,,,
,зерновая компания,,,,,,,,,,,,,,,,,,,
   36.,Капчагай,"§1,2","§1,2",3,Илийское районное,700702  Капчагай,68  Кзх,"Жетыген (700505) - 28 км, Актогай (708009) - 486 км, Достык (эксп.) (708507) - 793 км",,,,,,,,,,,,
,,,,,управление речного флота,,,,,,,,,,,,,,,
   37.,Каунас,§2,§2,5,Нямунское,123107  Каунас,12  Лит,,,,,,,,,,,,,
   38.,Киевский речной порт,"§1,2","§1,2",20,ОАО «Киевский речной порт»,320609  Почайна,32  Ю-Зап (У),"Дарница (320007) - 14 км, Киев-Волынский (320505) - 16 км",,,,,,,,,,,,
   39.,Кинешма,"§1,2, 3,4","§1,2,4",5,,316707  Кинешма,28  Сев (Р),Ермолино (316302) - 72 км,,,,,,,,,,,,
   40.,Кинешма ЗАО Зерновой,§ 3,§ 3,20,-,316707  Кинешма,28  Сев (Р),Ермолино (316302) - 72 км,,,,,,,,,,,,
,терминал Волга,,,,,,,,,,,,,,,,,,,
   41.,Киров (Филев-ский причал),"§1,2,4","§1,2",10,,270908  Матанцы,24  Горьк (Р),,,,,,,,,,,,,
   42.,Комсомольск-на Амуре (ЗАО,"§1,2,4","§1,2,4",5,(ЗАО «Амурпорт»),968707  Дземги,96  Д-Вост (Р),"Комсомольск-Сортировочный (960007) - 24 км, Ванино (967600) - 477 км",,,,,,,,,,,,
,"""Амур-порт"")",,,,,,,,,,,,,,,,,,,
   43.,Котлас,"§1,2","§1,2",5,,280505  Котлас-Северный,28  Сев (Р),Котлас-Узловой (280204) - 11 км,,,,,,,,,,,,
   44.,Красноярск,"§1,2,4","§2,4",10,,891401  Енисей,88  Крас (Р),"Ачинск I (880002) - 189 км, Уяр (892705) - 126 км",,,,,,,,,,,,
   45.,Красноярск,"§1,2,4","§1,2,4",100,,891806  Злобино,88  Крас (Р),"Ачинск I (880002) - 197 км, Уяр (892705) - 118 км",,,,,,,,,,,,
   46.,Красноярск,§2,§2,200,,890108  Красноярск-,88  Крас (Р),"Ачинск I (880002) - 190 км, Уяр (892705) - 127 км",,,,,,,,,,,,
,,,,,,Северный,,,,,,,,,,,,,,
   47.,Кременчугский речной порт,"§1,2,3,4",,,ОАО АСКО «Укрречфлот»,425001  Кременчуг,43  Южн (У),,,,,,,,,,,,,
   48.,Кстово,§3,§3,,,269506  Кстово,24  Горьк (Р),"Арзамас II (244208) - 118 км, Окская (264926) - 25 км",,,,,,,,,,,,
   49.,Куйбышев,"§1,2,3,4,5","§1,2,3,4",100,,658100  Бухта,63  Кбш (Р),Самара (657907) - 3 км,,,,,,,,,,,,
   50.,Куйбышев (Верхний мол),"§1,2,3,4","§1,2,3,4",100,,658100  Бухта,63  Кбш (Р),Самара (657907) - 3 км,,,,,,,,,,,,
   51.,Култук,"§1,4","§1,4",5,,933407  Култук,92  В-Сиб (Р),"Иркутск-Пассажирский (930108) - 136 км, Улан-Удэ (935506) - 340 км",,,,,,,,,,,,
   52.,Лабытнанги,"§1,2,4","§1,2,4",10,,289904  Лабытнанги,28  Сев (Р),Сосногорск (285801) - 826 км,,,,,,,,,,,,
   53.,Левшино,§2,§2,,,760604  Левшино,76  Сверд (Р),,,,,,,,,,,,,
   54.,Лесосибирск,§2,§2,20,,882506  Лесосибирск,88  Крас (Р),Ачинск I (880002) - 274 км,,,,,,,,,,,,
   55.,Лиски,"§1,2,5","§1,2",5,,582005  Лиски,58  Ю-Вост (Р),,,,,,,,,,,,,
   56.,Лодейное Поле,"§1,2",,,,049106  Лодейное Поле,01  Окт (Р),,,,,,,,,,,,,
   57.,Марнаул,"§ 1, 2, 3","§ 1, 2",5,,840109  Барнаул,83  З-Сиб (Р),,,,,,,,,,,,,
   58.,Медвежьегорск,"§2,4","§2,4",10,,011306  Медвежья Гора,01  Окт (Р),"Петрозаводск (010002) - 155 км, Беломорск (013000) - 217 км",,,,,,,,,,,,
   59.,Медвежьегорск,,§2,,,011202  Прионежская,01  Окт (Р),"Петрозаводск (010002) - 152 км, Беломорск (013000) - 228 км",,,,,,,,,,,,
   60.,Мозырь-Порт,"§1,2","§1,2",10,Верхнеднепровское,151802  Пхов,13  Бел,"Словечно (эксп.) (151200) - 62 км, Калинковичи (153808) - 9 км",,,,,,,,,,,,
   61.,Московский Западный порт,"§2,4","§2,4",5,,181600  Фили,17  Моск (Р),"Кубинка I (182603) - 57 км, Москва-Товарная-Смоленская (198207) - 4 км",,,,,,,,,,,,
   62.,Московский Южный порт,"§1,2,4,5","§1,2,4",40,,199411  Москва-Южный Порт,17  Моск (Р),Московский узел (000015) - 54 км,,,,,,,,,,,,
   63.,Нижегородский,"§2,5",§2,5,ОАО «Нижегородский порт»,260200  Нижний Новгород-,24  Горьк (Р),"Нижний Новгород-Сортировочный (260003) - 9 км, Котельнич I (267801) - 369 км",,,,,,,,,,,,
,,,,,,Московский,,,,,,,,,,,,,,
   64.,Нижегородский,§2,§2,10,ОАО «Нижегородский порт»,265007  Моховые Горы,24  Горьк (Р),"Нижний Новгород-Сортировочный (260003) - 28 км, Котельнич I (267801) - 366 км",,,,,,,,,,,,
   65.,Николаев,§2,§2,10,АСК «Укрречфлот»,415207  Николаев-Грузовой,40  Од (У),,,,,,,,,,,,,
   66.,Новая Каховка,,,10,АО «Новокаховский речной,416801  Каховка,40  Од (У),"Снигиревка (416106) - 68 км, Украинская (476501) - 125 км",,,,,,,,,,,,
,,,,,порт»,,,,,,,,,,,,,,,
   67.,Новосибирск,§2,,,,851207  Новосибирск-,83  З-Сиб (Р),"Обь (850100) - 9 км, Новосибирск-Главный (850609) - 8 км",,,,,,,,,,,,
,,,,,,Западный,,,,,,,,,,,,,,
   68.,ОАО Волгоградский речной,"§ 2, 4","§ 2, 4",50,,610402  Волжский,61  Прив (Р),"Разгуляевка (610900) - 28 км, Верхний Баскунчак (618207) - 174 км",,,,,,,,,,,,
,порт(стр.п-е Волжский порт),,,,,,,,,,,,,,,,,,,
   69.,Омск,"§1,2,3,4","§1,2,3,4",10,,830304  Карбышево I,83  З-Сиб (Р),,,,,,,,,,,,,
   70.,Омск,"§2,4","§1,2,4",50,,830709  Омск-Пассажирский,83  З-Сиб (Р),"Карбышево I (830304) - 5 км, Татарская (833001) - 169 км",,,,,,,,,,,,
   71.,ООО Волгоградский элеватор,"§ 3, 5","§ 3, 5",,,611509  Ельшанка,61  Прив (Р),"Куберле (519105) - 291 км, Волгоград II (611405) - 3 км",,,,,,,,,,,,
   72.,ООО МР ЛОГИСТИК,"§ 1, 3","§ 1, 3",20,-,617401  Бузанский,61  Прив (Р),"Кизилюрт (542807) - 472 км, Аксарайская (617505) - 7 км",,,,,,,,,,,,
   73.,ООО Нижнекамская нефтебаза,"§ 1, 2, 4","§ 1, 2, 4",320,,649205  Соболеково,63  Кбш (Р),"Агрыз (254905) - 155 км, Акбаш (647523) - 178 км",,,,,,,,,,,,
,(стивидоры ЗАО Транскама ООО Нижнекамская нефтебаза),,,,,,,,,,,,,,,,,,,
,,Соболеково,,,,,,,,,,,,,,,,,,
   74.,ООО Средневолжский,§ 4,§ 4,100,-,636608  Отвага,63  Кбш (Р),"Сызрань I (635607) - 85 км, Жигулевское Море (636807) - 23 км",,,,,,,,,,,,
,нефтяной терминал (ООО СВНТ),,,,,,,,,,,,,,,,,,,
   75.,ООО Терминал Ленаречтранс,"§ 1, 2, 4","§ 1, 2, 4",,,927105  Лена,92  В-Сиб (Р),,,,,,,,,,,,,
   76.,Осетрово,"§1,2,4","§1,2,4",45,,927603  Якурим,92  В-Сиб (Р),"Тайшет (920002) - 730 км, Лена (927105) - 10 км",,,,,,,,,,,,
   77.,Осетрово,"§1,2,4","§1,2,4",45,,927105  Лена,92  В-Сиб (Р),,,,,,,,,,,,,
   78.,Павлодар,"§1,2,4","§1,2,4",10,Верхнеиртышское,696102  Павлодар,68  Кзх,,,,,,,,,,,,,
   79.,Пермь (Берег),"§1,2,3,4,5","§1,2,4,5",100,,761104  Пермь II,76  Сверд (Р),,,,,,,,,,,,,
   80.,Пермь (Заостровка),"§1,2, 3,4","§1,2,4,5",100,,761104  Пермь II,76  Сверд (Р),,,,,,,,,,,,,
   81.,Петрозаводск,"§2,4","§2,4",15,,049905  Онежский,01  Окт (Р),"Петрозаводск (010002) - 9 км, Лодейное Поле (049106) - 151 км",,,,,,,,,,,,
   82.,Печора,"§1,2,4","§1,2,4",10,,288009  Печора,28  Сев (Р),Сосногорск (285801) - 249 км,,,,,,,,,,,,
   83.,Пинск,"§1,2","§1,2",5,Верхнеднепровское,133202  Пинск,13  Бел,"Жабинка (131207) - 144 км, Лунинец (139406) - 58 км",,,,,,,,,,,,
   84.,Подпорожье,§2,§2,15,,049407  Свирь,01  Окт (Р),"Петрозаводск (010002) - 115 км, Лодейное Поле (049106) - 45 км",,,,,,,,,,,,
   85.,Покровка,"§1,2,4","§1,2,4",20,ЗАО «Торговый порт,970800  Покровка-Пристань,96  Д-Вост (Р),"Дежневка (963525) - 29 км, Хабаровск I (970406) - 25 км",,,,,,,,,,,,
,,,,,Покровка»,,,,,,,,,,,,,,,
   86.,Поярково,,§2,,ЗАО «Торговый порт,956004  Поярково,94  Заб (Р),"Белогорск (950008) - 209 км, Волочаевка I (963506) - 580 км",,,,,,,,,,,,
,,,,,Поярково»,,,,,,,,,,,,,,,
   87.,Речица,"§1,2","§1,2",3,Верхнеднепровское,154800  Речица,13  Бел,"Гомель (150000) - 44 км, Калинковичи (153808) - 81 км",,,,,,,,,,,,
   88.,Ростов-на-Дону,"§1,2,4","§1,2,3,4",10,,513607  Кизитеринка,51  С-Кав (Р),,,,,,,,,,,,,
   89.,Ростов-на-Дону,"§1,2,3,4","§1,2,3,4",27,,510702  Заречная,51  С-Кав (Р),"Батайск (510007) - 8 км, Ростов-Главный (510204) - 2 км",,,,,,,,,,,,
   90.,Рыбачье,"§1,2,4","§1,2,4",5,Иссык-Кульское,717703  Рыбачье,70  Кирг,,,,,,,,,,,,,
   91.,Рыбинск (Волжская вет-ка),"§1,2,3,4","§1,2,4",10,,312301  Рыбинск-Товарный,28  Сев (Р),,,,,,,,,,,,,
   92.,Рыбинск (Копа-евская,"§1,2,34","§1,2,4",10,,312301  Рыбинск-Товарный,28  Сев (Р),,,,,,,,,,,,,
,ветка),,,,,,,,,,,,,,,,,,,
   93.,Рыбница,"§1,2","§1,2",,Министерство транспорта и,287311  Рыбница,28  Сев (Р),Сосногорск (285801) - 139 км,,,,,,,,,,,,
,,,,,связи Республики Молдова,,,,,,,,,,,,,,,
   94.,Рязань,§2,"§1,2",10,,222904  Рязань-Ока-,17  Моск (Р),Ряжск I (223803) - 123 км,,,,,,,,,,,,
,,,,,,Пристань,,,,,,,,,,,,,,
   95.,Санкт-Петер-бург (ОАО,"§1,2,4","§1,2,4",27,"ОАО ""Санкт-Петербургский",037109  Дача Долгорукова,01  Окт (Р),Санкт-Петербургский узел (000023) - 0 км,,,,,,,,,,,,
,"""Санкт-Петербургский речной порт"")",,,,"речной порт""",,,,,,,,,,,,,,,
   96.,Сарапул,"§1,2,4,5","§1,4,5",5,,256205  Сарапул,24  Горьк (Р),"Агрыз (254905) - 56 км, Кама (257000) - 28 км",,,,,,,,,,,,
   97.,Саратовское речное,"§1,2,4,5","§1,2,4",100,,620404  Саратов-Порт,61  Прив (Р),Саратов II-Товарный (620508) - 5 км,,,,,,,,,,,,
,транс-портное пред-приятие,,,,,,,,,,,,,,,,,,,
   98.,Светлый,,,,,103207  Балтийский Лес,10  Клг (Р),Калининград-Сортировочный (100001) - 36 км,,,,,,,,,,,,
   99.,Свирск,§2,§2,,,931007  Макарьево,92  В-Сиб (Р),"Тайшет (920002) - 560 км, Иркутск-Пассажирский (930108) - 152 км",,,,,,,,,,,,
  100.,"Свободный (ЗАО ""Торговый","§1,2,4","§1,2,4",6,ЗАО «Торговый порт,953701  Михайло-,94  Заб (Р),"Белогорск (950008) - 54 км, Бамовская (951602) - 538 км",,,,,,,,,,,,
,"порт Свободный"")",,,,Свободный»,Чесноковская,,,,,,,,,,,,,,
  101.,Семипалатинск,"§1,2","§1,2",3,Верхнеиртышское,699806  Жуз-Агач,68  Кзх,"Актогай (708009) - 14 км, Шар (709105) - 338 км",,,,,,,,,,,,
  102.,Советск,§2,§2,,,104801  Советск,10  Клг (Р),,,,,,,,,,,,,
  103.,Сургут,"§1,2,4","§1,2,4",100,,797500  Сургут-Порт,76  Сверд (Р),Войновка (790408) - 712 км,,,,,,,,,,,,
  104.,Сызрань,"§2,4","§2,4",10,,636205  Сызрань-Город,63  Кбш (Р),"Сенная (624000) - 168 км, Сызрань I (635607) - 3 км",,,,,,,,,,,,
  105.,Сыктывкар (Нижний Чов),"§1,2,4","§1,2,4",5,,284008  Човью,28  Сев (Р),Микунь (282407) - 88 км,,,,,,,,,,,,
  106.,Тобольск,,"§1,2,4",100,,796207  Тобольск-Порт,76  Сверд (Р),Войновка (790408) - 227 км,,,,,,,,,,,,
  107.,Тольятти,"§1,2,3,4","§1,2,3,4",100,,636807  Жигулевское Море,63  Кбш (Р),,,,,,,,,,,,,
  108.,Томск,"§1,2","§1,2",40,,874302  Томск-Грузовой,83  З-Сиб (Р),Тайга (873308) - 93 км,,,,,,,,,,,,
  109.,Тюмень,"§1,2,4","§1,2,4",10,,790408  Войновка,76  Сверд (Р),,,,,,,,,,,,,
  110.,Ульяновск,"§1,2,4","§1,2,4",10,,645505  Ульяновск II,63  Кбш (Р),"Ульяновск-Центральный (644803) - 7 км, Акбаш (647523) - 341 км",,,,,,,,,,,,
  111.,Уральск,"§2,5",§2,,Уральское,665509  Орал-Товарная,68  Кзх,"Семиглавый Мар (эксп.) (664900) - 112 км, Илецк I (эксп.) (666501) - 269 км",,,,,,,,,,,,
  112.,Усть-Донецк,"§1,2,4","§1,2,4",16,,512604  Усть-Донецкая,51  С-Кав (Р),"Горная (512708) - 67 км, Замчалово (580300) - 108 км",,,,,,,,,,,,
  113.,Усть-Каменогорск,"§1,2,4","§1,2,4",10,Верхнеказахстанское,713702  Усть-Каменогорск,68  Кзх,"Оскемен-1 (713007) - 8 км, Новоустькаменогорск (713806) - 4 км",,,,,,,,,,,,
  114.,Усть-Кутское отделение,"§ 1, 2, 4","§ 1, 2, 4",35,,927800  Лена-Восточная,92  В-Сиб (Р),"Тайшет (920002) - 734 км, Лена (927105) - 14 км",,,,,,,,,,,,
,УМТС АК АЛРОСА (ЗАО),,,,,,,,,,,,,,,,,,,
  115.,Уфа,"§1,2,4","§1,2,4,",10,,654504  Уфа,63  Кбш (Р),,,,,,,,,,,,,
  116.,Хабаровск (ЗАО,"§1,2,4,5","§1,2,4",10,ЗАО «Хабаровский торговый,970406  Хабаровск I,96  Д-Вост (Р),,,,,,,,,,,,,
,"""Хабаровский торго-вый порт"")",,,,порт»,,,,,,,,,,,,,,,
  117.,Чайковский,"§1,2,4","§1,2,4",5,,256703  Сайгатка,24  Горьк (Р),"Агрыз (254905) - 116 км, Кама (257000) - 66 км",,,,,,,,,,,,
  118.,Череповец,"§1,4","§1,2,4",5,,302403  Череповец-Пристань,28  Сев (Р),Череповец I (302304) - 5 км,,,,,,,,,,,,
  119.,Черкассы,"§1,2,3,5,7","§1,2,3,5,7",20,ОАО «Черкасский речной,424206  Черкассы,40  Од (У),Им. Тараса Шевченко (420008) - 30 км,,,,,,,,,,,,
,,,,,порт»,,,,,,,,,,,,,,,
  120.,Ярославль,"§1,2","§1,2",27,,310700  Филино,28  Сев (Р),"Ярославль-Главный (310005) - 11 км, Данилов (311101) - 64 км",,,,,,,,,,,,
  121.,Ярославль,"§1,2,3,4","§1,3,4",27,,310109  Ярославль,28  Сев (Р),"Ярославль-Главный (310005) - 5 км, Нерехта (315507) - 50 км",,,,,,,,,,,,
_____________________________________________________________________________________________,,,,,,,,,,,,,,,,,,,,
