Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ МЕЖДУ СТАНЦИЯМИ НА УЧАСТКАХ ЖЕЛЕЗНЫХ ДОРОГ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Расстояния между станциями Белорусской ж.д. (код дороги 13),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  1) участок 13-001 ""ГРОДНО - МОСТЫ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Андреевичи (рзд),до ст. Волковыск,,,,,,,,,,,
  1.,136249 .,Андреевичи (рзд),   0  км ,  10  км ,,,,,,,,,,,
  2.,136253 .,ОП Голынка,   5  км ,   5  км ,,,,,,,,,,,
  3.,136709 .,Волковыск,  10  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  8) участок 13-008 ""АНДРЕЕВИЧИ - БЕРЕСТОВИЦА"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Андреевичи (рзд),до ст. Берестовица (рзд),,,,,,,,,,,
  1.,136249 .,Андреевичи (рзд),   0  км ,  23  км ,,,,,,,,,,,
  2.,136234 .,ОП Мстибово,   4  км ,  19  км ,,,,,,,,,,,
  3.,136268 .,ОП Лесники,   7  км ,  16  км ,,,,,,,,,,,
  4.,136225 .,ОП Рудавка,  11  км ,  12  км ,,,,,,,,,,,
  5.,136215 .,ОП Жиличи,  17  км ,   6  км ,,,,,,,,,,,
  6.,136272 .,Берестовица (рзд),  23  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  9) участок 13-009 ""АНДРЕЕВИЧИ - СВИСЛОЧЬ (ЭКСП.)"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Андреевичи (рзд),до ст. Свислочь (эксп.),,,,,,,,,,,
  1.,136249 .,Андреевичи (рзд),   0  км ,  33  км ,,,,,,,,,,,
  2.,135636 .,ОП Монтовты,   4  км ,  29  км ,,,,,,,,,,,
  3.,135640 .,ОП Нестеровичи,   7  км ,  26  км ,,,,,,,,,,,
  4.,135621 .,ОП Саки,   9  км ,  24  км ,,,,,,,,,,,
  5.,135617 .,ОП Свислочь,  16  км ,  17  км ,,,,,,,,,,,
  6.,135602 .,Свислочь,  19  км ,  14  км ,,,,,,,,,,,
  7.,135706 .,Свислочь (эксп.),  33  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 10) участок 13-010 ""ЛИДА - МОСТЫ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Лида,до ст. Мосты,,,,,,,,,,,
  1.,137608 .,Лида,   0  км ,  74  км ,,,,,,,,,,,
  2.,137646 .,ОП Раклевцы,   7  км ,  67  км ,,,,,,,,,,,
  3.,137557 .,ОП Далекий,   8  км ,  66  км ,,,,,,,,,,,
  4.,137542 .,ОП Белогруда,  14  км ,  60  км ,,,,,,,,,,,
  5.,137538 .,ОП Поречаны,  17  км ,  57  км ,,,,,,,,,,,
  6.,137523 .,ОП Курган,  21  км ,  53  км ,,,,,,,,,,,
  7.,137519 .,ОП Семашки,  25  км ,  49  км ,,,,,,,,,,,
  8.,137576 .,Скрибовцы,  31  км ,  43  км ,,,,,,,,,,,
  9.,137561 .,ОП Халечино,  34  км ,  40  км ,,,,,,,,,,,
 10.,137415 .,ОП Желудок,  41  км ,  33  км ,,,,,,,,,,,
 11.,137420 .,ОП Логвины,  46  км ,  28  км ,,,,,,,,,,,
 12.,137400 .,Рожанка,  51  км ,  23  км ,,,,,,,,,,,
 13.,137256 .,ОП Бобры,  57  км ,  17  км ,,,,,,,,,,,
 14.,137241 .,ОП Турья,  59  км ,  15  км ,,,,,,,,,,,
 15.,137434 .,ОП Микелевщина,  67  км ,   7  км ,,,,,,,,,,,
 16.,137203 .,Мосты,  74  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 11) участок 13-011 ""ЛИДА - БЕНЯКОНЕ (ЭКСП.)"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Лида,до ст. Беняконе (эксп.),,,,,,,,,,,
  1.,137608 .,Лида,   0  км ,  45  км ,,,,,,,,,,,
  2.,137701 .,Гуды,   9  км ,  36  км ,,,,,,,,,,,
  3.,137716 .,ОП Петюны,  20  км ,  25  км ,,,,,,,,,,,
  4.,137805 .,Бастуны,  23  км ,  22  км ,,,,,,,,,,,
  5.,137816 .,ОП Вороново,  32  км ,  13  км ,,,,,,,,,,,
  6.,137913 .,ОП Еткишки,  39  км ,   6  км ,,,,,,,,,,,
  7.,137909 .,Беняконе,  43  км ,   2  км ,,,,,,,,,,,
