Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
АЛФАВИТНЫЙ СПИСОК ЖЕЛЕЗНОДОРОЖНЫХ СТАНЦИЙ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Алфавитный список МОРСКИХ портов, производящих ПЕРЕВАЛКУ грузов с железных дорог на морской транспорт и обратно",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
№ п/п,Порт,Параграфы,Пароходство,ж.д. Станция,Дорога,Расстояния до ТП,,,,,,,,,,,,,,
   33.,Владивостокский филиал,"§ 1, 7",,980802  Мыс-Чуркин,96  Д-Вост (Р),Владивосток (980003) - 9 км,,,,,,,,,,,,,,
,Владпром ОАО ЧЭМК,,,,,,,,,,,,,,,,,,,
   34.,Восточный,"§ 1, 7",,985906  Находка-Восточная,96  Д-Вост (Р),"Угловая (982206) - 182 км, Находка (984502) - 18 км",,,,,,,,,,,,,,
   35.,Выборг,"§ 1, 6, 7",,020004  Выборг,01  Окт (Р),,,,,,,,,,,,,,,
   36.,Высоцк,"§ 1, 7",,020606  Высоцк,01  Окт (Р),"Выборг (020004) - 30 км, Белоостров (039208) - 128 км",,,,,,,,,,,,,,
   37.,Высоцк,"§ 1, 7",,039000  Лисий Нос,01  Окт (Р),"Ланская (038215) - 20 км, Белоостров (039208) - 17 км",,,,,,,,,,,,,,
   38.,Евпатория,§ 1,ГАМРТУ,474608  Евпатория-Товарная,45  Придн (У),,,,,,,,,,,,,,,
   39.,Зарубино,"§ 1, 7",,987303  Сухановка,96  Д-Вост (Р),"Хасан (эксп.) (987106) - 75 км, Барановский (988402) - 164 км",,,,,,,,,,,,,,
   40.,ЗАО Дальзавод-Терминал,"§ 1, 7",,980605  Гайдамак,96  Д-Вост (Р),Владивосток (980003) - 5 км,,,,,,,,,,,,,,
   41.,ЗАО Дальзавод-Терминал,"§ 1, 7",,988306  Уссурийск,96  Д-Вост (Р),"Дубининский (977000) - 18 км, Барановский (988402) - 23 км, Воздвиженский (988700) - 18 км",,,,,,,,,,,,,,
   42.,ЗАО Дальневосточный,"§ 1, 7",,984502  Находка,96  Д-Вост (Р),,,,,,,,,,,,,,,
,судомеханический завод,,,,,,,,,,,,,,,,,,,
   43.,ЗАО Дальневосточный,"§ 1, 7",,984201  Тихоокеанская,96  Д-Вост (Р),Находка (984502) - 10 км,,,,,,,,,,,,,,
,судомеханический завод,,,,,,,,,,,,,,,,,,,
   44.,Измаил,§ 1,ГАМРТУ,404503  Измаил,40  Од (У),,,,,,,,,,,,,,,
   45.,Кавказ,"§ 1, 7",,527900  Кавказ,51  С-Кав (Р),"Тимашевская (516200) - 268 км, Крымская (521603) - 164 км",,,,,,,,,,,,,,
   46.,"Кавказ ЗАО ""ВЕРП""","§ 1, 7",,527900  Кавказ,51  С-Кав (Р),"Тимашевская (516200) - 268 км, Крымская (521603) - 164 км",,,,,,,,,,,,,,
   47.,Калининград,"§ 1,7",,102901  Западный-Новый,10  Клг (Р),Калининград-Сортировочный (100001) - 4 км,,,,,,,,,,,,,,
   48.,Кандалакша,"§ 1, 7",,014906  Кандалакша,01  Окт (Р),,,,,,,,,,,,,,,
   49.,Керчь,"§ 1, 7",ГАМРТУ,470609  Керчь-Порт,45  Придн (У),,,,,,,,,,,,,,,
   50.,Клайпедский порт,"§ 1, 7",Литовское,108003  Клайпеда,12  Лит,,,,,,,,,,,,,,,
   51.,Клайпедский порт,"§ 1, 7",Литовское,108200  Драугисте,12  Лит,,,,,,,,,,,,,,,
   52.,Корсаков,"§1, 7",,990005  Корсаков,96  Д-Вост (Р),,,,,,,,,,,,,,,
   53.,Красноводск,"§ 1, 7",Каспийское,754505  Туркменбаши I,75  Трк,Туркменбаши I (эксп.) (754609) - 5 км,,,,,,,,,,,,,,
   54.,Кунда,§ 1,,082903  Раквере,08  Эст,,,,,,,,,,,,,,,
   55.,Лиепайский порт,"§ 1, 7",Латвийское,098600  Лиепая,09  Лат,,,,,,,,,,,,,,,
   56.,Ломоносово,"§ 1, 7",,075401  Ораниенбаум,01  Окт (Р),"Лигово (034505) - 26 км, Веймарн (073603) - 108 км",,,,,,,,,,,,,,
   57.,Мариуполь,§ 1,ГАМРТУ,484601  Мариуполь-Порт,48  Дон (У),,,,,,,,,,,,,,,
   58.,Махачкала,"§ 1, 7",,543301  Махачкала,51  С-Кав (Р),,,,,,,,,,,,,,,
   59.,Махачкала ФГУП,"§ 1, 7",,543301  Махачкала,51  С-Кав (Р),,,,,,,,,,,,,,,
,"""Махачкалинский морской торговый порт""",,,,,,,,,,,,,,,,,,,
   60.,Мийдуранна,§ 1,,082104  Маарду,08  Эст,,,,,,,,,,,,,,,
   61.,Морской порт Азов Зерновой,"§ 1,7",,510806  Азов,51  С-Кав (Р),,,,,,,,,,,,,,,
,"терминал ""Степь"" - филиал АО ""Племенной завод Гашунский""",,,,,,,,,,,,,,,,,,,
   62.,Морской порт Большой,"§ 1, 7",-,075308  Бронка,01  Окт (Р),"Лигово (034505) - 33 км, Веймарн (073603) - 101 км",,,,,,,,,,,,,,
,Санкт-Петербург ООО Феникс (ММПК Бронка),,,,,,,,,,,,,,,,,,,
   63.,Морской порт Витино ООО,§ 1,,014802  Белое Море,01  Окт (Р),"Беломорск (013000) - 365 км, Кандалакша (014906) - 18 км",,,,,,,,,,,,,,
,"""Норд Стар""",,,,,,,,,,,,,,,,,,,
   64.,Морской порт Владивосток,§ 7,,982403  Артем-Приморский I,96  Д-Вост (Р),"Угловая (982206) - 9 км, Находка (984502) - 155 км",,,,,,,,,,,,,,
,"АО ""Находкинский МТП""",,,,,,,,,,,,,,,,,,,
   65.,Морской порт Владивосток,"1,7",,988306  Уссурийск,96  Д-Вост (Р),"Дубининский (977000) - 18 км, Барановский (988402) - 23 км, Воздвиженский (988700) - 18 км",,,,,,,,,,,,,,
,"ООО ""ВМП Первомайский""",,,,,,,,,,,,,,,,,,,
   66.,Морской порт Владивосток,"§ 1,7",,982808  Смоляниново,96  Д-Вост (Р),"Угловая (982206) - 39 км, Находка (984502) - 125 км",,,,,,,,,,,,,,
,"ООО ""Морской порт ""Суходол""""",,,,,,,,,,,,,,,,,,,
   67.,Морской порт Владивосток,"1, 7",-,981307  Первая Речка,96  Д-Вост (Р),"Владивосток (980003) - 4 км, Надеждинская (986508) - 40 км",,,,,,,,,,,,,,
,"ООО ""Пасифик Лоджистик""",,,,,,,,,,,,,,,,,,,
,,-,,,,,,,,,,,,,,,,,,
   68.,Морской порт Восточный АО,"§ 1,7",,985906  Находка-Восточная,96  Д-Вост (Р),"Угловая (982206) - 182 км, Находка (984502) - 18 км",,,,,,,,,,,,,,
,"""Гевея""",,,,,,,,,,,,,,,,,,,
   69.,Морской порт Восточный ООО,1,,985906  Находка-Восточная,96  Д-Вост (Р),"Угловая (982206) - 182 км, Находка (984502) - 18 км",,,,,,,,,,,,,,
,"""МТК""",,,,,,,,,,,,,,,,,,,
   70.,Морской порт Восточный ООО,§ 1,,985906  Находка-Восточная,96  Д-Вост (Р),"Угловая (982206) - 182 км, Находка (984502) - 18 км",,,,,,,,,,,,,,
