Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ МЕЖДУ СТАНЦИЯМИ НА УЧАСТКАХ ЖЕЛЕЗНЫХ ДОРОГ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Расстояния между станциями Приднепровской ж.д. (код дороги 45),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  1) участок 45-001 ""ЧАПЛИНО - СИНЕЛЬНИКОВО II"" (Основной тарифный участок)",,,,,,,,,,,,,,,
  3.,451311 .,ОП Платформа 184 км,   5  км ,  13  км ,,,,,,,,,,,
  4.,451400 .,Диевка,   9  км ,   9  км ,,,,,,,,,,,
  5.,451415 .,ОП Платформа 178 км,  11  км ,   7  км ,,,,,,,,,,,
  6.,451429 .,ОП Платформа 175 км,  14  км ,   4  км ,,,,,,,,,,,
  7.,451504 .,Сухачевка,  18  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  6) участок 45-006 ""ДНЕПР-ГЛАВНЫЙ - КАЙДАКСКАЯ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Днепр-Главный,до ст. Кайдакская,,,,,,,,,,,
  1.,451100 .,Днепр-Главный,   0  км ,   2  км ,,,,,,,,,,,
  2.,451203 .,Кайдакская,   2  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  7) участок 45-007 ""ВСТРЕЧНЫЙ - ЗАПОРОЖЬЕ-КАМЕНСКОЕ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Встречный,до ст. Запорожье-Каменское,,,,,,,,,,,
  1.,450200 .,Встречный,   0  км ,  39  км ,,,,,,,,,,,
  2.,450215 .,ОП Мирный,   5  км ,  34  км ,,,,,,,,,,,
  3.,450223 .,ОП Шинный,   7  км ,  32  км ,,,,,,,,,,,
  4.,450304 .,Днепр-Грузовой,   8  км ,  31  км ,,,,,,,,,,,
  5.,450319 .,ОП Холодильная,  10  км ,  29  км ,,,,,,,,,,,
  6.,450408 .,Обводная,  11  км ,  28  км ,,,,,,,,,,,
  7.,450412 .,ОП Краснополье,  12  км ,  27  км ,,,,,,,,,,,
  8.,450427 .,ОП Войцехово,  16  км ,  23  км ,,,,,,,,,,,
  9.,450431 .,ОП Платформа 22 км,  21  км ,  18  км ,,,,,,,,,,,
 10.,451504 .,Сухачевка,  25  км ,  14  км ,,,,,,,,,,,
 11.,451519 .,ОП Платформа 169 км,  27  км ,  12  км ,,,,,,,,,,,
 12.,451523 .,ОП Платформа 165 км,  31  км ,   8  км ,,,,,,,,,,,
 13.,451538 .,ОП Платформа 164 км,  33  км ,   6  км ,,,,,,,,,,,
 14.,451542 .,ОП Платформа 160 км,  37  км ,   2  км ,,,,,,,,,,,
 15.,456007 .,Запорожье-Каменское,  39  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  8) участок 45-008 ""ЗАПОРОЖЬЕ-КАМЕНСКОЕ - КАМЕНСКОЕ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Запорожье-Каменское,до ст. Каменское,,,,,,,,,,,
  1.,456007 .,Запорожье-Каменское,   0  км ,  10  км ,,,,,,,,,,,
  2.,456014 .,ОП Платформа 4 км,   4  км ,   6  км ,,,,,,,,,,,
  3.,456029 .,ОП Платформа 7 км,   7  км ,   3  км ,,,,,,,,,,,
  4.,455914 .,ОП Романково,   8  км ,   2  км ,,,,,,,,,,,
  5.,455806 .,Каменское,  10  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  9) участок 45-009 ""ЗАПОРОЖЬЕ-КАМЕНСКОЕ - ВЕРХОВЦЕВО"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Запорожье-Каменское,до ст. Верховцево,,,,,,,,,,,
  1.,456007 .,Запорожье-Каменское,   0  км ,  39  км ,,,,,,,,,,,
  2.,456033 .,Каменское-Пассажирское,   4  км ,  35  км ,,,,,,,,,,,
  3.,456048 .,ОП Платформа 149 км,   8  км ,  31  км ,,,,,,,,,,,
  4.,456103 .,Воскобойня,  16  км ,  23  км ,,,,,,,,,,,
  5.,456071 .,ОП Платформа 139 км,  18  км ,  21  км ,,,,,,,,,,,
  6.,456300 .,Верхнеднепровск,  25  км ,  14  км ,,,,,,,,,,,
  7.,456315 .,ОП Платформа 128 км,  30  км ,   9  км ,,,,,,,,,,,
  8.,456326 .,ОП Платформа 125 км,  33  км ,   6  км ,,,,,,,,,,,
  9.,456334 .,ОП Платформа 119 км,  37  км ,   2  км ,,,,,,,,,,,
 10.,456404 .,Верховцево,  39  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 10) участок 45-010 ""ВЕРХОВЦЕВО - ПЯТИХАТКИ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Верховцево,до ст. Пятихатки,,,,,,,,,,,
  1.,456404 .,Верховцево,   0  км ,  44  км ,,,,,,,,,,,
  2.,456419 .,ОП Платформа 114 км,   4  км ,  40  км ,,,,,,,,,,,
  3.,456423 .,ОП Граново,   9  км ,  35  км ,,,,,,,,,,,
  4.,456438 .,ОП Платформа 104 км,  14  км ,  30  км ,,,,,,,,,,,
  5.,456508 .,Вольногорск,  18  км ,  26  км ,,,,,,,,,,,
  6.,456512 .,ОП Платформа 97 км,  22  км ,  22  км ,,,,,,,,,,,
  7.,456601 .,Эрастовка,  27  км ,  17  км ,,,,,,,,,,,
  8.,456616 .,ОП Платформа 88 км,  29  км ,  15  км ,,,,,,,,,,,
  9.,456620 .,ОП Касиновка,  35  км ,   9  км ,,,,,,,,,,,
 10.,456635 .,ОП Платформа 79 км,  38  км ,   6  км ,,,,,,,,,,,
 11.,456809 .,Пятихатки,  44  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 11) участок 45-011 ""ПЯТИХАТКИ - ПЯТИХАТКИ-СТЫКОВАЯ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Пятихатки,до ст. Пятихатки-Стыковая,,,,,,,,,,,
  1.,456809 .,Пятихатки,   0  км ,   5  км ,,,,,,,,,,,
  2.,456813 .,ОП Платформа 71 км,   3  км ,   2  км ,,,,,,,,,,,
  3.,456828 .,Пятихатки-Стыковая,   5  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 12) участок 45-012 ""ПОСТ 939 КМ (Южной ж.д.) - ПАВЛОГРАД I"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Пост 939 км,до ст. Павлоград I,,,,,,,,,,,
  1.,442844 .,Пост 939 км,   0  км ,  53  км ,,,,,,,,,,,
  2.,454837 .,ОП Платформа 940 км,   1  км ,  52  км ,,,,,,,,,,,
  3.,454822 .,ОП Платформа 943 км,   4  км ,  49  км ,,,,,,,,,,,
  4.,454818 .,ОП Платформа 948 км,   8  км ,  45  км ,,,,,,,,,,,
  5.,454803 .,Самойловка,  13  км ,  40  км ,,,,,,,,,,,
  6.,454733 .,ОП Платформа 958 км,  16  км ,  37  км ,,,,,,,,,,,
  7.,454729 .,ОП Жемчужное,  24  км ,  29  км ,,,,,,,,,,,
  8.,454714 .,ОП Платформа 969 км,  30  км ,  23  км ,,,,,,,,,,,
  9.,454706 .,Варваровка,  33  км ,  20  км ,,,,,,,,,,,
 10.,454625 .,ОП Платформа 978 км,  38  км ,  15  км ,,,,,,,,,,,
 11.,454610 .,ОП Платформа 981 км,  42  км ,  11  км ,,,,,,,,,,,
 12.,454606 .,Ароматная,  44  км ,   9  км ,,,,,,,,,,,
 13.,454517 .,ОП Платформа 988 км,  48  км ,   5  км ,,,,,,,,,,,
 14.,454502 .,Павлоград I,  53  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 13) участок 45-013 ""ПАВЛОГРАД I - СИНЕЛЬНИКОВО II"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Павлоград I,до ст. Синельниково II,,,,,,,,,,,
  1.,454502 .,Павлоград I,   0  км ,  39  км ,,,,,,,,,,,
  2.,454428 .,ОП Домаха,  10  км ,  29  км ,,,,,,,,,,,
  3.,454447 .,ОП Ост. пункт 1005 км,  13  км ,  26  км ,,,,,,,,,,,
  4.,454413 .,ОП Платформа 1009 км,  16  км ,  23  км ,,,,,,,,,,,
  5.,454432 .,ОП Ост. пункт 1012 км,  19  км ,  20  км ,,,,,,,,,,,
  6.,454409 .,Зайцево,  21  км ,  18  км ,,,,,,,,,,,
