Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ МЕЖДУ СТАНЦИЯМИ НА УЧАСТКАХ ЖЕЛЕЗНЫХ ДОРОГ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Расстояния между станциями Донецкой ж.д. (код дороги 48),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  1) участок 48-001 ""ЧАПЛИНО (Приднепровской ж.д.) - ПОКРОВСК"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Чаплино,до ст. Покровск,,,,,,,,,,,
  8.,481035 .,ОП Ост. пункт 46 км,  35  км ,  45  км ,,,,,,,,,,,
  9.,481040 .,ОП Ост. пункт 45 км,  36  км ,  44  км ,,,,,,,,,,,
 10.,481020 .,ОП Суворово,  37  км ,  43  км ,,,,,,,,,,,
 11.,481054 .,ОП Ост. пункт 38 км,  42  км ,  38  км ,,,,,,,,,,,
 12.,481016 .,ОП Ост. Пункт 37 км,  44  км ,  36  км ,,,,,,,,,,,
 13.,481069 .,ОП Ост. пункт 35 км,  46  км ,  34  км ,,,,,,,,,,,
 14.,481001 .,Роя,  49  км ,  31  км ,,,,,,,,,,,
 15.,480992 .,ОП О.п. 30 км,  50  км ,  30  км ,,,,,,,,,,,
 16.,480916 .,ОП Врубовщик,  53  км ,  27  км ,,,,,,,,,,,
 17.,480920 .,ОП Острый,  56  км ,  24  км ,,,,,,,,,,,
 18.,480808 .,Красногоровка,  64  км ,  16  км ,,,,,,,,,,,
 19.,480511 .,ОП Старомихайловка,  72  км ,   8  км ,,,,,,,,,,,
 20.,480526 .,ОП Ост. пункт 4 км,  77  км ,   3  км ,,,,,,,,,,,
 21.,480507 .,Рутченково,  80  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  6) участок 48-006 ""РУТЧЕНКОВО - ВОЛНОВАХА"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Рутченково,до ст. Волноваха,,,,,,,,,,,
  1.,480507 .,Рутченково,   0  км ,  48  км ,,,,,,,,,,,
  2.,480626 .,ОП Ост. пункт 1146 км,   2  км ,  46  км ,,,,,,,,,,,
  3.,480600 .,Мандрыкино,   5  км ,  43  км ,,,,,,,,,,,
  4.,480615 .,Доля,  10  км ,  38  км ,,,,,,,,,,,
  5.,486503 .,Еленовка,  16  км ,  32  км ,,,,,,,,,,,
  6.,486433 .,Блок-пост 1164 км,  20  км ,  28  км ,,,,,,,,,,,
  7.,486429 .,ОП Ост. Пункт 1168 км,  24  км ,  24  км ,,,,,,,,,,,
  8.,486414 .,ОП Ост. Пункт 1172 км,  28  км ,  20  км ,,,,,,,,,,,
  9.,486400 .,Южнодонбасская,  31  км ,  17  км ,,,,,,,,,,,
 10.,486306 .,Велико-Анадоль,  37  км ,  11  км ,,,,,,,,,,,
 11.,486221 .,ОП Ост. Пункт 1184 км,  40  км ,   8  км ,,,,,,,,,,,
 12.,486217 .,ОП Ост. Пункт 1188 км,  44  км ,   4  км ,,,,,,,,,,,
 13.,486255 .,ОП Северный,  46  км ,   2  км ,,,,,,,,,,,
 14.,486202 .,Волноваха,  48  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  7) участок 48-007 ""ВОЛНОВАХА - МАРИУПОЛЬ-ПОРТ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Волноваха,до ст. Мариуполь-Порт,,,,,,,,,,,
  1.,486202 .,Волноваха,   0  км ,  78  км ,,,,,,,,,,,
  2.,485939 .,ОП Ост. Пункт 1199 км,   6  км ,  72  км ,,,,,,,,,,,
  3.,485924 .,ОП Тавла,  11  км ,  67  км ,,,,,,,,,,,
  4.,485919 .,ОП Полковое,  17  км ,  61  км ,,,,,,,,,,,
  5.,485905 .,Карань,  22  км ,  56  км ,,,,,,,,,,,
  6.,485750 .,ОП Ост. пункт 1217 км,  26  км ,  52  км ,,,,,,,,,,,
  7.,485746 .,ОП Каменка,  30  км ,  48  км ,,,,,,,,,,,
  8.,485731 .,ОП Кичиксу,  34  км ,  44  км ,,,,,,,,,,,
  9.,485727 .,ОП Ост. Пункт 1230 км,  38  км ,  40  км ,,,,,,,,,,,
 10.,485712 .,ОП Ост. Пункт 1234 км,  41  км ,  37  км ,,,,,,,,,,,
 11.,485708 .,Кальчик,  44  км ,  34  км ,,,,,,,,,,,
 12.,484885 .,ОП Ост. Пункт 1238 км,  46  км ,  32  км ,,,,,,,,,,,
 13.,484870 .,ОП Приовражное,  48  км ,  30  км ,,,,,,,,,,,
 14.,485002 .,Асланово,  51  км ,  27  км ,,,,,,,,,,,
 15.,484851 .,ОП Ост. Пункт 1246 км,  54  км ,  24  км ,,,,,,,,,,,
 16.,484847 .,ОП Ост. Пункт 1248 км,  55  км ,  23  км ,,,,,,,,,,,
 17.,484832 .,ОП Ост. Пункт 1249 км,  57  км ,  21  км ,,,,,,,,,,,
 18.,484828 .,ОП Ост. Пункт 1251 км,  58  км ,  20  км ,,,,,,,,,,,
 19.,484813 .,ОП Ост. Пункт 1253 км,  60  км ,  18  км ,,,,,,,,,,,
 20.,484809 .,Сартана,  62  км ,  16  км ,,,,,,,,,,,
 21.,484743 .,ОП Ост. Пункт 1256 км,  64  км ,  14  км ,,,,,,,,,,,
 22.,484739 .,ОП Заводская Площадка,  66  км ,  12  км ,,,,,,,,,,,
 23.,484724 .,ОП Ост. Пункт 1261 км,  69  км ,   9  км ,,,,,,,,,,,
 24.,484713 .,ОП Азовсталь,  71  км ,   7  км ,,,,,,,,,,,
 25.,484705 .,Мариуполь,  74  км ,   4  км ,,,,,,,,,,,
 26.,484601 .,Мариуполь-Порт,  78  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  8) участок 48-008 ""КАРАНЬ - ЯНИСОЛЬ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Карань,до ст. Янисоль,до ст. Волноваха,,,,,,,,,,
  1.,485905 .,Карань,   0  км ,  11  км ,  22  км ,,,,,,,,,,
  2.,485943 .,ОП Ост. Пункт 3 км,   3  км ,   8  км ,  25  км ,,,,,,,,,,
  3.,485958 .,Урзуф,   7  км ,   4  км ,  29  км ,,,,,,,,,,
  4.,486005 .,Янисоль,  11  км ,   0  км ,  33  км ,,,,,,,,,,
,,,,,,,,,,,,,,,
"  9) участок 48-009 ""КАЛЬЧИК - СИОНИТНЫЙ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Кальчик,до ст. Волноваха,до ст. Мариуполь-Порт,,,,,,,,,,
  1.,485708 .,Кальчик,   0  км ,  44  км ,  34  км ,,,,,,,,,,
  2.,485801 .,Сионитный,   8  км ,  52  км ,  42  км ,,,,,,,,,,
,,,,,,,,,,,,,,,
" 10) участок 48-010 ""АСЛАНОВО - МАРИУПОЛЬ-СОРТИРОВОЧНЫЙ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Асланово,до ст. Волноваха,до ст. Мариуполь-Порт,,,,,,,,,,
  1.,485002 .,Асланово,   0  км ,  51  км ,  27  км ,,,,,,,,,,
  2.,485604 .,Мариуполь-Сортировочный,   5  км ,  56  км ,  32  км ,,,,,,,,,,
,,,,,,,,,,,,,,,
" 11) участок 48-011 ""ВОЛНОВАХА - КАМЫШ-ЗАРЯ (Приднепровской ж.д.)"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Волноваха,до ст. Камыш-Заря,,,,,,,,,,,
  1.,486202 .,Волноваха,   0  км ,  84  км ,,,,,,,,,,,
  2.,486236 .,Блок-пост 412 км,   8  км ,  76  км ,,,,,,,,,,,
  3.,486240 .,ОП Ост. Пункт 408 км,  12  км ,  72  км ,,,,,,,,,,,
  4.,486908 .,Хлебодаровка,  18  км ,  66  км ,,,,,,,,,,,
  5.,486823 .,ОП Ост. Пункт 398 км,  22  км ,  62  км ,,,,,,,,,,,
  6.,486819 .,Разъезд 393 км,  27  км ,  57  км ,,,,,,,,,,,
  7.,486804 .,Зачатьевская,  36  км ,  48  км ,,,,,,,,,,,
  8.,486787 .,ОП Ост. Пункт 378 км,  42  км ,  42  км ,,,,,,,,,,,
  9.,486842 .,Разъезд 376 км,  43  км ,  41  км ,,,,,,,,,,,
 10.,486772 .,ОП Ост. пункт 375 км,  46  км ,  38  км ,,,,,,,,,,,
 11.,486768 .,ОП Ост. Пункт 368 км,  51  км ,  33  км ,,,,,,,,,,,
 12.,486700 .,Розовка,  54  км ,  30  км ,,,,,,,,,,,
 13.,486715 .,ОП Ост. Пункт 361 км,  59  км ,  25  км ,,,,,,,,,,,
 14.,486729 .,ОП Ост. пункт 357 км,  64  км ,  20  км ,,,,,,,,,,,
 15.,486734 .,ОП Ост. Пункт 349 км,  71  км ,  13  км ,,,,,,,,,,,
 16.,486749 .,Блок-пост 346 км,  73  км ,  11  км ,,,,,,,,,,,
 17.,486753 .,ОП Ост. Пункт 340 км,  80  км ,   4  км ,,,,,,,,,,,
 18.,462405 .,Камыш-Заря,  84  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 12) участок 48-012 ""ДОЛЯ - ЛАРИНО"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Доля,до ст. Ларино,,,,,,,,,,,
  1.,480615 .,Доля,   0  км ,  20  км ,,,,,,,,,,,
  2.,484423 .,ОП Ост. Пункт 47 км,   5  км ,  15  км ,,,,,,,,,,,
  3.,484419 .,ОП Ост. Пункт 43 км,   7  км ,  13  км ,,,,,,,,,,,
  4.,484404 .,Караванная,  13  км ,   7  км ,,,,,,,,,,,
  5.,483806 .,Ларино,  20  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 13) участок 48-013 ""ЛАРИНО - ИЛОВАЙСК"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Ларино,до ст. Иловайск,,,,,,,,,,,
