Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ МЕЖДУ СТАНЦИЯМИ НА УЧАСТКАХ ЖЕЛЕЗНЫХ ДОРОГ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Расстояния между станциями Донецкой ж.д. (код дороги 48),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  1) участок 48-001 ""ЧАПЛИНО (Приднепровской ж.д.) - ПОКРОВСК"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Чаплино,до ст. Покровск,,,,,,,,,,,
  1.,491200 .,Константиновка,   0  км ,  51  км ,,,,,,,,,,,
  2.,491037 .,ОП Иванополье,   5  км ,  46  км ,,,,,,,,,,,
  3.,491056 .,Блок-пост 6 км,   6  км ,  45  км ,,,,,,,,,,,
  4.,491022 .,Плещеевка,   8  км ,  43  км ,,,,,,,,,,,
  5.,491018 .,ОП Клебанбык,  11  км ,  40  км ,,,,,,,,,,,
  6.,491003 .,Кривой Торец,  14  км ,  37  км ,,,,,,,,,,,
  7.,490937 .,ОП Щербиновский,  17  км ,  34  км ,,,,,,,,,,,
  8.,490922 .,ОП Обзорная,  19  км ,  32  км ,,,,,,,,,,,
  9.,490918 .,ОП Ост. Пункт 22 км,  22  км ,  29  км ,,,,,,,,,,,
 10.,490903 .,Фенольная,  24  км ,  27  км ,,,,,,,,,,,
 11.,490941 .,ОП Железное,  27  км ,  24  км ,,,,,,,,,,,
 12.,490956 .,Петруньки,  30  км ,  21  км ,,,,,,,,,,,
 13.,490960 .,ОП Ост. Пункт 34 км,  34  км ,  17  км ,,,,,,,,,,,
 14.,490975 .,ОП Ост. Пункт 35 км,  35  км ,  16  км ,,,,,,,,,,,
 15.,490814 .,Скотоватая,  37  км ,  14  км ,,,,,,,,,,,
 16.,490829 .,ОП Ост. Пункт 38 км,  38  км ,  13  км ,,,,,,,,,,,
 17.,490833 .,ОП Ост. Пункт 41 км,  41  км ,  10  км ,,,,,,,,,,,
 18.,490852 .,ОП Ост. Пункт 47 км,  47  км ,   4  км ,,,,,,,,,,,
 19.,490867 .,Разъезд 2 км,  49  км ,   2  км ,,,,,,,,,,,
 20.,480009 .,Ясиноватая,  51  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 26) участок 48-026 ""КОНСТАНТИНОВКА - КРАМАТОРСК"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Константиновка,до ст. Краматорск,,,,,,,,,,,
  1.,491200 .,Константиновка,   0  км ,  30  км ,,,,,,,,,,,
  2.,491215 .,ОП Дмитриевка,   3  км ,  27  км ,,,,,,,,,,,
  3.,491304 .,Кондратьевка,  11  км ,  19  км ,,,,,,,,,,,
  4.,491323 .,ОП О.п. 1063 км,  16  км ,  14  км ,,,,,,,,,,,
  5.,491408 .,Дружковка,  19  км ,  11  км ,,,,,,,,,,,
  6.,491412 .,ОП Ост. Пункт 1057 км,  20  км ,  10  км ,,,,,,,,,,,
  7.,491427 .,ОП Малотарановка,  24  км ,   6  км ,,,,,,,,,,,
  8.,491431 .,ОП Пчелкино,  27  км ,   3  км ,,,,,,,,,,,
  9.,491446 .,ОП Прокатчик,  28  км ,   2  км ,,,,,,,,,,,
 10.,491802 .,Краматорск,  30  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 27) участок 48-027 ""КРАМАТОРСК - СЛАВЯНСК"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Краматорск,до ст. Славянск,,,,,,,,,,,
  1.,491802 .,Краматорск,   0  км ,  14  км ,,,,,,,,,,,
  2.,491817 .,ОП Ворота КМЗ,   2  км ,  12  км ,,,,,,,,,,,
  3.,491821 .,ОП Заводской,   3  км ,  11  км ,,,,,,,,,,,
  4.,491906 .,Шпичкино,   4  км ,  10  км ,,,,,,,,,,,
  5.,491910 .,ОП Ясногорка,   6  км ,   8  км ,,,,,,,,,,,
  6.,491925 .,ОП Герасимовка,   8  км ,   6  км ,,,,,,,,,,,
  7.,491937 .,ОП Андреевка,  11  км ,   3  км ,,,,,,,,,,,
  8.,492006 .,Славянск,  14  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 28) участок 48-028 ""СЛАВЯНСК - СЛАВЯНСК-ВЕТКА"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Славянск,до ст. Славянск-Ветка,,,,,,,,,,,
  1.,492006 .,Славянск,   0  км ,   4  км ,,,,,,,,,,,
  2.,492010 .,ОП Строймаш,   2  км ,   2  км ,,,,,,,,,,,
  3.,492109 .,Славянск-Ветка,   4  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 29) участок 48-029 ""СЛАВЯНСК - ПОСТ 4 КМ (Южной ж.д.)"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Славянск,до ст. Пост 4 км,,,,,,,,,,,
  1.,492006 .,Славянск,   0  км , 101  км ,,,,,,,,,,,
  2.,492025 .,ОП Ост. Пункт 1032 км,   1  км , 100  км ,,,,,,,,,,,
  3.,492032 .,ОП Прилужный I,   3  км ,  98  км ,,,,,,,,,,,
  4.,492044 .,ОП Прилужный II,   4  км ,  97  км ,,,,,,,,,,,
  5.,492059 .,ОП Прилужный III,   6  км ,  95  км ,,,,,,,,,,,
  6.,492307 .,Шидловская,  12  км ,  89  км ,,,,,,,,,,,
  7.,492311 .,ОП Черкасский,  13  км ,  88  км ,,,,,,,,,,,
  8.,492326 .,ОП Знаменский,  14  км ,  87  км ,,,,,,,,,,,
  9.,492330 .,ОП Прелестянский,  19  км ,  82  км ,,,,,,,,,,,
 10.,492400 .,Бантышево,  22  км ,  79  км ,,,,,,,,,,,
 11.,492415 .,ОП Торецкий,  24  км ,  77  км ,,,,,,,,,,,
 12.,492428 .,ОП Некременко,  29  км ,  72  км ,,,,,,,,,,,
 13.,492504 .,Гусаровка,  32  км ,  69  км ,,,,,,,,,,,
 14.,492519 .,ОП Дерезовка,  33  км ,  68  км ,,,,,,,,,,,
 15.,492523 .,ОП Надеждовка,  37  км ,  64  км ,,,,,,,,,,,
 16.,492608 .,Барвенково,  42  км ,  59  км ,,,,,,,,,,,
 17.,492612 .,ОП Чайкин Мост,  44  км ,  57  км ,,,,,,,,,,,
 18.,492627 .,Языково,  50  км ,  51  км ,,,,,,,,,,,
 19.,492631 .,ОП Григоровка,  56  км ,  45  км ,,,,,,,,,,,
 20.,492701 .,Гавриловка,  64  км ,  37  км ,,,,,,,,,,,
 21.,492716 .,ОП Пригожее,  68  км ,  33  км ,,,,,,,,,,,
 22.,493600 .,Дубово,  75  км ,  26  км ,,,,,,,,,,,
 23.,493615 .,ОП Бурбулатовская,  79  км ,  22  км ,,,,,,,,,,,
 24.,493623 .,ОП Ост. Пункт 950 км,  83  км ,  18  км ,,,,,,,,,,,
 25.,493704 .,Близнецы,  87  км ,  14  км ,,,,,,,,,,,
 26.,493719 .,ОП Рудаево,  95  км ,   6  км ,,,,,,,,,,,
 27.,493723 .,ОП Ост. Пункт 934 км,  99  км ,   2  км ,,,,,,,,,,,
 28.,442838 .,ОП Пост 4 км, 101  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 30) участок 48-030 ""СЛАВЯНСК - ЛИМАН"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Славянск,до ст. Лиман,,,,,,,,,,,
  1.,492006 .,Славянск,   0  км ,  27  км ,,,,,,,,,,,
  2.,490509 .,Им. Кожушко А.М.,   3  км ,  24  км ,,,,,,,,,,,
  3.,490424 .,ОП Масложиркомбинат,   5  км ,  22  км ,,,,,,,,,,,
  4.,490412 .,ОП Карандашная Фабрика,   6  км ,  21  км ,,,,,,,,,,,
  5.,490405 .,Славянский Курорт,   9  км ,  18  км ,,,,,,,,,,,
  6.,490301 .,Придонецкая,  14  км ,  13  км ,,,,,,,,,,,
  7.,490316 .,ОП Райгородок,  15  км ,  12  км ,,,,,,,,,,,
  8.,490335 .,ОП О.п. 10 км,  17  км ,  10  км ,,,,,,,,,,,
  9.,490320 .,Брусин,  20  км ,   7  км ,,,,,,,,,,,
 10.,490000 .,Лиман,  27  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 31) участок 48-031 ""ИМ. КОЖУШКО А.М. - ЭЛЕКТРИЧЕСКАЯ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Им. Кожушко А.М.,до ст. Славянск,до ст. Лиман,,,,,,,,,,
  1.,490509 .,Им. Кожушко А.М.,   0  км ,   3  км ,  24  км ,,,,,,,,,,
  2.,490528 .,Вспомогательный пост Новосодовый,   4  км ,   7  км ,  28  км ,,,,,,,,,,
  3.,490602 .,Электрическая,  12  км ,  15  км ,  36  км ,,,,,,,,,,
,,,,,,,,,,,,,,,
" 32) участок 48-032 ""ЛИМАН - СВЯТОГОРСК"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Лиман,до ст. Святогорск,,,,,,,,,,,
  1.,490000 .,Лиман,   0  км ,  24  км ,,,,,,,,,,,
  2.,490015 .,ОП Электровозная,   1  км ,  23  км ,,,,,,,,,,,
  3.,490027 .,ОП Новаторская,   2  км ,  22  км ,,,,,,,,,,,
  4.,490034 .,ОП Зеленый Клин,   5  км ,  19  км ,,,,,,,,,,,
  5.,490049 .,ОП Коллективный,   7  км ,  17  км ,,,,,,,,,,,
  6.,490053 .,Форпостная,  11  км ,  13  км ,,,,,,,,,,,
  7.,490068 .,ОП Новоселовка,  13  км ,  11  км ,,,,,,,,,,,
  8.,490072 .,ОП Яровая,  17  км ,   7  км ,,,,,,,,,,,
  9.,490087 .,ОП Елочный,  20  км ,   4  км ,,,,,,,,,,,
 10.,490208 .,Святогорск,  24  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 33) участок 48-033 ""БУКИНО (Южной ж.д.) - СВЯТОГОРСК"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Букино,до ст. Святогорск,,,,,,,,,,,
  1.,443635 .,Букино,   0  км ,  13  км ,,,,,,,,,,,
  2.,490231 .,ОП Ост. Пункт 390 км,   2  км ,  11  км ,,,,,,,,,,,
  3.,490227 .,ОП Яремовка,   6  км ,   7  км ,,,,,,,,,,,
  4.,490212 .,ОП Приятный,   9  км ,   4  км ,,,,,,,,,,,
  5.,490208 .,Святогорск,  13  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 34) участок 48-034 ""ТРОПА (Южной ж.д.) - СВЯТОГОРСК"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Тропа,до ст. Святогорск,,,,,,,,,,,
  1.,431248 .,Тропа,   0  км ,   7  км ,,,,,,,,,,,
  2.,490208 .,Святогорск,   7  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 35) участок 48-035 ""ЛИМАН - СЕВЕРСК"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Лиман,до ст. Северск,,,,,,,,,,,
  1.,490000 .,Лиман,   0  км ,  24  км ,,,,,,,,,,,
  2.,495112 .,ОП Медовый,  10  км ,  14  км ,,,,,,,,,,,
  3.,495108 .,Ямполь,  11  км ,  13  км ,,,,,,,,,,,
  4.,495131 .,ОП О.п. 438 км,  14  км ,  10  км ,,,,,,,,,,,
  5.,495023 .,ОП Прилежный,  17  км ,   7  км ,,,,,,,,,,,
  6.,495019 .,ОП Ост. Пункт 444 км,  19  км ,   5  км ,,,,,,,,,,,
  7.,495004 .,Северск,  24  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 36) участок 48-036 ""СЕВЕРСК - НИКИТОВКА"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Северск,до ст. Никитовка,,,,,,,,,,,
  1.,495004 .,Северск,   0  км ,  65  км ,,,,,,,,,,,
  2.,494849 .,ОП Кохана,   2  км ,  63  км ,,,,,,,,,,,
  3.,494834 .,ОП Звановка,   7  км ,  58  км ,,,,,,,,,,,
  4.,494829 .,Зовная,   9  км ,  56  км ,,,,,,,,,,,
  5.,494815 .,ОП Раздоловка,  16  км ,  49  км ,,,,,,,,,,,
  6.,494800 .,Соль,  19  км ,  46  км ,,,,,,,,,,,
  7.,494711 .,ОП Ост. Пункт 470 км,  22  км ,  43  км ,,,,,,,,,,,
  8.,494730 .,ОП Ост. пункт 473 км,  25  км ,  40  км ,,,,,,,,,,,
  9.,494707 .,Шевченко,  27  км ,  38  км ,,,,,,,,,,,
 10.,494618 .,Малоильшевская (пп),  31  км ,  34  км ,,,,,,,,,,,
 11.,494603 .,Бахмут,  35  км ,  30  км ,,,,,,,,,,,
 12.,494533 .,ОП Клещеевка,  42  км ,  23  км ,,,,,,,,,,,
 13.,494529 .,ОП Алебастровая,  44  км ,  21  км ,,,,,,,,,,,
 14.,494514 .,ОП Ост. Пункт 495 км,  46  км ,  19  км ,,,,,,,,,,,
 15.,494500 .,Курдюмовка,  51  км ,  14  км ,,,,,,,,,,,
 16.,494406 .,Майорская,  59  км ,   6  км ,,,,,,,,,,,
 17.,491111 .,ОП Терриконная,  63  км ,   2  км ,,,,,,,,,,,
 18.,493901 .,Никитовка,  65  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 37) участок 48-037 ""СОЛЬ - ВЕЛИЧКО"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Соль,до ст. Северск,,,,,,,,,,,
  1.,494800 .,Соль,   0  км ,  19  км ,,,,,,,,,,,
  2.,494904 .,Величко,   4  км ,  23  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 38) участок 48-038 ""НИКИТОВКА - ПОПАСНАЯ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Никитовка,до ст. Попасная,,,,,,,,,,,
  1.,493901 .,Никитовка,   0  км ,  53  км ,,,,,,,,,,,
  2.,494001 .,Трудовая,   3  км ,  50  км ,,,,,,,,,,,
  3.,494105 .,Доломит,  14  км ,  39  км ,,,,,,,,,,,
  4.,494114 .,ОП Посадочный,  17  км ,  36  км ,,,,,,,,,,,
  5.,494209 .,Светлодарское,  21  км ,  32  км ,,,,,,,,,,,
  6.,496100 .,Роты,  30  км ,  23  км ,,,,,,,,,,,
  7.,496115 .,ОП Ост. Пункт 18 км,  35  км ,  18  км ,,,,,,,,,,,
  8.,496083 .,ОП Логвиново,  38  км ,  15  км ,,,,,,,,,,,
  9.,496079 .,ОП Картамыши,  42  км ,  11  км ,,,,,,,,,,,
 10.,496064 .,ОП Ост. Пункт 10 км,  44  км ,   9  км ,,,,,,,,,,,
 11.,496053 .,ОП Калиново-Попасная,  46  км ,   7  км ,,,,,,,,,,,
 12.,496045 .,Пут.пост 4 км,  49  км ,   4  км ,,,,,,,,,,,
 13.,496030 .,ОП Ост. Пункт 1 км,  52  км ,   1  км ,,,,,,,,,,,
 14.,496007 .,Попасная,  53  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 39) участок 48-039 ""ПУТ.ПОСТ 4 КМ - СТУПКИ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Пут.пост 4 км,до ст. Ступки,,,,,,,,,,,
  1.,496045 .,Пут.пост 4 км,   0  км ,  34  км ,,,,,,,,,,,
  2.,496257 .,ОП Кварц,   3  км ,  31  км ,,,,,,,,,,,
  3.,496219 .,ОП Экстра,  19  км ,  15  км ,,,,,,,,,,,
  4.,496204 .,Деконская,  21  км ,  13  км ,,,,,,,,,,,
  5.,496308 .,Кудрявка,  29  км ,   5  км ,,,,,,,,,,,
  6.,496401 .,Ступки,  34  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 40) участок 48-040 ""СТУПКИ - БАХМУТ I"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Ступки,до ст. Бахмут I,,,,,,,,,,,
  1.,496401 .,Ступки,   0  км ,   4  км ,,,,,,,,,,,
  2.,496505 .,Бахмут I,   4  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 41) участок 48-041 ""СТУПКИ - МАЛОИЛЬШЕВСКАЯ (ПП)"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Ступки,до ст. Малоильшевская (пп),,,,,,,,,,,
  1.,496401 .,Ступки,   0  км ,   1  км ,,,,,,,,,,,
  2.,494618 .,Малоильшевская (пп),   1  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 42) участок 48-042 ""ПОПАСНАЯ - ДЕБАЛЬЦЕВО-СОРТИРОВОЧНОЕ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Попасная,до ст. Дебальцево-Сортировочное,,,,,,,,,,,
  1.,496007 .,Попасная,   0  км ,  63  км ,,,,,,,,,,,
  2.,495644 .,Садовый (пп),   6  км ,  57  км ,,,,,,,,,,,
  3.,495639 .,ОП Возгорье,   9  км ,  54  км ,,,,,,,,,,,
  4.,495625 .,Чутовка (пп),  12  км ,  51  км ,,,,,,,,,,,
  5.,495610 .,ОП Горняцкая,  13  км ,  50  км ,,,,,,,,,,,
  6.,495606 .,Марьевка,  16  км ,  47  км ,,,,,,,,,,,
  7.,495521 .,ОП Ост. Пункт 1010 км,  20  км ,  43  км ,,,,,,,,,,,
  8.,495517 .,Голубовка,  21  км ,  42  км ,,,,,,,,,,,
  9.,495502 .,Первомайск,  26  км ,  37  км ,,,,,,,,,,,
 10.,495428 .,ОП Теплогорск,  30  км ,  33  км ,,,,,,,,,,,
 11.,495413 .,Картанаш (пп),  35  км ,  28  км ,,,,,,,,,,,
 12.,495409 .,Стаханов,  40  км ,  23  км ,,,,,,,,,,,
 13.,495343 .,Лазурная (пп),  44  км ,  19  км ,,,,,,,,,,,
 14.,495339 .,ОП Сабовка,  46  км ,  17  км ,,,,,,,,,,,
 15.,495305 .,Ломоватка,  49  км ,  14  км ,,,,,,,,,,,
 16.,495324 .,Пут.пост 1043 км,  53  км ,  10  км ,,,,,,,,,,,
 17.,495310 .,ОП Ост. Пункт 1046 км,  56  км ,   7  км ,,,,,,,,,,,
 18.,500109 .,Им. Крючкова О.М.,  59  км ,   4  км ,,,,,,,,,,,
 19.,500005 .,Дебальцево-Сортировочное,  63  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 43) участок 48-043 ""ДЕБАЛЬЦЕВО-СОРТИРОВОЧНОЕ - УГЛЕГОРСК"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Дебальцево-Сортировочное,до ст. Углегорск,,,,,,,,,,,
  1.,500005 .,Дебальцево-Сортировочное,   0  км ,  17  км ,,,,,,,,,,,
  2.,500202 .,Дебальцево,   5  км ,  12  км ,,,,,,,,,,,
  3.,500217 .,ОП Абрикосовый,   8  км ,   9  км ,,,,,,,,,,,
  4.,500406 .,Булавин,   9  км ,   8  км ,,,,,,,,,,,
  5.,500414 .,ОП Ост. Пункт 1067 км,  14  км ,   3  км ,,,,,,,,,,,
  6.,500503 .,Углегорск,  17  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 44) участок 48-044 ""УГЛЕГОРСК - ГОРЛОВКА"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Углегорск,до ст. Горловка,,,,,,,,,,,
  1.,500503 .,Углегорск,   0  км ,  19  км ,,,,,,,,,,,
  2.,500433 .,ОП Ост. Пункт 15 км,   5  км ,  14  км ,,,,,,,,,,,
  3.,500607 .,Байрак,  11  км ,   8  км ,,,,,,,,,,,
  4.,500611 .,ОП Ост. Пункт 6 км,  17  км ,   2  км ,,,,,,,,,,,
  5.,483007 .,Горловка,  19  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 45) участок 48-045 ""УГЛЕГОРСК - КРИНИЧНАЯ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Углегорск,до ст. Криничная,,,,,,,,,,,
  1.,500503 .,Углегорск,   0  км ,  37  км ,,,,,,,,,,,
  2.,488814 .,ОП Ост. Пункт 1073 км,   3  км ,  34  км ,,,,,,,,,,,
  3.,488800 .,Волынцево,   9  км ,  28  км ,,,,,,,,,,,
  4.,488706 .,Енакиево,  14  км ,  23  км ,,,,,,,,,,,
  5.,488528 .,ОП Виноградники,  19  км ,  18  км ,,,,,,,,,,,
  6.,488509 .,Щебенка,  20  км ,  17  км ,,,,,,,,,,,
  7.,488532 .,ОП Ост. пункт 1092 км,  22  км ,  15  км ,,,,,,,,,,,
  8.,488212 .,ОП Ост. Пункт 1094 км,  24  км ,  13  км ,,,,,,,,,,,
  9.,488208 .,Монахово,  28  км ,   9  км ,,,,,,,,,,,
 10.,488138 .,ОП Ост. пункт 1100 км,  30  км ,   7  км ,,,,,,,,,,,
 11.,488119 .,ОП Каменоломня,  33  км ,   4  км ,,,,,,,,,,,
 12.,488104 .,Криничная,  37  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 46) участок 48-046 ""ЩЕБЕНКА - РАЗЪЕЗД 5 КМ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Щебенка,до ст. Углегорск,до ст. Криничная,,,,,,,,,,
  1.,488509 .,Щебенка,   0  км ,  20  км ,  17  км ,,,,,,,,,,
  2.,488227 .,ОП Ост. Пункт 3 км,   3  км ,  23  км ,  20  км ,,,,,,,,,,
  3.,488231 .,ОП Воля,   6  км ,  26  км ,  23  км ,,,,,,,,,,
  4.,488142 .,ОП Ост. пункт 9 км,   9  км ,  29  км ,  26  км ,,,,,,,,,,
  5.,488602 .,Нижнекрынка,  12  км ,  32  км ,  29  км ,,,,,,,,,,
  6.,488617 .,Разъезд 5 км,  17  км ,  37  км ,  34  км ,,,,,,,,,,
,,,,,,,,,,,,,,,
" 47) участок 48-047 ""УГЛЕГОРСК - СВЕТЛОДАРСКОЕ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Углегорск,до ст. Светлодарское,,,,,,,,,,,
  1.,500503 .,Углегорск,   0  км ,  22  км ,,,,,,,,,,,
  2.,494209 .,Светлодарское,  22  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 48) участок 48-048 ""КРИНИЧНАЯ - ГОРЛОВКА"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Криничная,до ст. Горловка,,,,,,,,,,,
  1.,488104 .,Криничная,   0  км ,  26  км ,,,,,,,,,,,
  2.,488301 .,Путепровод,   3  км ,  23  км ,,,,,,,,,,,
  3.,488405 .,Пантелеймоновка,  11  км ,  15  км ,,,,,,,,,,,
  4.,483007 .,Горловка,  26  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 49) участок 48-049 ""КРИНИЧНАЯ - ЯСИНОВАТАЯ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Криничная,до ст. Ясиноватая,,,,,,,,,,,
  1.,488104 .,Криничная,   0  км ,  13  км ,,,,,,,,,,,
  2.,480210 .,ОП Ост. Пункт 1110 км,   4  км ,   9  км ,,,,,,,,,,,
  3.,480206 .,Макеевка-Пассажирская,   7  км ,   6  км ,,,,,,,,,,,
  4.,480051 .,ОП Ост. Пункт 1118 км,  11  км ,   2  км ,,,,,,,,,,,
  5.,480009 .,Ясиноватая,  13  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 50) участок 48-050 ""КРИНИЧНАЯ - ИЛОВАЙСК"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Криничная,до ст. Иловайск,,,,,,,,,,,
  1.,488104 .,Криничная,   0  км ,  27  км ,,,,,,,,,,,
  2.,488000 .,Ханженково,   6  км ,  21  км ,,,,,,,,,,,
  3.,487915 .,ОП Канатный Завод,  11  км ,  16  км ,,,,,,,,,,,
  4.,487900 .,Харцызск,  14  км ,  13  км ,,,,,,,,,,,
  5.,487807 .,Иловайск,  27  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 51) участок 48-051 ""ИЛОВАЙСК - КВАШИНО"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Иловайск,до ст. Квашино,,,,,,,,,,,
  1.,487807 .,Иловайск,   0  км ,  41  км ,,,,,,,,,,,
  2.,487421 .,ОП Агрономический,   8  км ,  33  км ,,,,,,,,,,,
  3.,487417 .,ОП Ост. Пункт 1175 км,  11  км ,  30  км ,,,,,,,,,,,
  4.,487402 .,Кутейниково,  15  км ,  26  км ,,,,,,,,,,,
  5.,487313 .,ОП Керамический,  22  км ,  19  км ,,,,,,,,,,,
  6.,487309 .,Амвросиевка,  31  км ,  10  км ,,,,,,,,,,,
  7.,487210 .,Квашино,  41  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 52) участок 48-052 ""КУТЕЙНИКОВО - КАРАКУБА"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Кутейниково,до ст. Каракуба,до ст. Иловайск,,,,,,,,,,
  1.,487402 .,Кутейниково,   0  км ,  31  км ,  15  км ,,,,,,,,,,
  2.,487436 .,ОП Ост. Пункт 7 км,   7  км ,  24  км ,  22  км ,,,,,,,,,,
  3.,487440 .,ОП Зеркальный,  11  км ,  20  км ,  26  км ,,,,,,,,,,
  4.,487506 .,Карбидный,  16  км ,  15  км ,  31  км ,,,,,,,,,,
  5.,487510 .,ОП Колоски,  19  км ,  12  км ,  34  км ,,,,,,,,,,
  6.,487525 .,Войково,  22  км ,   9  км ,  37  км ,,,,,,,,,,
  7.,487539 .,ОП Ребриково,  28  км ,   3  км ,  43  км ,,,,,,,,,,
  8.,487605 .,Каракуба,  31  км ,   0  км ,  46  км ,,,,,,,,,,
,,,,,,,,,,,,,,,
" 53) участок 48-053 ""ИЛОВАЙСК - ЧЕРНУХИНО"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Иловайск,до ст. Чернухино,,,,,,,,,,,
  1.,487807 .,Иловайск,   0  км ,  86  км ,,,,,,,,,,,
  2.,489003 .,Немчино,   5  км ,  81  км ,,,,,,,,,,,
  3.,489018 .,ОП Ост. Пункт 78 км,   7  км ,  79  км ,,,,,,,,,,,
  4.,489107 .,Скосырская,  13  км ,  73  км ,,,,,,,,,,,
  5.,489130 .,ОП Ост. пункт 71 км,  14  км ,  72  км ,,,,,,,,,,,
  6.,489126 .,ОП Ост. пункт 68 км,  18  км ,  68  км ,,,,,,,,,,,
  7.,489200 .,Орлова Слобода,  20  км ,  66  км ,,,,,,,,,,,
  8.,489215 .,ОП Зуевский,  25  км ,  61  км ,,,,,,,,,,,
  9.,489304 .,Сорочье,  28  км ,  58  км ,,,,,,,,,,,
 10.,489408 .,Сердитая,  34  км ,  52  км ,,,,,,,,,,,
 11.,489412 .,ОП Ост. Пункт 48 км,  38  км ,  48  км ,,,,,,,,,,,
 12.,489501 .,Постниково,  42  км ,  44  км ,,,,,,,,,,,
