Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ МЕЖДУ СТАНЦИЯМИ НА УЧАСТКАХ ЖЕЛЕЗНЫХ ДОРОГ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Расстояния между станциями Львовской ж.д. (код дороги 35),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  1) участок 35-001 ""САРНЫ - УДРИЦК"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Сарны,до ст. Удрицк,,,,,,,,,,,
 21.,354003 .,Ковель, 142  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  5) участок 35-005 ""РОВНО - ЗДОЛБУНОВ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Ровно,до ст. Здолбунов,,,,,,,,,,,
  1.,356600 .,Ровно,   0  км ,  12  км ,,,,,,,,,,,
  2.,356672 .,ОП Дворецкая,   1  км ,  11  км ,,,,,,,,,,,
  3.,356668 .,ОП Басов Кут,   5  км ,   7  км ,,,,,,,,,,,
  4.,356653 .,ОП Квасилов,   9  км ,   3  км ,,,,,,,,,,,
  5.,350002 .,Здолбунов,  12  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  6) участок 35-006 ""ЗДОЛБУНОВ - КРАСНЕ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Здолбунов,до ст. Красне,,,,,,,,,,,
  1.,350002 .,Здолбунов,   0  км , 144  км ,,,,,,,,,,,
  2.,350017 .,ОП Глинск,   8  км , 136  км ,,,,,,,,,,,
  3.,350021 .,ОП Ульбаров,  13  км , 131  км ,,,,,,,,,,,
  4.,350036 .,ОП Платформа 128 км,  17  км , 127  км ,,,,,,,,,,,
  5.,350106 .,Озеряны,  20  км , 124  км ,,,,,,,,,,,
  6.,350110 .,ОП Мокров,  27  км , 117  км ,,,,,,,,,,,
  7.,350125 .,ОП Мирогоща,  34  км , 110  км ,,,,,,,,,,,
  8.,350303 .,Дубно,  43  км , 101  км ,,,,,,,,,,,
  9.,350318 .,Каменица-Волынская,  49  км ,  95  км ,,,,,,,,,,,
 10.,350604 .,Верба,  60  км ,  84  км ,,,,,,,,,,,
 11.,350619 .,ОП Платформа 81 км,  63  км ,  81  км ,,,,,,,,,,,
 12.,350708 .,Рудня-Почаювская,  70  км ,  74  км ,,,,,,,,,,,
 13.,350712 .,ОП Ост. Пункт 68 км,  76  км ,  68  км ,,,,,,,,,,,
 14.,350727 .,ОП Михайловка,  80  км ,  64  км ,,,,,,,,,,,
 15.,350731 .,ОП Ост. Пункт 58 км,  86  км ,  58  км ,,,,,,,,,,,
 16.,350801 .,Радивилов,  92  км ,  52  км ,,,,,,,,,,,
 17.,350905 .,Броды, 102  км ,  42  км ,,,,,,,,,,,
 18.,350912 .,ОП Пониковица, 107  км ,  37  км ,,,,,,,,,,,
 19.,351005 .,Заболотцы, 115  км ,  29  км ,,,,,,,,,,,
 20.,351018 .,ОП Куты, 122  км ,  22  км ,,,,,,,,,,,
 21.,351109 .,Ожидов-Олеско, 128  км ,  16  км ,,,,,,,,,,,
 22.,351113 .,ОП Закомарье, 133  км ,  11  км ,,,,,,,,,,,
 23.,351128 .,ОП Петричи, 138  км ,   6  км ,,,,,,,,,,,
 24.,379809 .,Красне, 144  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  7) участок 35-007 ""КРАСНЕ - ПОДЗАМЧЕ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Красне,до ст. Подзамче,,,,,,,,,,,
  1.,379809 .,Красне,   0  км ,  44  км ,,,,,,,,,,,
  2.,379725 .,ОП Куткор,   5  км ,  39  км ,,,,,,,,,,,
  3.,379710 .,ОП Полтва,   9  км ,  35  км ,,,,,,,,,,,
  4.,379706 .,Задворье,  13  км ,  31  км ,,,,,,,,,,,
  5.,379316 .,ОП Полоничи,  20  км ,  24  км ,,,,,,,,,,,
  6.,379301 .,Борщовичи,  27  км ,  17  км ,,,,,,,,,,,
  7.,370218 .,Подборцы,  37  км ,   7  км ,,,,,,,,,,,
  8.,370203 .,Подзамче,  44  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  8) участок 35-008 ""ПОДЗАМЧЕ - САПЕЖАНКА"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Подзамче,до ст. Сапежанка,,,,,,,,,,,
  1.,370203 .,Подзамче,   0  км ,  40  км ,,,,,,,,,,,
  2.,370608 .,Дубляны-Львовские,   7  км ,  33  км ,,,,,,,,,,,
  3.,370701 .,Запытов,  18  км ,  22  км ,,,,,,,,,,,
  4.,370716 .,ОП Руданьцы,  23  км ,  17  км ,,,,,,,,,,,
  5.,370720 .,Колодно,  29  км ,  11  км ,,,,,,,,,,,
  6.,370735 .,ОП Новый Став,  35  км ,   5  км ,,,,,,,,,,,
  7.,370909 .,Сапежанка,  40  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  9) участок 35-009 ""САПЕЖАНКА - КИВЕРЦЫ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Сапежанка,до ст. Киверцы,,,,,,,,,,,
  1.,370909 .,Сапежанка,   0  км , 142  км ,,,,,,,,,,,
  2.,370100 .,Каменка-Бугская,   3  км , 139  км ,,,,,,,,,,,
  3.,370814 .,ОП Воля Холоевская,  20  км , 122  км ,,,,,,,,,,,
  4.,371598 .,ОП Вузловое,  24  км , 118  км ,,,,,,,,,,,
  5.,371704 .,Радехов,  32  км , 110  км ,,,,,,,,,,,
  6.,371808 .,Стоянов,  47  км ,  95  км ,,,,,,,,,,,
  7.,357340 .,ОП Браны,  55  км ,  87  км ,,,,,,,,,,,
  8.,357336 .,ОП Платформа 98 км,  58  км ,  84  км ,,,,,,,,,,,
  9.,357302 .,Горохов,  63  км ,  79  км ,,,,,,,,,,,
 10.,357317 .,ОП Галичины,  69  км ,  73  км ,,,,,,,,,,,
 11.,357321 .,ОП Заставье,  74  км ,  68  км ,,,,,,,,,,,
 12.,357406 .,Звиняче,  77  км ,  65  км ,,,,,,,,,,,
 13.,357410 .,ОП Венгривка,  81  км ,  61  км ,,,,,,,,,,,
 14.,357506 .,Сенкевичевка,  86  км ,  56  км ,,,,,,,,,,,
 15.,357514 .,ОП Нивы-Губинские,  88  км ,  54  км ,,,,,,,,,,,
 16.,357529 .,ОП Дубовая Корчма,  94  км ,  48  км ,,,,,,,,,,,
 17.,357533 .,ОП Вигуричи,  98  км ,  44  км ,,,,,,,,,,,
 18.,357603 .,Несвичь-Волынский, 102  км ,  40  км ,,,,,,,,,,,
 19.,357618 .,ОП Оздов, 111  км ,  31  км ,,,,,,,,,,,
 20.,357622 .,ОП Проминь, 116  км ,  26  км ,,,,,,,,,,,
 21.,357707 .,Гнидава, 119  км ,  23  км ,,,,,,,,,,,
 22.,357800 .,Луцк, 129  км ,  13  км ,,,,,,,,,,,
 23.,359045 .,Промыслова, 131  км ,  11  км ,,,,,,,,,,,
 24.,359026 .,ОП Прилуцкая, 132  км ,  10  км ,,,,,,,,,,,
 25.,359050 .,Дачне, 136  км ,   6  км ,,,,,,,,,,,
 26.,359007 .,Киверцы, 142  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 10) участок 35-010 ""КИВЕРЦЫ - РОВНО"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Киверцы,до ст. Ровно,,,,,,,,,,,
  1.,359007 .,Киверцы,   0  км ,  65  км ,,,,,,,,,,,
  2.,359030 .,ОП Веснянка,   5  км ,  60  км ,,,,,,,,,,,
  3.,359011 .,ОП Арматнюв,  12  км ,  53  км ,,,,,,,,,,,
  4.,359100 .,Олыка,  21  км ,  44  км ,,,,,,,,,,,
  5.,359115 .,ОП Платформа 271 км,  26  км ,  39  км ,,,,,,,,,,,
  6.,359204 .,Цумань,  31  км ,  34  км ,,,,,,,,,,,
  7.,359219 .,ОП Новостав,  38  км ,  27  км ,,,,,,,,,,,
  8.,359308 .,Клевань,  42  км ,  23  км ,,,,,,,,,,,
  9.,359312 .,ОП Оржев,  47  км ,  18  км ,,,,,,,,,,,
 10.,359327 .,ОП Платформа 245 км,  52  км ,  13  км ,,,,,,,,,,,
 11.,359401 .,Обаров,  57  км ,   8  км ,,,,,,,,,,,
 12.,359416 .,ОП Шпанов,  61  км ,   4  км ,,,,,,,,,,,
 13.,356600 .,Ровно,  65  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 11) участок 35-011 ""КИВЕРЦЫ - КОВЕЛЬ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Киверцы,до ст. Ковель,,,,,,,,,,,
  1.,359007 .,Киверцы,   0  км ,  71  км ,,,,,,,,,,,
  2.,358818 .,ОП Ост. Пункт 305 км,   9  км ,  62  км ,,,,,,,,,,,
  3.,358803 .,Рожище,  18  км ,  53  км ,,,,,,,,,,,
  4.,358521 .,ОП Бирок,  26  км ,  45  км ,,,,,,,,,,,
  5.,358701 .,Переспа,  30  км ,  41  км ,,,,,,,,,,,
  6.,358517 .,ОП Стоход,  38  км ,  33  км ,,,,,,,,,,,
  7.,358502 .,Голобы,  45  км ,  26  км ,,,,,,,,,,,
  8.,358432 .,ОП Вивчицк,  49  км ,  22  км ,,,,,,,,,,,
  9.,358413 .,ОП Ост. Пункт 352 км,  57  км ,  14  км ,,,,,,,,,,,
 10.,358409 .,Любитов,  61  км ,  10  км ,,,,,,,,,,,
 11.,358316 .,ОП Колодежно,  65  км ,   6  км ,,,,,,,,,,,
 12.,354003 .,Ковель,  71  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 12) участок 35-012 ""КОВЕЛЬ - ЧЕРВОНОГРАД"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Ковель,до ст. Червоноград,,,,,,,,,,,
  1.,354003 .,Ковель,   0  км , 111  км ,,,,,,,,,,,
  2.,353903 .,Люблинец-Волынский (рзд),  11  км , 100  км ,,,,,,,,,,,
  3.,353814 .,ОП Ружин,  17  км ,  94  км ,,,,,,,,,,,
  4.,353804 .,Турийск,  24  км ,  87  км ,,,,,,,,,,,
  5.,353231 .,ОП Обенижи,  30  км ,  81  км ,,,,,,,,,,,
