Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ МЕЖДУ СТАНЦИЯМИ НА УЧАСТКАХ ЖЕЛЕЗНЫХ ДОРОГ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Расстояния между станциями Южно-Уральской ж.д. (код дороги 80),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  1) участок 80-001 ""КРОПАЧЕВО - БЕРДЯУШ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Кропачево,до ст. Бердяуш,,,,,,,,,,,
 38.,804846 .,ОП Мирный, 171  км ,  15  км ,,,,,,,,,,,
 39.,804831 .,ОП Биргильда, 175  км ,  11  км ,,,,,,,,,,,
 40.,804827 .,ОП Ост. Пункт 2067 км, 178  км ,   8  км ,,,,,,,,,,,
 41.,804865 .,ОП СНТ Градостроитель, 179  км ,   7  км ,,,,,,,,,,,
 42.,804812 .,ОП СНТ Полет, 181  км ,   5  км ,,,,,,,,,,,
 43.,804808 .,Полетаево I, 186  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  3) участок 80-004 ""АЙ - ТИТАН"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Ай,до ст. Титан,,,,,,,,,,,
  1.,806466 .,Ай,   0  км ,  18  км ,,,,,,,,,,,
  2.,806555 .,ОП Титан,  18  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  4) участок 80-005 ""ПОЛЕТАЕВО I - ЕМАНЖЕЛИНСК"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Полетаево I,до ст. Еманжелинск,,,,,,,,,,,
  1.,804808 .,Полетаево I,   0  км ,  30  км ,,,,,,,,,,,
  2.,800262 .,ОП Новая Платформа,   1  км ,  29  км ,,,,,,,,,,,
  3.,804723 .,Полетаево II (рзд),   4  км ,  26  км ,,,,,,,,,,,
  4.,804719 .,Томино (рзд),  11  км ,  19  км ,,,,,,,,,,,
  5.,804704 .,Клубника,  20  км ,  10  км ,,,,,,,,,,,
  6.,804634 .,ОП Шеинский,  23  км ,   7  км ,,,,,,,,,,,
  7.,804600 .,Еманжелинск,  30  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  5) участок 80-006 ""ПОЛЕТАЕВО I - ЧЕЛЯБИНСК-ГЛАВНЫЙ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Полетаево I,до ст. Челябинск-Главный,,,,,,,,,,,
  1.,804808 .,Полетаево I,   0  км ,  26  км ,,,,,,,,,,,
  2.,804879 .,ОП СНТ Железнодорожник,   1  км ,  25  км ,,,,,,,,,,,
  3.,800258 .,ОП Бутаки,   3  км ,  23  км ,,,,,,,,,,,
  4.,800243 .,Смолино,  10  км ,  16  км ,,,,,,,,,,,
  5.,800239 .,ОП Сосновка,  13  км ,  13  км ,,,,,,,,,,,
  6.,800224 .,ОП Спутник,  17  км ,   9  км ,,,,,,,,,,,
  7.,800210 .,ОП Поселок Дмитрия Донского,  20  км ,   6  км ,,,,,,,,,,,
  8.,800205 .,Шершни,  21  км ,   5  км ,,,,,,,,,,,
  9.,800031 .,ОП Ост. Пункт 2097 км,  22  км ,   4  км ,,,,,,,,,,,
 10.,800027 .,ОП Подстанция,  23  км ,   3  км ,,,,,,,,,,,
 11.,800012 .,ОП Локомотивная I,  24  км ,   2  км ,,,,,,,,,,,
 12.,800008 .,Челябинск-Главный,  26  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  6) участок 80-007 ""ЧЕЛЯБИНСК-ГЛАВНЫЙ - ЧУРИЛОВО"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Челябинск-Главный,до ст. Чурилово,,,,,,,,,,,
  1.,800008 .,Челябинск-Главный,   0  км ,   9  км ,,,,,,,,,,,
  2.,801301 .,Тракторстрой,   5  км ,   4  км ,,,,,,,,,,,
  3.,801015 .,ОП Переездный,   7  км ,   2  км ,,,,,,,,,,,
  4.,801104 .,Чурилово,   9  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  7) участок 80-008 ""ЧУРИЛОВО - НИЖНЯЯ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Чурилово,до ст. Нижняя,,,,,,,,,,,
  1.,801104 .,Чурилово,   0  км , 113  км ,,,,,,,,,,,
  2.,801994 .,ОП Ост. Пункт 152 км,   1  км , 112  км ,,,,,,,,,,,
  3.,801987 .,ОП Тракторсад,   3  км , 110  км ,,,,,,,,,,,
  4.,801918 .,Межозерная,   5  км , 108  км ,,,,,,,,,,,
  5.,801975 .,ОП Песочные карьеры,   7  км , 106  км ,,,,,,,,,,,
  6.,801960 .,ОП Компрессорный завод,   8  км , 105  км ,,,,,,,,,,,
  7.,801903 .,Баландино,  16  км ,  97  км ,,,,,,,,,,,
  8.,801852 .,ОП Береговой,  18  км ,  95  км ,,,,,,,,,,,
  9.,801848 .,ОП Нагорный,  20  км ,  93  км ,,,,,,,,,,,
 10.,801833 .,Разъезд № 6,  28  км ,  85  км ,,,,,,,,,,,
 11.,801829 .,ОП Красноармейская Дубровка,  32  км ,  81  км ,,,,,,,,,,,
 12.,801814 .,Сураково (рзд),  38  км ,  75  км ,,,,,,,,,,,
 13.,801800 .,Муслюмово,  50  км ,  63  км ,,,,,,,,,,,
