Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
АЛФАВИТНЫЙ СПИСОК ЖЕЛЕЗНОДОРОЖНЫХ СТАНЦИЙ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Алфавитный список портов ВНУТРЕННЕГО ВОДНОГО транспорта, включённых в прямое смешанное железнодорожно-водное сообщение",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
№ п/п,Порт,Параграфы,Бассейн,Водоём,Операции,"Масса груза, т",,,,,,,,,,,,,,
   64.,Бармино,"§1,4",,Волга,ОП,,,,,,,,,,,,,,,
   65.,Барнаул,"§1,2,4",,Обь,ОП,5,,,,,,,,,,,,,,
   66.,Барнаульский РЭБ,§4,,Обь,ОП,,,,,,,,,,,,,,,
   67.,Батагай,"§4,5,6",,Яна,ОП,,,,,,,,,,,,,,,
,,"Грузы, следующие в п.Батагай передаются в п.Нижнеянск на перевозку по р.Яна ОАО «Янское речное пароходство».",,,,,,,,,,,,,,,,,,
   68.,Батамай,"§4,5",,Лена,П,,,,,,,,,,,,,,,
   69.,Батуринская судоверфь,"§4,5",,Чулым,П,,,,,,,,,,,,,,,
   70.,Башмачное,§4,,Иртыш,О,,,,,,,,,,,,,,,
   71.,Башурово,"§4,5",,Амур,П,,,,,,,,,,,,,,,
   72.,Безводное,§4,,Волга,О,,,,,,,,,,,,,,,
   73.,Бекетовка,§7,,Волга,О,,,,,,,,,,,,,,,
   74.,Бектяжка,§4,,Куйбышевское водохранилище,О,,,,,,,,,,,,,,,
   75.,Белая Калитва,§4,,Северский Донец,ОП,,,,,,,,,,,,,,,
   76.,Белогорск,"§4.5,6",,Индигирка,П,,,,,,,,,,,,,,,
,,Погрузку и выгрузку контейнеров в Белогорске грузоотправители и грузополучатели обязаны производить своими силами и средствами и на своих причалах.,,,,,,,,,,,,,,,,,,
   77.,Белогорье,§4,,Дон,О,,,,,,,,,,,,,,,
   78.,Белогорье,§4,,Иртыш,О,,,,,,,,,,,,,,,
   79.,Белоевское,§4,,Чусовая,О,,,,,,,,,,,,,,,
   80.,Белозерск,"§1,3,4",,Белозерский канал,ОП,5,,,,,,,,,,,,,,
   81.,Белокаменка,§4,,Иртыш,О,,,,,,,,,,,,,,,
   82.,"Беломорск, шлюз N 19",§4,,Беломорско-Балтийский канал,ОП,,,,,,,,,,,,,,,
   83.,Белоомут,§4,,Ока,ОП,,,,,,,,,,,,,,,
   84.,Белорусский,"§4,5",,Вах,П,,,,,,,,,,,,,,,
   85.,Белоусово,§7,,Кама,О,,,,,,,,,,,,,,,
   86.,Белоусово,§4,,Волго-Балтийский канал,О,,,,,,,,,,,,,,,
   87.,Белоярск,"§4,5",,Щучья,П,5,,,,,,,,,,,,,,
,,Погрузку и выгрузку контейнеров в Белоярске грузоотправители и грузополучатели обязаны производить своими силами и средствами и на своих причалах.,,,,,,,,,,,,,,,,,,
