Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
АЛФАВИТНЫЙ СПИСОК ЖЕЛЕЗНОДОРОЖНЫХ СТАНЦИЙ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Алфавитный список портов ВНУТРЕННЕГО ВОДНОГО транспорта, включённых в прямое смешанное железнодорожно-водное сообщение",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
№ п/п,Порт,Параграфы,Бассейн,Водоём,Операции,"Масса груза, т",,,,,,,,,,,,,,
  269.,Голубинская,§4,,Дон,ОП,,,,,,,,,,,,,,,
  270.,Голубица,§4,,Припять,О,,,,,,,,,,,,,,,
  271.,Гольцы,"§4,7",,Вятка,ОП,,,,,,,,,,,,,,,
  272.,Гомель,"§1,2,3,4",,Сож,ОП,5,,,,,,,,,,,,,,
  273.,Горбатов,§4,,Ока,ОП,,,,,,,,,,,,,,,
  274.,Горбица,"§4,5",,Шилка,П,,,,,,,,,,,,,,,
  275.,Горбунята,§4,,Сылва,П,,,,,,,,,,,,,,,
  276.,Горваль,§4,,Березина,О,,,,,,,,,,,,,,,
  277.,Горицы,§4,,Шексна,ОП,,,,,,,,,,,,,,,
  278.,Горка,"§3,7",,Северная Двина,О,,,,,,,,,,,,,,,
  279.,Горки,"§4,5",,Горная Обь,П,5,,,,,,,,,,,,,,
  280.,Горная Пролейка,§4,,Волга,ОП,,,,,,,,,,,,,,,
  281.,Горноправдинск,"§4,5",,Иртыш,ОП,,,,,,,,,,,,,,,
  282.,Городец,"§1,4",,Волга,ОП,5,,,,,,,,,,,,,,
  283.,Городище,§4,,Камское водохранилище,П,,,,,,,,,,,,,,,
  284.,Городовка,§4,Верхнеднепровский,Сож,ОП,,,,,,,,,,,,,,,
  285.,Городок,§4,,Мезень,П,,,,,,,,,,,,,,,
  286.,Городок (ниже Томска),§7,,Томь,О,,,,,,,,,,,,,,,
  287.,Гороховец,§4,,Клязьма,ОП,,,,,,,,,,,,,,,
  288.,Гороховка,§4,,Дон,П,,,,,,,,,,,,,,,
  289.,Горынь,§4,Верхнеднепровский,Горынь,О,,,,,,,,,,,,,,,
  290.,Горький,"§1,2,3,4",,Волга,ОП,100,,,,,,,,,,,,,,
  291.,Гояны,"§4,5",Министерство транспорта и,Днестр,П,,,,,,,,,,,,,,,
,,,связи Республики Молдова,,,,,,,,,,,,,,,,,
  292.,Графский Берег,"§3,4,5",,Лена,П,,,,,,,,,,,,,,,
  293.,Гребени,§4,,Куйбышевское водохранилище,ОП,,,,,,,,,,,,,,,
  294.,Гремячье,§4,,Дон,П,,,,,,,,,,,,,,,
  295.,Григориополь,"§4,5,7",Министерство транспорта и,Днестр,ОП,,,,,,,,,,,,,,,
,,,связи Республики Молдова,,,,,,,,,,,,,,,,,
  296.,Григорьевка,"§1,2,4,5",Иссык-Кульский,оз. Иссык-Куль,ОП,5,,,,,,,,,,,,,,
  297.,Гробовский Мост,§4,,Вохма,П,,,,,,,,,,,,,,,
  298.,Гроново,§4,Верхнеднепровский,Сож,О,,,,,,,,,,,,,,,
  299.,Груздевка,§4,,Белая,ОП,,,,,,,,,,,,,,,
  300.,Грушино,§4,,Унжа,П,,,,,,,,,,,,,,,
  301.,Гурское,§7,,Амур,О,,,,,,,,,,,,,,,
  302.,Гурьевка,§4,,Вятка,ОП,,,,,,,,,,,,,,,
  303.,Гыда,"§3,4,5",,Обская и Тазовская губа,П,5,,,,,,,,,,,,,,
  304.,Гыдоямо,"§4,5",,Гыданская губа,П,,,,,,,,,,,,,,,
  305.,Дабанская,"§4,5",,Лена,П,,,,,,,,,,,,,,,
  306.,Давид-Городок,§4,Верхнеднепровский,Горынь,ОП,,,,,,,,,,,,,,,
  307.,Дальнереченск,"§1,2,3,4",,Иман,ОП,3,,,,,,,,,,,,,,
  308.,Дамбуки,"§4,5",,Зея,ОП,,,,,,,,,,,,,,,
  309.,Данилов Луг,§4,,Вишера,ОП,,,,,,,,,,,,,,,
  310.,Двинский Березник,"§1,3,4",,Северная Двина,ОП,5,,,,,,,,,,,,,,
  311.,Дворцовая Слудка,§4,,Воткинское водохранилище,ОП,,,,,,,,,,,,,,,
  312.,Девичьи Горки,§7,,Волга,О,,,,,,,,,,,,,,,
  313.,Девятины,§4,,Волго-Балтийский канал,ОП,,,,,,,,,,,,,,,
  314.,Дединово,§4,,Ока,П,,,,,,,,,,,,,,,
  315.,Дежнево,§7,,Белая,О,,,,,,,,,,,,,,,
  316.,Дежнево,"§4,5",,Амур,П,,,,,,,,,,,,,,,
  317.,Делакеу,"§4,5,7",Министерство транспорта и,Днестр,ОП,,,,,,,,,,,,,,,
,,,связи Республики Молдова,,,,,,,,,,,,,,,,,
  318.,Делюки,"§4,5",,Вилюй,П,,,,,,,,,,,,,,,
  319.,Демьянское,"§4,5",,Иртыш,ОП,,,,,,,,,,,,,,,
  320.,Дерновичи,§4,Верхнеднепровский,Припять,ОП,,,,,,,,,,,,,,,
  321.,Джарджан,"§4,5",,Лена,П,,,,,,,,,,,,,,,
  322.,Джебарики-Хая,"§4,5",,Алдан,П,,,,,,,,,,,,,,,
  323.,Джигда,"§4,5",,Мая,П,,,,,,,,,,,,,,,
  324.,Дивья,§4,,Камское водохранилище,П,,,,,,,,,,,,,,,
  325.,Диево-Городище,§4,,Волга,ОП,,,,,,,,,,,,,,,
  326.,Диксон,"§4,5",,Енисей,П,,,,,,,,,,,,,,,
  327.,Димитровград,"§1,3,4",,Куйбышевское водохранилище,О,3,,,,,,,,,,,,,,
  328.,Дичуп,"§4,5",,Амур,П,,,,,,,,,,,,,,,
  329.,Дмитриевы горы,§4,,Ока,ОП,,,,,,,,,,,,,,,
  330.,Дмитров,§4,,Канал имени Москвы,ОП,10,,,,,,,,,,,,,,
  331.,Днепропетровск (,"§1,2,3,5",Министерство транспорта,Днепр,ОП,32,,,,,,,,,,,,,,
,Амур-Гавань-грузовой район),,"Украины (МТУ),",,,,,,,,,,,,,,,,,
  332.,Днепропетровск (городской,"§1,2,3,5",Министерство транспорта,Днепр,ОП,20,,,,,,,,,,,,,,
,грузовой район),,"Украины (МТУ),",,,,,,,,,,,,,,,,,
  333.,Днепропетровск (новый,"§1,2,3,5",Министерство транспорта,Днепр,ОП,32,,,,,,,,,,,,,,
,"причал, грузовой район)",,"Украины (МТУ), «Укрморречфлот»",,,,,,,,,,,,,,,,,
  334.,Днепропетровск (Новые,"§1,2,3,5",Министерство транспорта,Днепр,ОП,20,,,,,,,,,,,,,,
,"Кайдаки, грузовой район)",,"Украины (МТУ),",,,,,,,,,,,,,,,,,
  335.,Днепропетровск (песчаный,§7,Министерство транспорта,Днепр,О,,,,,,,,,,,,,,,
,карьер),,"Украины (МТУ),",,,,,,,,,,,,,,,,,
  336.,Добрая,"§4,5",,Амур,П,,,,,,,,,,,,,,,
  337.,Добрянка,"§1,4",,Камское водохранилище,ОП,5,,,,,,,,,,,,,,
  338.,Докша,§7,,Кама,О,,,,,,,,,,,,,,,
  339.,Долонь,§4,,Иртыш,ОП,,,,,,,,,,,,,,,
  340.,Доманово,§4,Верхнеднепровский,Березина,О,,,,,,,,,,,,,,,
  341.,Дорогорское,§4,,Мезень,П,,,,,,,,,,,,,,,
  342.,Дороцкое,§7,Министерство транспорта и,Днестр,О,,,,,,,,,,,,,,,
,,,связи Республики Молдова,,,,,,,,,,,,,,,,,
  343.,Досчатое,§4,,Ока,ОП,,,,,,,,,,,,,,,
  344.,Дружина,"§4,5,6",,Индигирка,П,,,,,,,,,,,,,,,
  345.,Дубовка,"§1,4",,Волга,ОП,,,,,,,,,,,,,,,
  346.,Дубоссары,"§4,5",Министерство транспорта и,Днестр,ОП,,,,,,,,,,,,,,,
,,,связи Республики Молдова,,,,,,,,,,,,,,,,,
  347.,Дубунь,"§2,4",Илийское районное,Или,ОП,3,,,,,,,,,,,,,,
,,,управление речного флота,,,,,,,,,,,,,,,,,
  348.,Дуденево,§4,,Ока,ОП,,,,,,,,,,,,,,,
  349.,Дудинка,"§3,4",,Енисей,ОП,,,,,,,,,,,,,,,
,,Погрузку и выгрузку контейнеров в Дудинке грузоотправители и грузополучатели обязаны производить своими силами и средствами и на своих причалах.,,,,,,,,,,,,,,,,,,
  350.,Дулесово,§7,,Кама,О,,,,,,,,,,,,,,,
  351.,Дутово,"§4,5",,Печора,П,,,,,,,,,,,,,,,
  352.,Духовницкое,"§1,4",,Волга,ОП,,,,,,,,,,,,,,,
  353.,Дюртюли,§4,,Белая,ОП,,,,,,,,,,,,,,,
  354.,Дятловичи,§4,,Сож,О,,,,,,,,,,,,,,,
  355.,Евгашино,"§4,5",,Иртыш,П,,,,,,,,,,,,,,,
  356.,Еджид-Кырта,"§4,5",,Печора,П,,,,,,,,,,,,,,,
  357.,Екатерининское,"§4,5",,Иртыш,П,,,,,,,,,,,,,,,
  358.,Екатерино-Никольское,"§4,5",,Амур,ОП,3,,,,,,,,,,,,,,
  359.,Екатериновка,"§4,7",,Волга,О,,,,,,,,,,,,,,,
  360.,Елабуга,"§1,3,4,7",,Кама,ОП,5,,,,,,,,,,,,,,
  361.,Елатьма,"§3,4",,Ока,ОП,5,,,,,,,,,,,,,,
,,Грузовые операции с контейнерами производятся на причалах грузовладельцев их силами и средствами.,,,,,,,,,,,,,,,,,,
  362.,Елизаветинская,§4,,Дон,П,,,,,,,,,,,,,,,
  363.,Елизарово,"§4,5",,Обь,П,,,,,,,,,,,,,,,
  364.,Елизарово,§4,,Унжа,П,,,,,,,,,,,,,,,
  365.,Елово,"§1,4",,Воткинское водохранилище,ОП,3,,,,,,,,,,,,,,
  366.,Емецк,"§1,3,4",,Емца,ОП,3,,,,,,,,,,,,,,
  367.,Енангск,§4,,Юг,ОП,,,,,,,,,,,,,,,
  368.,Енисейск,"§1,3,4",,Енисей,ОП,5,,,,,,,,,,,,,,
  369.,Енотаевск,§4,,Волга,ОП,,,,,,,,,,,,,,,
  370.,Ераглинский,"§4,5",,Шилка,П,,,,,,,,,,,,,,,
  371.,Ересная,§7,,Обь,О,,,,,,,,,,,,,,,
  372.,Ермак,§4,,Иртыш,ОП,,,,,,,,,,,,,,,
  373.,Ермица,"§4,5",,Печора,П,,,,,,,,,,,,,,,
  374.,Ершовка,§7,,Кама,О,,,,,,,,,,,,,,,
  375.,Ершовое,"§4,5",,Вах,ОП,5,,,,,,,,,,,,,,
  376.,Есаулово,§4,,Енисей,П,,,,,,,,,,,,,,,
  377.,Жабка,§7,Министерство транспорта и,Днестр,О,,,,,,,,,,,,,,,
,,,связи Республики Молдова,,,,,,,,,,,,,,,,,
  378.,Жажлево,§4,,Волга,ОП,,,,,,,,,,,,,,,
  379.,Жайск,§4,,Ока,ОП,,,,,,,,,,,,,,,
  380.,Жархан,"§4,5",,Марха,П,,,,,,,,,,,,,,,
  381.,Жатай,"§3,4,5",,Лена,ОП,,,,,,,,,,,,,,,
  382.,Жебрей,§4,,Сылва,О,,,,,,,,,,,,,,,
  383.,Жедойская,"§4,5",,Лена,П,,,,,,,,,,,,,,,
  384.,Железенка,§4,,Иртыш,ОП,,,,,,,,,,,,,,,
  385.,Желтоярово,§7,,Зея,О,,,,,,,,,,,,,,,
  386.,Жешарт,§4,,Вычегда,ОП,,,,,,,,,,,,,,,
  387.,Жигалово,"§4,5",,Лена,П,,,,,,,,,,,,,,,
  388.,Жиганск,"§4,5",,Лена,П,,,,,,,,,,,,,,,
  389.,Жигулевск,"§4,7",,Волга,ОП,,,,,,,,,,,,,,,
  390.,Жлобин,§4,Верхнеднепровский,Днепр,ОП,,,,,,,,,,,,,,,
  391.,Жуковская,"§4,5",,Цимлянское водохранилище,ОП,,,,,,,,,,,,,,,
  392.,Журавлевка,"§4,5",,Амур,П,,,,,,,,,,,,,,,
  393.,Журбан,"§4,5",,Зея,П,,,,,,,,,,,,,,,
  394.,Забайкальский,"§4,5",,Уссури,П,,,,,,,,,,,,,,,
  395.,Забелино,§4,,Ока,ОП,,,,,,,,,,,,,,,
  396.,Забеловская,"§4,5",,Амур,П,,,,,,,,,,,,,,,
  397.,Завод имени Фрунзе,§4,,Веселовское водохранилище,П,,,,,,,,,,,,,,,
  398.,Заволжск,§4,,Волга,П,,,,,,,,,,,,,,,
  399.,Завражье,§4,,Немда,П,,,,,,,,,,,,,,,
  400.,Задрутье,§4,Верхнеднепровский,Днепр,О,,,,,,,,,,,,,,,
  401.,Закамск,"§1,4,7",,Воткинское водохранилище,ОП,,,,,,,,,,,,,,,
  402.,Заломный Яр,§7,,Белая,О,,,,,,,,,,,,,,,
  403.,Замьяны,"§1,4",,Волга,ОП,,,,,,,,,,,,,,,
  404.,Заозерье,§4,,Камское водохранилище,П,,,,,,,,,,,,,,,
  405.,Запишкис,§7,Нямунский,Нямунас,О,3,,,,,,,,,,,,,,
  406.,Запорожский речной порт,"§1,2,3,5",АСК «Укрречфлот»,Днепр,ОП,20,,,,,,,,,,,,,,
  407.,Запорожье,"§1,2,3,5",АСК «Укрречфлот»,Днепр,ОП,,,,,,,,,,,,,,,
  408.,Затон имени Куйбышева,§4,,Волга,ОП,,,,,,,,,,,,,,,
  409.,Захар-Вань,"§4,5",,Печора,П,,,,,,,,,,,,,,,
  410.,Звенигово,"§1,4",,Волга,ОП,,,,,,,,,,,,,,,
  411.,Звоз,§4,,Северная Двина,ОП,,,,,,,,,,,,,,,
  412.,Зеленга,§4,,Бушма,О,,,,,,,,,,,,,,,
  413.,Зеленец,§4,,Вычегда,П,,,,,,,,,,,,,,,
  414.,Зеленодольск,§4,,Куйбышевское водохранилище,ОП,,,,,,,,,,,,,,,
  415.,Зеленый мыс,"§3,4,5,6",,Колыма,П,,,,,,,,,,,,,,,
  416.,Зеленый Остров,§7,,Волга,О,,,,,,,,,,,,,,,
  417.,Зея,§4,,Зея,ОП,,,,,,,,,,,,,,,
  418.,Знаменск,§7,,Преголя,О,,,,,,,,,,,,,,,
  419.,Знаменское,§4,,Иртыш,П,,,,,,,,,,,,,,,
  420.,Золотое,"§1,4",,Волга,ОП,,,,,,,,,,,,,,,
  421.,Зольное,"§2,4",,Волга,О,,,,,,,,,,,,,,,
  422.,Зырянка (Новая Зырянка),"§3,4,5,6",,Колыма,П,,,,,,,,,,,,,,,
,,"Грузы, следующие в п. Зырянка, передаются в п. Зеленый Мыс на перевозку по р. Колыма Колымской судоходной компании.",,,,,,,,,,,,,,,,,,
  423.,Зырянское,§4,,Чулым,ОП,,,,,,,,,,,,,,,
  424.,Зюйд-Вестовские Шалыги,§2,,Урал,О,,,,,,,,,,,,,,,
  425.,Иваково,§4,,Юг,ОП,,,,,,,,,,,,,,,
  426.,Игарка,"§1,3,4",,Енисей,ОП,5,,,,,,,,,,,,,,
  427.,Игжей,§4,,Братское водохранилище,П,,,,,,,,,,,,,,,
  428.,Игрим,"§ 4,5",,Северная Сосьва,ОП,5,,,,,,,,,,,,,,
,,Грузовые операции с контейнерами производятся на причалах грузовладельцев их силами и средствами.,,,,,,,,,,,,,,,,,,
  429.,Иевлево,"§4,5",,Тобол,ОП,,,,,,,,,,,,,,,
  430.,Иевлевские Пески,"§3,4,5,6",,Надым,ОП,,,,,,,,,,,,,,,
  431.,Ижболдино,"§4,7",,Кама,О,,,,,,,,,,,,,,,
  432.,Ижевский Источник,"§1,4,7",,Кама,ОП,,,,,,,,,,,,,,,
  433.,Ижевское,§4,,Ока,ОП,,,,,,,,,,,,,,,
  434.,Ижма,"§4,5",,Ижма,П,,,,,,,,,,,,,,,
  435.,Икряное,§4,,Бахтемир,ОП,,,,,,,,,,,,,,,
  436.,Икское Устье,§7,,Кама,О,,,,,,,,,,,,,,,
  437.,Илек,§4,,Урал,О,,,,,,,,,,,,,,,
  438.,Иловатка,"§1,4",,Волга,ОП,,,,,,,,,,,,,,,
  439.,Ильбухтино,§7,,Кама,О,,,,,,,,,,,,,,,
  440.,Ильевка,§4,,Волго-Донской канал,ОП,,,,,,,,,,,,,,,
  441.,Ильинка-Волжская,"§1,4",,Волга,ОП,,,,,,,,,,,,,,,
  442.,Ильинское,"§1,4",,Обва,ОП,5,,,,,,,,,,,,,,
  443.,Ильинское,§4,,Унжа,П,,,,,,,,,,,,,,,
  444.,Ильичевка,§7,,Кама,О,,,,,,,,,,,,,,,
  445.,Ильмень-Суворовская,§4,,Цимлянское водохранилище,ОП,,,,,,,,,,,,,,,
  446.,Индер,§4,,Урал,ОП,,,,,,,,,,,,,,,
  447.,Иннокентьевка,"§3,4,5",,Иннокентьевская протока .Амура,ОП,,,,,,,,,,,,,,,
  448.,Иннокентьевка,"§4,5",,Амур,П,,,,,,,,,,,,,,,
  449.,Иркутск,"§2,4",,Ангара,П,,,,,,,,,,,,,,,
  450.,Иртышск,"§3,4",,Иртыш,ОП,3,,,,,,,,,,,,,,
  451.,Иртышская Омской,§4,,Иртыш,ОП,,,,,,,,,,,,,,,
  452.,Иситская,"§4,5",,Лена,П,,,,,,,,,,,,,,,
  453.,Истобенск,§4,,Вятка,О,,,,,,,,,,,,,,,
  454.,Кабаково,§7,,Белая,О,,,,,,,,,,,,,,,
  455.,Кадницы,§4,,Волга,ОП,,,,,,,,,,,,,,,
  456.,Кадом,"§3,4",,Москва,ОП,5,,,,,,,,,,,,,,
,,Грузовые операции с контейнерами производятся на причалах грузовладельцев их силами и средствами.,,,,,,,,,,,,,,,,,,
  457.,Казакевичево,"§4,5",,Уссури,П,,,,,,,,,,,,,,,
  458.,Казанка,§4,,Воткинское водохранилище,П,,,,,,,,,,,,,,,
  459.,Казанская,"§3,4",,Дон,ОП,,,,,,,,,,,,,,,
,,"Грузы, следующие назначением в Казанскую, переваливаются с железной дороги на воду только в порту Лиски.",,,,,,,,,,,,,,,,,,
  460.,Казань,"§1,2,3,4",,Волга,ОП,100,,,,,,,,,,,,,,
  461.,Казачий Остров,"§4,5",,Обь,П,,,,,,,,,,,,,,,
  462.,Казачинск,§4,,Братское водохранилище,П,,,,,,,,,,,,,,,
  463.,Кайманачиха,§4,,Иртыш,ОП,,,,,,,,,,,,,,,
  464.,Калач,"§1,2,3,4",,Цимлянское водохранилище,ОП,10,,,,,,,,,,,,,,
  465.,Калинин,"§1,3,4",,Волга,ОП,10,,,,,,,,,,,,,,
  466.,Калининград,"§1,2,4",,Преголя,ОП,5,,,,,,,,,,,,,,
  467.,Калинино,"§4,5",,Амур,ОП,,,,,,,,,,,,,,,
  468.,Калмыково,§4,,Урал,О,,,,,,,,,,,,,,,
  469.,Калтыкан,"§4,5",,Шилка,П,,,,,,,,,,,,,,,
  470.,Калугино,§7,,Обь,О,,,,,,,,,,,,,,,
  471.,Калязин,§4,,Волга,ОП,,,,,,,,,,,,,,,
  472.,Камбарка,"§1,2,4",,Кама,ОП,,,,,,,,,,,,,,,
  473.,Камгорт,§4,,Колва,ОП,,,,,,,,,,,,,,,
  474.,Каменка,"§4,5",,Печора,П,,,,,,,,,,,,,,,
  475.,Каменка,"§4,5,7",Министерство транспорта и,Днестр,ОП,,,,,,,,,,,,,,,
,,,связи Республики Молдова,,,,,,,,,,,,,,,,,
  476.,Каменка,§4,Восточно-Сибирский,Братское водохранилище,П,,,,,,,,,,,,,,,
  477.,Каменный Яр,"§1,4",,Волга,ОП,,,,,,,,,,,,,,,
  478.,Каменск,§4,,Северский Донец,ОП,,,,,,,,,,,,,,,
  479.,Камень Грузовой,§4,,Обь,ОП,5,,,,,,,,,,,,,,
  480.,Камские Поляны,"§1,4",,Кама,ОП,,,,,,,,,,,,,,,
  481.,Камское Устье,§4,,Волга,О,,,,,,,,,,,,,,,
  482.,Камызяк,§4,,Камызяк,ОП,,,,,,,,,,,,,,,
  483.,Камышевская,§4,,Дон,ОП,,,,,,,,,,,,,,,
  484.,Камышин,"§1,3,4",,Волга,ОП,5,,,,,,,,,,,,,,
  485.,Камышин ООО Камышинская,"§ 1, 2",,Волга,ОП,,,,,,,,,,,,,,,
,зерновая компания,,,,,,,,,,,,,,,,,,,
  486.,Кандаки,§4,,Тасесва,П,,,,,,,,,,,,,,,
  487.,Капчагай,"§1,2",Илийское районное,Или,ОП,3,,,,,,,,,,,,,,
,,,управление речного флота,,,,,,,,,,,,,,,,,
  488.,Караган,"§4,5",,Шилка,П,,,,,,,,,,,,,,,
  489.,Караидель,§4,,Уфа,ОП,,,,,,,,,,,,,,,
  490.,Каракулино,"§1,4,7",,Кама,ОП,,,,,,,,,,,,,,,
  491.,Караул,"§4,5",,Енисей,П,,,,,,,,,,,,,,,
  492.,Караяр,§4,,Юрезань,ОП,,,,,,,,,,,,,,,
  493.,Каргасок,"§1,3,4",,Обь,ОП,5,,,,,,,,,,,,,,
  494.,Карелино,§4,,Иртыш,ОП,,,,,,,,,,,,,,,
  495.,Карпогоры,§4,,Пинега,О,,,,,,,,,,,,,,,
  496.,Карташево,§4,,Иртыш,П,,,,,,,,,,,,,,,
  497.,Карьер,"§4,7",,Селенга,О,,,,,,,,,,,,,,,
  498.,Касаткино,"§4,5",,Амур,П,,,,,,,,,,,,,,,
  499.,Касимов,"§1,3,4",,Ока,ОП,,,,,,,,,,,,,,,
  500.,Катунское,"§4,5",,Катунь,ОП,,,,,,,,,,,,,,,
  501.,Катыльга,§4,,Васюган,ОП,,,,,,,,,,,,,,,
  502.,Каунас,"§1,2,4",Нямунский,Нямунас,ОП,5,,,,,,,,,,,,,,
  503.,Качиры,"§3,4",,Иртыш,ОП,3,,,,,,,,,,,,,,
  504.,Кашпиры,§4,,Волга,О,,,,,,,,,,,,,,,
  505.,Кебраты,§4,,Кама,ОП,,,,,,,,,,,,,,,
  506.,Кедрач,"§4,5",,пр. Юганская Обь,П,,,,,,,,,,,,,,,
  507.,Кедровая,"§4,5",,Уссури,П,,,,,,,,,,,,,,,
  508.,Кедровый Шор,"§4,5",,Печора,ОП,,,,,,,,,,,,,,,
  509.,Кежма,"§3,4",,Ангара,ОП,,,,,,,,,,,,,,,
,,Грузовые операции с контейнерами производятся на причалах грузовладельцев их силами и средствами.,,,,,,,,,,,,,,,,,,
  510.,Кемь,§4,,Белое море,ОП,,,,,,,,,,,,,,,
  511.,Керчево,§4,,Кама,ОП,,,,,,,,,,,,,,,
  512.,Кзыл-Тау,§7,,Кама,О,,,,,,,,,,,,,,,
  513.,Киевский речной порт,"§1,2",ОАО «Киевский речной порт»,Днепр,ОП,20,,,,,,,,,,,,,,
  514.,Кимры,"§1,4",,Волга,ОП,,,,,,,,,,,,,,,
  515.,Кинешма,"§1,2,3,4",,Волга,ОП,20,,,,,,,,,,,,,,
  516.,Кипиево,"§4,5",,Печора,П,,,,,,,,,,,,,,,
  517.,Киренск,"§1,3,4,5",,Лена,ОП,,,,,,,,,,,,,,,
  518.,Кирзя,§4,,Уфа,ОП,,,,,,,,,,,,,,,
  519.,Кириллов,"§1,3,4",,Северо-Двинская система,ОП,5,,,,,,,,,,,,,,
  520.,Киров,"§1,4,2,5",,Вятка,ОП,5,,,,,,,,,,,,,,
  521.,Киструс,"§1,3,4",,Ока,ОП,5,,,,,,,,,,,,,,
,,Грузовые операции с контейнерами производятся на причалах грузовладельцев их силами и средствами.,,,,,,,,,,,,,,,,,,
  522.,Кичменский Городок,§4,,Юг,О,,,,,,,,,,,,,,,
  523.,Клайпеда,"§1,2,4",Нямунский,Данга,ОП,5,,,,,,,,,,,,,,
  524.,Клетская,§4,,Дон,ОП,,,,,,,,,,,,,,,
  525.,Климовка,§4,,Куйбышевское водохранилище,О,,,,,,,,,,,,,,,
  526.,Кляшево,§7,,Уфа,О,,,,,,,,,,,,,,,
  527.,Кобрин,§4,,Муховец,ОП,,,,,,,,,,,,,,,
  528.,Кодач-Губа,§4,,оз. Онежское,О,,,,,,,,,,,,,,,
  529.,Кодинский,"§3,4",,Ангара,ОП,,,,,,,,,,,,,,,
,,Грузовые операции с контейнерами производятся на причалах грузовладельцев их силами и средствами.,,,,,,,,,,,,,,,,,,
  530.,Кожва,"§1,2,3,7",,Печора,ОП,10,,,,,,,,,,,,,,
  531.,Кожевниково,§4,,Обь,ОП,,,,,,,,,,,,,,,
  532.,Кожранпуга,"§4,5",,Аган,П,5,,,,,,,,,,,,,,
  533.,Козинка,§4,,Дон,ОП,,,,,,,,,,,,,,,
  534.,Козловка,"§4,5",,Уссури,П,,,,,,,,,,,,,,,
  535.,Козловка Казанская,"§1,4",,Волга,ОП,,,,,,,,,,,,,,,
  536.,Козлово,§4,,Унжа,П,,,,,,,,,,,,,,,
  537.,Козьмино,§4,,Вычегда,П,,,,,,,,,,,,,,,
  538.,Козьмодемьянск,"§1,4",,Волга,ОП,5,,,,,,,,,,,,,,
  539.,Колва,"§4,5",,Колва,П,,,,,,,,,,,,,,,
  540.,Колесниково,§7,,Кама,О,,,,,,,,,,,,,,,
  541.,Коловертное,§4,,Урал,ОП,,,,,,,,,,,,,,,
  542.,Кологрив,§4,,Унжа,П,,,,,,,,,,,,,,,
  543.,Коломино,"§4,5",,Обь,П,5,,,,,,,,,,,,,,
  544.,Коломна,"§1,2,4",,Москва,ОП,3,,,,,,,,,,,,,,
  545.,Колпашево,"§1,2,3,4",,Обь,ОП,5,,,,,,,,,,,,,,
  546.,Колтогорск,"§3,4",,Обь,ОП,5,,,,,,,,,,,,,,
  547.,Колыбелка,§4,,Дон,ОП,,,,,,,,,,,,,,,
,,"Грузы, следующие назначением в Колыбелку и отправляемые с этой пристани, переваливаются с железной дороги на воду и с воды на железную дорогу только в порту Лиски.",,,,,,,,,,,,,,,,,,
  548.,Кольцовка,"§1,2,4,5",Иссык-Кульский,оз. Иссык-Куль,ОП,5,,,,,,,,,,,,,,
  549.,Кольцово,"§4,5",,Амур,ОП,,,,,,,,,,,,,,,
  550.,Кольчуг (Кольчужские,§4,,Кама,ОП,,,,,,,,,,,,,,,
,Исады),,,,,,,,,,,,,,,,,,,
  551.,Комарин,§4,Верхнеднепровский,Днепр,ОП,,,,,,,,,,,,,,,
  552.,Комарица,§4,,Северная Двина,ОП,,,,,,,,,,,,,,,
  553.,Комсомольск,"§3,4",,Калининградский морской канал,П,,,,,,,,,,,,,,,
  554.,Комсомольск,§4,,Печора,П,,,,,,,,,,,,,,,
  555.,Комсомольск на-Амуре,"§1,2,3,4",,Амур,ОП,5,,,,,,,,,,,,,,
  556.,Конаково,"§1,4",,Волга,ОП,,,,,,,,,,,,,,,
  557.,Кондинск,"§3,4,5",,Конда,П,5,,,,,,,,,,,,,,
  558.,Кондопога,§4,,оз. Онежское,ОП,,,,,,,,,,,,,,,
  559.,Конево-Бердиха,§4,,Ветлуга,П,,,,,,,,,,,,,,,
  560.,Конец-Бор,"§4,5",,Печора,П,,,,,,,,,,,,,,,
  561.,Конец-Гор,§4,,Чусовая,О,,,,,,,,,,,,,,,
  562.,Конецгорье,"§1,4",,Северная Двина,ОП,,,,,,,,,,,,,,,
  563.,Коной-Губа,§4,,оз. Онежское,О,,,,,,,,,,,,,,,
  564.,Кононова,§4,,Енисей,П,,,,,,,,,,,,,,,
  565.,Константиновка,"§4,5",,Амур,ОП,,,,,,,,,,,,,,,
  566.,Константиново Волжское,§4,,Волга,О,,,,,,,,,,,,,,,
  567.,Константиновская,"§3,4",,Дон,ОП,5,,,,,,,,,,,,,,
  568.,Копаново,§4,,Ока,П,,,,,,,,,,,,,,,
  569.,Копачево,"§1,4",,Северная Двина,П,,,,,,,,,,,,,,,
  570.,Кордон,§4,,Коса,ОП,,,,,,,,,,,,,,,
  571.,Корепино,§4,,Колва,П,,,,,,,,,,,,,,,
  572.,Корма,§4,,Сож,ОП,,,,,,,,,,,,,,,
  573.,Коротояк,§4,,Дон,О,,,,,,,,,,,,,,,
,,"Грузы, отправляемые из Коротояка, переваливаются с воды на железную дорогу только в порту Лиски.",,,,,,,,,,,,,,,,,,
