Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ МЕЖДУ СТАНЦИЯМИ НА УЧАСТКАХ ЖЕЛЕЗНЫХ ДОРОГ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Расстояния между станциями Приволжской ж.д. (код дороги 61),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  1) участок 61-001 ""БЛАГОДАТКА (Юго-Восточной ж.д.) - АТКАРСК"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Благодатка,до ст. Аткарск,,,,,,,,,,,
 29.,623703 .,Зоринский, 117  км ,  10  км ,,,,,,,,,,,
 30.,620137 .,ОП Сокурский Тракт, 120  км ,   7  км ,,,,,,,,,,,
 31.,620122 .,ОП Техстекло, 123  км ,   4  км ,,,,,,,,,,,
 32.,620207 .,Трофимовский II, 124  км ,   3  км ,,,,,,,,,,,
 33.,620118 .,ОП Московское Шоссе, 125  км ,   2  км ,,,,,,,,,,,
 34.,620103 .,Трофимовский I, 127  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  5) участок 61-005 ""СЕННАЯ - АТКАРСК"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Сенная,до ст. Аткарск,,,,,,,,,,,
  1.,624000 .,Сенная,   0  км , 199  км ,,,,,,,,,,,
  2.,609918 .,ОП Карьер,   3  км , 196  км ,,,,,,,,,,,
  3.,609922 .,ОП Куриловка,  10  км , 189  км ,,,,,,,,,,,
  4.,609814 .,ОП Шировка,  14  км , 185  км ,,,,,,,,,,,
  5.,609801 .,Барнуковка,  31  км , 168  км ,,,,,,,,,,,
  6.,609710 .,ОП Старое Сарайкино,  35  км , 164  км ,,,,,,,,,,,
  7.,609725 .,ОП Высотная,  46  км , 153  км ,,,,,,,,,,,
  8.,609617 .,ОП Зеленая Гора,  51  км , 148  км ,,,,,,,,,,,
  9.,609602 .,Карабулак,  61  км , 138  км ,,,,,,,,,,,
 10.,609513 .,ОП Галанино,  74  км , 125  км ,,,,,,,,,,,
 11.,609509 .,Бурасы,  85  км , 114  км ,,,,,,,,,,,
 12.,609424 .,ОП Меркуловский,  99  км , 100  км ,,,,,,,,,,,
 13.,609416 .,ОП Жедринка, 102  км ,  97  км ,,,,,,,,,,,
 14.,609405 .,Подснежная, 108  км ,  91  км ,,,,,,,,,,,
 15.,609354 .,ОП Кутьино, 115  км ,  84  км ,,,,,,,,,,,
 16.,609340 .,ОП Волково, 119  км ,  80  км ,,,,,,,,,,,
 17.,609335 .,ОП Березовка-2, 123  км ,  76  км ,,,,,,,,,,,
 18.,609320 .,ОП село Бобровка, 128  км ,  71  км ,,,,,,,,,,,
 19.,609316 .,ОП Антиповка, 132  км ,  67  км ,,,,,,,,,,,
 20.,609301 .,Петровск-Саратовский, 138  км ,  61  км ,,,,,,,,,,,
 21.,609246 .,ОП Березовка-1, 144  км ,  55  км ,,,,,,,,,,,
 22.,609250 .,ОП Сосновка-1, 147  км ,  52  км ,,,,,,,,,,,
 23.,609231 .,ОП Воробьевка, 149  км ,  50  км ,,,,,,,,,,,
 24.,609227 .,ОП Соболевка, 154  км ,  45  км ,,,,,,,,,,,
 25.,609212 .,ОП Новая Усть-Уза, 164  км ,  35  км ,,,,,,,,,,,
