Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ МЕЖДУ СТАНЦИЯМИ НА УЧАСТКАХ ЖЕЛЕЗНЫХ ДОРОГ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Расстояния между станциями Северной ж.д. (код дороги 28),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  1) участок 28-001 ""АЛЕКСАНДРОВ (Московской ж.д.) - ЯРОСЛАВЛЬ-ГЛАВНЫЙ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Александров,до ст. Ярославль-Главный,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Данилов,до ст. Паприха,,,,,,,,,,,
  1.,311101 .,Данилов,   0  км , 120  км ,,,,,,,,,,,
  2.,299938 .,Блокпост 359В км,   3  км , 117  км ,,,,,,,,,,,
  3.,302812 .,Макарово,  15  км , 105  км ,,,,,,,,,,,
  4.,302808 .,Пречистое,  31  км ,  89  км ,,,,,,,,,,,
  5.,302827 .,ОП Марфино,  41  км ,  79  км ,,,,,,,,,,,
  6.,302901 .,Скалино,  49  км ,  71  км ,,,,,,,,,,,
  7.,302916 .,ОП Погорелка,  52  км ,  68  км ,,,,,,,,,,,
  8.,302920 .,Нефедово,  58  км ,  62  км ,,,,,,,,,,,
  9.,303016 .,ОП Ельник,  63  км ,  57  км ,,,,,,,,,,,
 10.,303105 .,Бакланка,  72  км ,  48  км ,,,,,,,,,,,
 11.,303114 .,ОП Скоморохово,  84  км ,  36  км ,,,,,,,,,,,
 12.,303209 .,Грязовец,  92  км ,  28  км ,,,,,,,,,,,
 13.,303290 .,ОП Сосняги,  96  км ,  24  км ,,,,,,,,,,,
 14.,303213 .,ОП Мясниковка, 100  км ,  20  км ,,,,,,,,,,,
 15.,303228 .,ОП Волоцкой, 105  км ,  15  км ,,,,,,,,,,,
 16.,303232 .,ОП Стеблево, 110  км ,  10  км ,,,,,,,,,,,
 17.,303285 .,ОП Аннинское, 112  км ,   8  км ,,,,,,,,,,,
 18.,303251 .,Паприха, 120  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
