Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ МЕЖДУ СТАНЦИЯМИ НА УЧАСТКАХ ЖЕЛЕЗНЫХ ДОРОГ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Расстояния между станциями Одесской ж.д. (код дороги 40),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  1) участок 40-001 ""СЕРПНЕВО I - АРЦЫЗ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Серпнево I,до ст. Арцыз,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Одесса-Пересыпь,до ст. Колосовка,,,,,,,,,,,
  1.,400803 .,Одесса-Пересыпь,   0  км , 112  км ,,,,,,,,,,,
  2.,400038 .,ОП Депо-Одесса-Сортировочная,   3  км , 109  км ,,,,,,,,,,,
  3.,400004 .,Одесса-Сортировочная,   4  км , 108  км ,,,,,,,,,,,
  4.,400019 .,ОП Ост. Пункт 1297 км,   7  км , 105  км ,,,,,,,,,,,
  5.,400023 .,Одесса-Восточная,   9  км , 103  км ,,,,,,,,,,,
  6.,400907 .,Кулиндорово,  14  км ,  98  км ,,,,,,,,,,,
  7.,400911 .,ОП Степовая,  17  км ,  95  км ,,,,,,,,,,,
  8.,400926 .,ОП Победа,  19  км ,  93  км ,,,,,,,,,,,
  9.,400930 .,ОП Ост. Пункт 1284 км,  20  км ,  92  км ,,,,,,,,,,,
 10.,401007 .,Кремидовка,  26  км ,  86  км ,,,,,,,,,,,
 11.,401026 .,ОП Полевое,  28  км ,  84  км ,,,,,,,,,,,
 12.,401011 .,Пост 1273 км,  30  км ,  82  км ,,,,,,,,,,,
 13.,401100 .,Черноморская,  36  км ,  76  км ,,,,,,,,,,,
 14.,401115 .,ОП О.п. 1268 км,  38  км ,  74  км ,,,,,,,,,,,
 15.,401124 .,ОП Павлинка,  40  км ,  72  км ,,,,,,,,,,,
 16.,405900 .,Буялык,  46  км ,  66  км ,,,,,,,,,,,
 17.,401219 .,ОП Кубанка,  53  км ,  59  км ,,,,,,,,,,,
 18.,401223 .,ОП О.п. 1249 км,  54  км ,  58  км ,,,,,,,,,,,
 19.,401435 .,Сербка,  60  км ,  52  км ,,,,,,,,,,,
 20.,401416 .,ОП Мариново,  68  км ,  44  км ,,,,,,,,,,,
 21.,401420 .,ОП Заречанский,  74  км ,  38  км ,,,,,,,,,,,
 22.,401505 .,Рауховка,  80  км ,  32  км ,,,,,,,,,,,
 23.,401510 .,Пост 1224 км,  82  км ,  30  км ,,,,,,,,,,,
 24.,401524 .,ОП Викторовка,  87  км ,  25  км ,,,,,,,,,,,
 25.,401539 .,ОП Платформа 1214 км,  91  км ,  21  км ,,,,,,,,,,,
 26.,401609 .,Березовка,  97  км ,  15  км ,,,,,,,,,,,
 27.,401613 .,ОП Калаглея, 104  км ,   8  км ,,,,,,,,,,,
 28.,401628 .,ОП Им. И.С. Шеверняева, 106  км ,   6  км ,,,,,,,,,,,
 29.,412707 .,Колосовка, 112  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  8) участок 40-008 ""ЧЕРНОМОРСКАЯ - БЕРЕГОВАЯ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Черноморская,до ст. Береговая,,,,,,,,,,,
  1.,401100 .,Черноморская,   0  км ,  37  км ,,,,,,,,,,,
  2.,400536 .,Пут. Пост 5 км,   5  км ,  32  км ,,,,,,,,,,,
  3.,400540 .,Разъезд 12 км,  11  км ,  26  км ,,,,,,,,,,,
  4.,400567 .,Разъезд 18 км,  18  км ,  19  км ,,,,,,,,,,,
  5.,400555 .,Пут. Пост 24 км,  24  км ,  13  км ,,,,,,,,,,,
  6.,400574 .,Блок-пост 30 км,  29  км ,   8  км ,,,,,,,,,,,
  7.,400502 .,Береговая,  37  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  9) участок 40-010 ""МИГАЕВО - РОТОВО (РЗД)"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Мигаево,до ст. Раздельная-Сортировочная,,,,,,,,,,,
  1.,405953 .,Мигаево,   0  км ,  11  км ,,,,,,,,,,,
  2.,405915 .,ОП Платформа 6 км,   6  км ,  17  км ,,,,,,,,,,,
  3.,405926 .,ОП Зименово,  13  км ,  24  км ,,,,,,,,,,,
  4.,405934 .,ОП Платформа 21 км,  21  км ,  32  км ,,,,,,,,,,,
  5.,405968 .,ОП Ост. пункт 25 км,  25  км ,  36  км ,,,,,,,,,,,
  6.,406000 .,Новознаменка,  30  км ,  41  км ,,,,,,,,,,,
  7.,406015 .,ОП Платформа 37 км,  37  км ,  48  км ,,,,,,,,,,,
  8.,406104 .,Ротово (рзд),  44  км ,  55  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 10) участок 40-011 ""КОЛОСОВКА - ПОМОШНАЯ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Колосовка,до ст. Помошная,,,,,,,,,,,
  1.,412707 .,Колосовка,   0  км , 146  км ,,,,,,,,,,,
  2.,412711 .,ОП Николаево,   7  км , 139  км ,,,,,,,,,,,
  3.,412726 .,ОП Анновка,  14  км , 132  км ,,,,,,,,,,,
  4.,412800 .,Веселиново,  21  км , 125  км ,,,,,,,,,,,
  5.,412815 .,ОП Мостовое,  29  км , 117  км ,,,,,,,,,,,
  6.,412904 .,Мартыновская,  36  км , 110  км ,,,,,,,,,,,
