Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ МЕЖДУ СТАНЦИЯМИ НА УЧАСТКАХ ЖЕЛЕЗНЫХ ДОРОГ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Расстояния между станциями Забайкальской ж.д. (код дороги 94),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  1) участок 94-001 ""ПЕТРОВСКИЙ ЗАВОД - КАРЫМСКАЯ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Петровский Завод,до ст. Карымская,,,,,,,,,,,
 23.,957026 .,ОП Улетуй, 194  км ,  21  км ,,,,,,,,,,,
 24.,960601 .,Архара, 215  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  6) участок 94-006 ""КАРЫМСКАЯ - БОРЗЯ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Карымская,до ст. Борзя,,,,,,,,,,,
  1.,943108 .,Карымская,   0  км , 247  км ,,,,,,,,,,,
  2.,943305 .,Адриановка,  21  км , 226  км ,,,,,,,,,,,
  3.,943324 .,Перевальный (рзд),  30  км , 217  км ,,,,,,,,,,,
  4.,943339 .,Седловой,  36  км , 211  км ,,,,,,,,,,,
  5.,943343 .,Бурятская,  53  км , 194  км ,,,,,,,,,,,
  6.,943377 .,ОП Ушарбай,  64  км , 183  км ,,,,,,,,,,,
  7.,943409 .,Могойтуй,  77  км , 170  км ,,,,,,,,,,,
  8.,943521 .,Остречная,  91  км , 156  км ,,,,,,,,,,,
  9.,943517 .,ОП Ара-Булак,  94  км , 153  км ,,,,,,,,,,,
 10.,943502 .,Ага, 100  км , 147  км ,,,,,,,,,,,
 11.,943701 .,Хила, 112  км , 135  км ,,,,,,,,,,,
 12.,943714 .,Булак, 124  км , 123  км ,,,,,,,,,,,
 13.,943803 .,Степь, 130  км , 117  км ,,,,,,,,,,,
 14.,943822 .,Железнодорожный, 136  км , 111  км ,,,,,,,,,,,
 15.,943818 .,ОП Ост. Пункт 6440 км, 145  км , 102  км ,,,,,,,,,,,
 16.,943907 .,Оловянная, 148  км ,  99  км ,,,,,,,,,,,
 17.,943911 .,ОП Ост. Пункт 6445 км, 150  км ,  97  км ,,,,,,,,,,,
 18.,944007 .,Ясногорск-Забайкальский, 160  км ,  87  км ,,,,,,,,,,,
 19.,944100 .,Ясная, 169  км ,  78  км ,,,,,,,,,,,
 20.,944115 .,Разъезд 75, 175  км ,  72  км ,,,,,,,,,,,
 21.,944204 .,Бырка, 185  км ,  62  км ,,,,,,,,,,,
 22.,944312 .,Мирная, 192  км ,  55  км ,,,,,,,,,,,
 23.,944401 .,Безречная, 201  км ,  46  км ,,,,,,,,,,,
 24.,944416 .,Путевой пост №114, 207  км ,  40  км ,,,,,,,,,,,
 25.,944511 .,Хадабулак, 215  км ,  32  км ,,,,,,,,,,,
 26.,944609 .,Шахтерская, 223  км ,  24  км ,,,,,,,,,,,
 27.,944613 .,Шерловая, 230  км ,  17  км ,,,,,,,,,,,
 28.,944628 .,Зун-Торей, 241  км ,   6  км ,,,,,,,,,,,
 29.,944632 .,ОП Ост. Пункт 6540 км, 245  км ,   2  км ,,,,,,,,,,,
 30.,944702 .,Борзя, 247  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  7) участок 94-007 ""БОРЗЯ - ЗАБАЙКАЛЬСК (ЭКСП. ДСВН)"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Борзя,до ст. Забайкальск (эксп. ЗЧ),,,,,,,,,,,
  1.,944702 .,Борзя,   0  км , 119  км ,,,,,,,,,,,
  2.,944755 .,Разъезд 115,   6  км , 113  км ,,,,,,,,,,,
  3.,944717 .,ОП Ост. Пункт 6549 км,   7  км , 112  км ,,,,,,,,,,,
  4.,944736 .,Соктуй,  19  км , 100  км ,,,,,,,,,,,
  5.,945404 .,Харанор,  41  км ,  78  км ,,,,,,,,,,,
  6.,945419 .,Обг. Пункт № 83,  54  км ,  65  км ,,,,,,,,,,,
  7.,946604 .,Даурия,  66  км ,  53  км ,,,,,,,,,,,
  8.,946619 .,ОП Ост. Пункт 6622 км,  79  км ,  40  км ,,,,,,,,,,,
  9.,946708 .,Билютуй,  88  км ,  31  км ,,,,,,,,,,,
 10.,946712 .,ОП Ост. Пункт 6639 км,  97  км ,  22  км ,,,,,,,,,,,
 11.,946801 .,Забайкальск, 117  км ,   2  км ,,,,,,,,,,,
 12.,946905 .,Забайкальск (эксп. ДСВН), 119  км ,   0  км ,,,,,,,,,,,
 13.,947005 .,Забайкальск (эксп. КЖД), 119  км ,   0  км ,,,,,,,,,,,
 14.,947109 .,Забайкальск (эксп. ЗЧ), 119  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  8) участок 94-008 ""БОРЗЯ - СОЛОВЬЕВСК (ЭКСП.)"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Борзя,до ст. Соловьевск (эксп.),,,,,,,,,,,
  1.,944702 .,Борзя,   0  км ,  87  км ,,,,,,,,,,,
  2.,944907 .,Соловьевск,  85  км ,   2  км ,,,,,,,,,,,
  3.,945002 .,Соловьевск (эксп.),  87  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  9) участок 94-009 ""ХАРАНОР - ПРИАРГУНСК"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Харанор,до ст. Приаргунск,,,,,,,,,,,
  1.,945404 .,Харанор,   0  км , 207  км ,,,,,,,,,,,
  2.,945616 .,Арабатук,  31  км , 176  км ,,,,,,,,,,,
  3.,945724 .,Арамогойтуй,  77  км , 130  км ,,,,,,,,,,,
  4.,945809 .,Маргуцек, 102  км , 105  км ,,,,,,,,,,,
  5.,945902 .,Урулюнгуй, 126  км ,  81  км ,,,,,,,,,,,
  6.,945917 .,ОП Юбилейный, 145  км ,  62  км ,,,,,,,,,,,
  7.,945921 .,ОП Забайкалец, 154  км ,  53  км ,,,,,,,,,,,
  8.,946002 .,Досатуй, 169  км ,  38  км ,,,,,,,,,,,
  9.,946106 .,Приаргунск, 207  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 10) участок 94-010 ""УРУЛЮНГУЙ - КРАСНОКАМЕНСК"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Урулюнгуй,до ст. Краснокаменск,,,,,,,,,,,
  1.,945902 .,Урулюнгуй,   0  км ,  15  км ,,,,,,,,,,,
  2.,946208 .,Краснокаменск,  15  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 11) участок 94-011 ""ЛЕСНАЯ - ГОЛУБИЧНАЯ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Лесная,до ст. Голубичная,,,,,,,,,,,
  1.,941600 .,Лесная,   0  км ,  21  км ,,,,,,,,,,,
  2.,941620 .,ОП Ост. Пункт 6 км,   6  км ,  15  км ,,,,,,,,,,,
  3.,941634 .,ОП Ост. Пункт 8 км,   8  км ,  13  км ,,,,,,,,,,,
  4.,941649 .,ОП Ост. Пункт 19 км,  19  км ,   2  км ,,,,,,,,,,,
  5.,941704 .,Голубичная,  21  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 12) участок 94-012 ""КАДАЛА - КОМБИНАТ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Кадала,до ст. Комбинат,,,,,,,,,,,
  1.,942105 .,Кадала,   0  км ,  13  км ,,,,,,,,,,,
  2.,942124 .,ОП Кенон,   5  км ,   8  км ,,,,,,,,,,,
  3.,942139 .,ОП Ост. Пункт 6 км,   6  км ,   7  км ,,,,,,,,,,,
  4.,942143 .,ОП Комбинат,  13  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 13) участок 94-013 ""ПРИИСКОВАЯ - НЕРЧИНСК"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Приисковая,до ст. Бамовская,до ст. Карымская,,,,,,,,,,
  1.,948101 .,Приисковая,   0  км , 785  км , 196  км ,,,,,,,,,,
  2.,948116 .,ОП Ост. Пункт 5 км,   5  км , 790  км , 201  км ,,,,,,,,,,
  3.,948120 .,ОП Ост. Пункт 8 км,   8  км , 793  км , 204  км ,,,,,,,,,,
  4.,948309 .,Нерчинск,  10  км , 795  км , 206  км ,,,,,,,,,,
,,,,,,,,,,,,,,,
" 14) участок 94-014 ""КУЭНГА - СРЕТЕНСК"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Куэнга,до ст. Карымская,,,,,,,,,,,
  1.,948474 .,Куэнга,   0  км , 232  км ,,,,,,,,,,,
  2.,948667 .,ОП Дунаево,   3  км , 235  км ,,,,,,,,,,,
  3.,948652 .,ОП Болотово,  13  км , 245  км ,,,,,,,,,,,
  4.,948648 .,ОП Баян,  19  км , 251  км ,,,,,,,,,,,
  5.,948633 .,ОП Кокертай,  24  км , 256  км ,,,,,,,,,,,
  6.,948629 .,ОП Ост. Пункт 28 км,  28  км , 260  км ,,,,,,,,,,,
  7.,948614 .,ОП Усть-Курлыч,  33  км , 265  км ,,,,,,,,,,,
  8.,948671 .,ОП Кокуй,  39  км , 271  км ,,,,,,,,,,,
  9.,948737 .,ОП Нижний Кокуй,  43  км , 275  км ,,,,,,,,,,,
 10.,948722 .,ОП Верхний Матакан,  47  км , 279  км ,,,,,,,,,,,
 11.,948718 .,ОП Матакан,  49  км , 281  км ,,,,,,,,,,,
 12.,948703 .,Сретенск,  52  км , 284  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 15) участок 94-016 ""ЧЕРНЫШЕВСК-ЗАБАЙКАЛЬСКИЙ - БУКАЧАЧА"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Чернышевск-Забайкальский,до ст. Бамовская,до ст. Карымская,,,,,,,,,,
  1.,949104 .,Чернышевск-Забайкальский,   0  км , 688  км , 293  км ,,,,,,,,,,
  2.,949142 .,ОП Гнездышко,   3  км , 691  км , 296  км ,,,,,,,,,,
  3.,949157 .,ОП Утан,   9  км , 697  км , 302  км ,,,,,,,,,,
  4.,949388 .,ОП Мильгидун,  18  км , 706  км , 311  км ,,,,,,,,,,
  5.,949373 .,ОП Кумаканда,  25  км , 713  км , 318  км ,,,,,,,,,,
  6.,949369 .,ОП Анамжак,  28  км , 716  км , 321  км ,,,,,,,,,,
  7.,949354 .,ОП Налгекан,  32  км , 720  км , 325  км ,,,,,,,,,,
  8.,949342 .,ОП Усть-Горбица,  44  км , 732  км , 337  км ,,,,,,,,,,
  9.,949335 .,ОП Икша,  51  км , 739  км , 344  км ,,,,,,,,,,
 10.,949320 .,ОП Бухта,  62  км , 750  км , 355  км ,,,,,,,,,,
 11.,949316 .,ОП Ачунанда,  68  км , 756  км , 361  км ,,,,,,,,,,
 12.,949301 .,Букачача,  72  км , 760  км , 365  км ,,,,,,,,,,
,,,,,,,,,,,,,,,
" 16) участок 94-018 ""БЕЛОГОРСК - БЛАГОВЕЩЕНСК"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Белогорск,до ст. Благовещенск,,,,,,,,,,,
  1.,950008 .,Белогорск,   0  км , 109  км ,,,,,,,,,,,
  2.,950012 .,ОП Ост. Пункт 5 км,   5  км , 104  км ,,,,,,,,,,,
  3.,950027 .,Низина,  12  км ,  97  км ,,,,,,,,,,,
  4.,954206 .,Томичи,  24  км ,  85  км ,,,,,,,,,,,
  5.,954225 .,ОП Ост. Пункт 41 км,  42  км ,  67  км ,,,,,,,,,,,
  6.,954308 .,Среднебелая,  45  км ,  64  км ,,,,,,,,,,,
  7.,954403 .,Березовский-Восточный,  59  км ,  50  км ,,,,,,,,,,,
  8.,954418 .,ОП Ост. Пункт 65 км,  66  км ,  43  км ,,,,,,,,,,,
  9.,954422 .,ОП Ост. Пункт 73 км,  73  км ,  36  км ,,,,,,,,,,,
 10.,954507 .,Призейская,  78  км ,  31  км ,,,,,,,,,,,
 11.,954511 .,ОП Белогорье,  85  км ,  24  км ,,,,,,,,,,,
 12.,954526 .,ОП Ост. Пункт 91 км,  91  км ,  18  км ,,,,,,,,,,,
 13.,954600 .,Моховая Падь,  97  км ,  12  км ,,,,,,,,,,,
 14.,954704 .,Благовещенск, 109  км ,   0  км ,,,,,,,,,,,
 15.,954808 .,Благовещенск (перев.), 109  км ,   0  км ,,,,,,,,,,,
 16.,954901 .,Благовещенск (эксп.), 109  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 17) участок 94-019 ""ЗАВИТАЯ - ПОЯРКОВО (ЭКСП.)"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Завитая,до ст. Белогорск,до ст. Архара,,,,,,,,,,
  1.,955603 .,Завитая,   0  км , 119  км ,  96  км ,,,,,,,,,,
  2.,955618 .,ОП Платформа 4 км,   4  км , 123  км , 100  км ,,,,,,,,,,
  3.,955637 .,ОП Куприяновка,  18  км , 137  км , 114  км ,,,,,,,,,,
  4.,955641 .,ОП Ост. Пункт 22 км,  22  км , 141  км , 118  км ,,,,,,,,,,
  5.,955660 .,ОП Шумиловка,  47  км , 166  км , 143  км ,,,,,,,,,,
  6.,955815 .,ОП Сухуша,  65  км , 184  км , 161  км ,,,,,,,,,,
  7.,956004 .,Поярково,  90  км , 209  км , 186  км ,,,,,,,,,,
  8.,956108 .,Поярково (перев.),  90  км , 209  км , 186  км ,,,,,,,,,,
  9.,956201 .,Поярково (эксп.),  90  км , 209  км , 186  км ,,,,,,,,,,
,,,,,,,,,,,,,,,
" 18) участок 94-020 ""БУРЕЯ - ХОЛОДНЫЙ КЛЮЧ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Бурея,до ст. Белогорск,до ст. Архара,,,,,,,,,,
  1.,956305 .,Бурея,   0  км , 164  км ,  51  км ,,,,,,,,,,
  2.,956339 .,ОП Кивнет,   9  км , 173  км ,  60  км ,,,,,,,,,,
  3.,956502 .,Амурская,  13  км , 177  км ,  64  км ,,,,,,,,,,
  4.,956625 .,Прогресс,  17  км , 181  км ,  68  км ,,,,,,,,,,
  5.,956610 .,ОП Ост. Пункт 18 км,  18  км , 182  км ,  69  км ,,,,,,,,,,
  6.,956709 .,Холодный Ключ,  26  км , 190  км ,  77  км ,,,,,,,,,,
_____________________________________________________________________________________________,,,,,,,,,,,,,,,
