Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ МЕЖДУ СТАНЦИЯМИ НА УЧАСТКАХ ЖЕЛЕЗНЫХ ДОРОГ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Расстояния между станциями Молдавской ж.д. (код дороги 39),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  1) участок 39-001 ""ВЭЛЧИНЕЦ (ЭКСП.) - ОКНИЦА"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Вэлчинец (эксп.),до ст. Окница,,,,,,,,,,,
  3.,392607 .,Крива,   4  км ,  28  км ,,,,,,,,,,,
  4.,394424 .,ОП Платформа 68 км,   8  км ,  24  км ,,,,,,,,,,,
  5.,394509 .,Липкань,  16  км ,  16  км ,,,,,,,,,,,
  6.,394602 .,Медвежа,  19  км ,  13  км ,,,,,,,,,,,
  7.,394706 .,Медвежа (эксп.),  32  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  6) участок 39-006 ""БЭЛЦЬ-СЛОБОЗИЯ - УНГЕНЬ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Бэлць-Слобозия,до ст. Унгень,,,,,,,,,,,
  1.,393309 .,Бэлць-Слобозия,   0  км ,  85  км ,,,,,,,,,,,
  2.,393205 .,Бэлць-Ораш,   7  км ,  78  км ,,,,,,,,,,,
  3.,393402 .,ОП Ост. пункт 75 км,  10  км ,  75  км ,,,,,,,,,,,
  4.,393008 .,Рэуцел,  15  км ,  70  км ,,,,,,,,,,,
  5.,392927 .,ОП Совхоз,  21  км ,  64  км ,,,,,,,,,,,
  6.,392912 .,Хилиуць,  24  км ,  61  км ,,,,,,,,,,,
  7.,392908 .,ОП Катраник,  31  км ,  54  км ,,,,,,,,,,,
  8.,392819 .,ОП Ост. Пункт 51 км,  35  км ,  50  км ,,,,,,,,,,,
  9.,392804 .,Фэлешть,  41  км ,  44  км ,,,,,,,,,,,
 10.,392749 .,Сэрата Веке,  49  км ,  36  км ,,,,,,,,,,,
 11.,392734 .,ОП Скумпия,  52  км ,  33  км ,,,,,,,,,,,
 12.,392721 .,Стольничень,  58  км ,  27  км ,,,,,,,,,,,
 13.,392715 .,ОП Черопканий Ной,  61  км ,  24  км ,,,,,,,,,,,
 14.,392062 .,ОП Ост. пункт 23 км,  63  км ,  22  км ,,,,,,,,,,,
 15.,392058 .,Бучумень,  66  км ,  19  км ,,,,,,,,,,,
 16.,392043 .,ОП Меделень,  70  км ,  15  км ,,,,,,,,,,,
 17.,392039 .,Петрешть,  74  км ,  11  км ,,,,,,,,,,,
 18.,392081 .,ОП Семень,  75  км ,  10  км ,,,,,,,,,,,
 19.,392024 .,ОП Богданешть,  77  км ,   8  км ,,,,,,,,,,,
 20.,392077 .,ОП Загоранча,  80  км ,   5  км ,,,,,,,,,,,
 21.,392017 .,ОП Берешть,  82  км ,   3  км ,,,,,,,,,,,
 22.,392005 .,Унгень,  85  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  7) участок 39-007 ""УНГЕНЬ - КИШИНЭУ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Унгень,до ст. Кишинэу,,,,,,,,,,,
  1.,392005 .,Унгень,   0  км , 107  км ,,,,,,,,,,,
  2.,392109 .,Унгень (эксп. ЧФР),   2  км , 105  км ,,,,,,,,,,,
  3.,392202 .,Унгень (эксп. БДЖ),   2  км , 105  км ,,,,,,,,,,,
  4.,391924 .,ОП Унцешть,   6  км , 101  км ,,,,,,,,,,,
  5.,391911 .,ОП Николаевка,   9  км ,  98  км ,,,,,,,,,,,
  6.,391939 .,ОП Ост. пункт 1646 км,  12  км ,  95  км ,,,,,,,,,,,
  7.,391905 .,Пырлица,  15  км ,  92  км ,,,,,,,,,,,
  8.,391820 .,ОП Бумбэта,  22  км ,  85  км ,,,,,,,,,,,
  9.,391835 .,ОП Ост. пункт 1636 км,  23  км ,  84  км ,,,,,,,,,,,
 10.,391816 .,Корнешть (рзд),  27  км ,  80  км ,,,,,,,,,,,
 11.,391801 .,ОП Бахмут,  35  км ,  72  км ,,,,,,,,,,,
 12.,391712 .,Сипотень (рзд),  46  км ,  61  км ,,,,,,,,,,,
 13.,391708 .,Кэлэрашь,  57  км ,  50  км ,,,,,,,,,,,
 14.,391619 .,ОП Питушка,  63  км ,  44  км ,,,,,,,,,,,
 15.,391604 .,Буковэц,  68  км ,  39  км ,,,,,,,,,,,
 16.,391515 .,ОП Пэнэшешть,  73  км ,  34  км ,,,,,,,,,,,
 17.,391500 .,Стрэшень,  81  км ,  26  км ,,,,,,,,,,,
 18.,391411 .,ОП Ромашка,  87  км ,  20  км ,,,,,,,,,,,
 19.,391426 .,ОП Плажа,  92  км ,  15  км ,,,,,,,,,,,
 20.,391407 .,Гидигич,  94  км ,  13  км ,,,,,,,,,,,
 21.,391229 .,ОП Прункул,  97  км ,  10  км ,,,,,,,,,,,
 22.,391214 .,Вистерничень, 103  км ,   4  км ,,,,,,,,,,,
 23.,391207 .,Кишинэу, 107  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  8) участок 39-008 ""КИШИНЭУ - БЕНДЕР I"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Кишинэу,до ст. Бендер I,,,,,,,,,,,
  1.,391207 .,Кишинэу,   0  км ,  60  км ,,,,,,,,,,,
  2.,391233 .,ОП Кишинэу III,   5  км ,  55  км ,,,,,,,,,,,
  3.,391002 .,Ревака,   9  км ,  51  км ,,,,,,,,,,,
  4.,390917 .,ОП Сынджера,  13  км ,  47  км ,,,,,,,,,,,
  5.,390902 .,Мерень,  19  км ,  41  км ,,,,,,,,,,,
  6.,390828 .,ОП Кирка,  23  км ,  37  км ,,,,,,,,,,,
  7.,390813 .,ОП Жемчуг,  25  км ,  35  км ,,,,,,,,,,,
  8.,390809 .,Соколень,  28  км ,  32  км ,,,,,,,,,,,
  9.,390716 .,ОП Анены,  34  км ,  26  км ,,,,,,,,,,,
 10.,390705 .,Булбоака,  38  км ,  22  км ,,,,,,,,,,,
 11.,390635 .,ОП Рошканы,  43  км ,  17  км ,,,,,,,,,,,
 12.,390620 .,ОП Село-Калфа,  47  км ,  13  км ,,,,,,,,,,,
 13.,390616 .,Калфа (рзд),  49  км ,  11  км ,,,,,,,,,,,
 14.,390640 .,ОП Ост. пункт 1503 км,  49  км ,  11  км ,,,,,,,,,,,
 15.,390654 .,ОП Северная,  53  км ,   7  км ,,,,,,,,,,,
 16.,390669 .,ОП Ост. пункт 1497 км,  55  км ,   5  км ,,,,,,,,,,,
 17.,390673 .,ОП Бендер III,  57  км ,   3  км ,,,,,,,,,,,
 18.,390601 .,Бендер II,  58  км ,   2  км ,,,,,,,,,,,
 19.,390001 .,Бендер I,  60  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  9) участок 39-009 ""РЭУЦЕЛ - ГЛОДЕНЬ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Рэуцел,до ст. Глодень,,,,,,,,,,,
  1.,393008 .,Рэуцел,   0  км ,  34  км ,,,,,,,,,,,
  2.,393101 .,Глодень,  34  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 10) участок 39-010 ""БЕНДЕР I - НОВОСАВИЦКАЯ (ЭКСП.)"" (Основной тарифный участок)",,,,,,,,,,,,,,,
