Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ МЕЖДУ СТАНЦИЯМИ НА УЧАСТКАХ ЖЕЛЕЗНЫХ ДОРОГ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Расстояния между станциями Юго-Восточной ж.д. (код дороги 58),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  1) участок 58-001 ""ЕФРЕМОВ (Московской ж.д.) - ЕЛЕЦ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Ефремов,до ст. Елец,,,,,,,,,,,
  2.,603466 .,ОП Ост. Пункт 338 км,   6  км ,  18  км ,,,,,,,,,,,
  3.,603451 .,Снежеток,  12  км ,  12  км ,,,,,,,,,,,
  4.,603803 .,Богоявленск,  24  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  6) участок 58-008 ""БОГОЯВЛЕНСК - ПОСТ 315 КМ (Московской ж.д.)"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Богоявленск,до ст. Пост 315 км,,,,,,,,,,,
  1.,603803 .,Богоявленск,   0  км ,  50  км ,,,,,,,,,,,
  2.,603818 .,ОП Колбовка,   4  км ,  46  км ,,,,,,,,,,,
  3.,603822 .,ОП Ост. Пункт 359 км,   7  км ,  43  км ,,,,,,,,,,,
  4.,604079 .,ОП Черемушка,  11  км ,  39  км ,,,,,,,,,,,
  5.,603837 .,ОП Зимарово,  14  км ,  36  км ,,,,,,,,,,,
  6.,604064 .,ОП Бахметьево,  16  км ,  34  км ,,,,,,,,,,,
  7.,604057 .,ОП Ост. Пункт 345 км,  21  км ,  29  км ,,,,,,,,,,,
  8.,604007 .,Александро-Невская,  26  км ,  24  км ,,,,,,,,,,,
  9.,604011 .,ОП Ново-Сергиевка,  32  км ,  18  км ,,,,,,,,,,,
 10.,604026 .,ОП Шереметьево,  38  км ,  12  км ,,,,,,,,,,,
 11.,604030 .,ОП Большая Алешня,  44  км ,   6  км ,,,,,,,,,,,
 12.,604045 .,ОП Ост. Пункт 318 км,  48  км ,   2  км ,,,,,,,,,,,
 13.,223818 .,Пост 315 км,  50  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  7) участок 58-009 ""БОГОЯВЛЕНСК - КОЧЕТОВКА I"" (Основной тарифный участок)",,,,,,,,,,,,,,,
