Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ МЕЖДУ СТАНЦИЯМИ НА УЧАСТКАХ ЖЕЛЕЗНЫХ ДОРОГ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Расстояния между станциями Латвийской ж.д. (код дороги 09),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  1) участок 09-002 ""ВАЛКА (РЗД) - ИЕРИКИ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Лугажи (эксп.),до ст. Иерики,,,,,,,,,,,
  1.,112723 .,Резекне I,   0  км ,  84  км ,,,,,,,,,,,
  2.,112738 .,Пуполы (пп),  11  км ,  73  км ,,,,,,,,,,,
  3.,113302 .,Малта,  19  км ,  65  км ,,,,,,,,,,,
  4.,113317 .,ОП Вайнава,  27  км ,  57  км ,,,,,,,,,,,
  5.,113321 .,Краце (пп),  31  км ,  53  км ,,,,,,,,,,,
  6.,113336 .,ОП Залвэзерс,  37  км ,  47  км ,,,,,,,,,,,
  7.,113340 .,ОП Апсени,  41  км ,  43  км ,,,,,,,,,,,
  8.,113406 .,Аглона,  46  км ,  38  км ,,,,,,,,,,,
  9.,113410 .,ОП Ардава,  51  км ,  33  км ,,,,,,,,,,,
 10.,113425 .,Виганти,  54  км ,  30  км ,,,,,,,,,,,
 11.,113431 .,Вишки,  61  км ,  23  км ,,,,,,,,,,,
 12.,113514 .,ОП Медупе,  67  км ,  17  км ,,,,,,,,,,,
 13.,113603 .,Залюми,  72  км ,  12  км ,,,,,,,,,,,
 14.,113618 .,ОП Кудрайне,  77  км ,   7  км ,,,,,,,,,,,
 15.,113637 .,Блокпост 524 км,  79  км ,   5  км ,,,,,,,,,,,
 16.,113641 .,ОП Ост. Пункт 525 км,  80  км ,   4  км ,,,,,,,,,,,
 17.,110107 .,Даугавпилс-Шкирошанас,  84  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  8) участок 09-011 ""РЕЗЕКНЕ II - КРУСТПИЛС"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Резекне II,до ст. Крустпилс,,,,,,,,,,,
  1.,113105 .,Резекне II,   0  км ,  95  км ,,,,,,,,,,,
  2.,113213 .,Блокпост 223 км,   2  км ,  93  км ,,,,,,,,,,,
  3.,113112 .,Сакстагалс,  12  км ,  83  км ,,,,,,,,,,,
  4.,113800 .,Виляны,  26  км ,  69  км ,,,,,,,,,,,
  5.,113815 .,Варакляны,  36  км ,  59  км ,,,,,,,,,,,
  6.,113904 .,Стирниене,  44  км ,  51  км ,,,,,,,,,,,
  7.,113919 .,Аташиене,  60  км ,  35  км ,,,,,,,,,,,
  8.,114019 .,Межаре,  71  км ,  24  км ,,,,,,,,,,,
  9.,114127 .,Кукас,  82  км ,  13  км ,,,,,,,,,,,
 10.,114201 .,Крустпилс,  95  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  9) участок 09-012 ""КРУСТПИЛС - ПЛЯВИНЯС"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Крустпилс,до ст. Плявиняс,,,,,,,,,,,
  1.,114201 .,Крустпилс,   0  км ,  17  км ,,,,,,,,,,,
  2.,114216 .,Озолсала,   8  км ,   9  км ,,,,,,,,,,,
  3.,117604 .,Плявиняс,  17  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 10) участок 09-013 ""КРУСТПИЛС - ДАУГАВПИЛС-ШКИРОШАНАС"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Крустпилс,до ст. Даугавпилс-Шкирошанас,,,,,,,,,,,
  1.,114201 .,Крустпилс,   0  км ,  89  км ,,,,,,,,,,,
  2.,114199 .,Асоте (рзд),   9  км ,  80  км ,,,,,,,,,,,
  3.,114220 .,Трепе,  17  км ,  72  км ,,,,,,,,,,,
  4.,114305 .,Ливаны,  29  км ,  60  км ,,,,,,,,,,,
  5.,114318 .,Ерсика,  40  км ,  49  км ,,,,,,,,,,,
  6.,114324 .,Сергунта,  50  км ,  39  км ,,,,,,,,,,,
  7.,114466 .,Ницгале,  57  км ,  32  км ,,,,,,,,,,,
  8.,114413 .,ОП Ружи,  63  км ,  26  км ,,,,,,,,,,,
  9.,114428 .,Ваболе,  69  км ,  20  км ,,,,,,,,,,,
 10.,114432 .,Ликсна,  74  км ,  15  км ,,,,,,,,,,,
 11.,114451 .,Блокпост 383 км,  81  км ,   8  км ,,,,,,,,,,,
 12.,114521 .,ОП Межциемс,  83  км ,   6  км ,,,,,,,,,,,
 13.,114517 .,Блокпост 387 км,  86  км ,   3  км ,,,,,,,,,,,
 14.,110107 .,Даугавпилс-Шкирошанас,  89  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 11) участок 09-015 ""ПЛЯВИНЯС - ЯНЯВАРТИ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Плявиняс,до ст. Яняварти,,,,,,,,,,,
  1.,117604 .,Плявиняс,   0  км , 108  км ,,,,,,,,,,,
  2.,117619 .,Алотене,  10  км ,  98  км ,,,,,,,,,,,
  3.,093607 .,Кокнесе,  18  км ,  90  км ,,,,,,,,,,,
  4.,093700 .,Айзкраукле,  30  км ,  78  км ,,,,,,,,,,,
  5.,093715 .,ОП Мулдакменс,  34  км ,  74  км ,,,,,,,,,,,
  6.,093804 .,Скривери,  40  км ,  68  км ,,,,,,,,,,,
  7.,093819 .,ОП Дендрарийс,  46  км ,  62  км ,,,,,,,,,,,
  8.,093927 .,ОП Юмправа,  50  км ,  58  км ,,,,,,,,,,,
  9.,093912 .,ОП Кайбала,  56  км ,  52  км ,,,,,,,,,,,
 10.,094008 .,Лиелварде,  61  км ,  47  км ,,,,,,,,,,,
 11.,094012 .,ОП Кегумс,  67  км ,  41  км ,,,,,,,,,,,
 12.,094027 .,ОП Циемупе,  73  км ,  35  км ,,,,,,,,,,,
 13.,094031 .,ОП Парогре,  77  км ,  31  км ,,,,,,,,,,,
 14.,094101 .,Огре,  78  км ,  30  км ,,,,,,,,,,,
 15.,094116 .,ОП Яуногре,  79  км ,  29  км ,,,,,,,,,,,
 16.,094120 .,ОП Икшкиле,  84  км ,  24  км ,,,,,,,,,,,
 17.,094135 .,ОП Саулкалне,  89  км ,  19  км ,,,,,,,,,,,
 18.,094205 .,Саласпилс,  94  км ,  14  км ,,,,,,,,,,,
 19.,090045 .,ОП Доле,  96  км ,  12  км ,,,,,,,,,,,
 20.,090030 .,ОП Дарзини,  99  км ,   9  км ,,,,,,,,,,,
 21.,090026 .,ОП Румбула, 101  км ,   7  км ,,,,,,,,,,,
 22.,090011 .,ОП Гайсма, 102  км ,   6  км ,,,,,,,,,,,
 23.,090007 .,Шкиротава, 104  км ,   4  км ,,,,,,,,,,,
 24.,090055 .,ОП Даугмале, 106  км ,   2  км ,,,,,,,,,,,
 25.,090064 .,Яняварти, 108  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 12) участок 09-017 ""ЯНЯВАРТИ - ЗЕМИТАНЫ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Яняварти,до ст. Земитаны,,,,,,,,,,,
  1.,090064 .,Яняварти,   0  км ,   4  км ,,,,,,,,,,,
  2.,095000 .,Земитаны,   4  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 13) участок 09-018 ""ЗЕМИТАНЫ - РИГА-КРАСТА"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Земитаны,до ст. Рига-Краста,,,,,,,,,,,
  1.,095000 .,Земитаны,   0  км ,   5  км ,,,,,,,,,,,
  2.,090416 .,ОП Браса,   2  км ,   3  км ,,,,,,,,,,,
  3.,094807 .,Земитаны (3 км Рига-Краста эксп.),   3  км ,   2  км ,,,,,,,,,,,
  4.,094900 .,Земитаны (3 км Рига-Краста),   3  км ,   2  км ,,,,,,,,,,,
  5.,090505 .,Рига-Краста,   5  км ,   0  км ,,,,,,,,,,,
  6.,090609 .,Рига-Краста (эксп.),   5  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 14) участок 09-021 ""ЗАСУЛАУКС - БОЛДЕРАЯ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Засулаукс,до ст. Болдерая (эксп.),,,,,,,,,,,
  1.,096709 .,Засулаукс,   0  км ,   9  км ,,,,,,,,,,,
  2.,096802 .,Лачупе,   3  км ,   6  км ,,,,,,,,,,,
  3.,097100 .,Болдерая II,   6  км ,   3  км ,,,,,,,,,,,
  4.,097006 .,Болдерая,   9  км ,   0  км ,,,,,,,,,,,
  5.,097400 .,Болдерая (эксп.),   9  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 15) участок 09-022 ""ТОРНЯКАЛНС - ЕЛГАВА"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Торнякалнс,до ст. Елгава,,,,,,,,,,,
  1.,091008 .,Торнякалнс,   0  км ,  40  км ,,,,,,,,,,,
  2.,091014 .,ОП Атгазене,   2  км ,  38  км ,,,,,,,,,,,
  3.,091033 .,ОП Бизнеса Аугстскола Туриба,   3  км ,  37  км ,,,,,,,,,,,
  4.,091029 .,ОП Тирайне,   6  км ,  34  км ,,,,,,,,,,,
  5.,091103 .,Баложи,  10  км ,  30  км ,,,,,,,,,,,
  6.,091118 .,ОП Яунолайне,  15  км ,  25  км ,,,,,,,,,,,
  7.,091508 .,Олайне,  19  км ,  21  км ,,,,,,,,,,,
  8.,091512 .,ОП Далбе,  26  км ,  14  км ,,,,,,,,,,,
  9.,091601 .,Цена,  31  км ,   9  км ,,,,,,,,,,,
 10.,091616 .,ОП Озолниеки,  34  км ,   6  км ,,,,,,,,,,,
 11.,091620 .,ОП Цукурфабрика,  38  км ,   2  км ,,,,,,,,,,,
 12.,091809 .,Елгава,  40  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 16) участок 09-023 ""ЕЛГАВА - КРУСТПИЛС"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Елгава,до ст. Крустпилс,,,,,,,,,,,
  1.,091809 .,Елгава,   0  км , 138  км ,,,,,,,,,,,
  2.,091813 .,Елгава II,   2  км , 136  км ,,,,,,,,,,,
  3.,092515 .,Гароза,  14  км , 124  км ,,,,,,,,,,,
  4.,092411 .,Залите,  22  км , 116  км ,,,,,,,,,,,
  5.,092407 .,Иецава,  32  км , 106  км ,,,,,,,,,,,
  6.,092303 .,Миса,  43  км ,  95  км ,,,,,,,,,,,
  7.,092214 .,ОП Ост. Пункт 210 км,  46  км ,  92  км ,,,,,,,,,,,
  8.,092203 .,Вецумниеки,  52  км ,  86  км ,,,,,,,,,,,
  9.,092137 .,ОП Бирзе,  61  км ,  77  км ,,,,,,,,,,,
 10.,092125 .,ОП Гоба,  65  км ,  73  км ,,,,,,,,,,,
 11.,092110 .,Лачплесис,  68  км ,  70  км ,,,,,,,,,,,
 12.,092106 .,Тауркалне,  77  км ,  61  км ,,,,,,,,,,,
 13.,092021 .,Мента,  88  км ,  50  км ,,,,,,,,,,,
 14.,092017 .,ОП Ост. Пункт 256 км,  93  км ,  45  км ,,,,,,,,,,,
 15.,092002 .,Даудзева,  97  км ,  41  км ,,,,,,,,,,,
 16.,091936 .,Сеце, 105  км ,  33  км ,,,,,,,,,,,
 17.,091921 .,ОП Стабурагс, 114  км ,  24  км ,,,,,,,,,,,
 18.,091917 .,Селпилс, 120  км ,  18  км ,,,,,,,,,,,
 19.,091902 .,Даугава, 127  км ,  11  км ,,,,,,,,,,,
 20.,114201 .,Крустпилс, 138  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 17) участок 09-024 ""ЕЛГАВА - МЕЙТЕНЕ (ЭКСП.)"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Елгава,до ст. Мейтене (эксп.),,,,,,,,,,,
  1.,091809 .,Елгава,   0  км ,  33  км ,,,,,,,,,,,
  2.,091851 .,ОП Димзас,   8  км ,  25  км ,,,,,,,,,,,
  3.,091866 .,ОП Платоне,  14  км ,  19  км ,,,,,,,,,,,
  4.,091870 .,ОП Вежукрогс,  17  км ,  16  км ,,,,,,,,,,,
  5.,091885 .,ОП Бриежи,  21  км ,  12  км ,,,,,,,,,,,
  6.,091712 .,ОП Мазэлея,  24  км ,   9  км ,,,,,,,,,,,
  7.,091705 .,Мейтене,  28  км ,   5  км ,,,,,,,,,,,
  8.,091404 .,Мейтене (эксп.),  33  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 18) участок 09-025 ""ЕЛГАВА - ГЛУДА"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Елгава,до ст. Глуда,,,,,,,,,,,
  1.,091809 .,Елгава,   0  км ,  16  км ,,,,,,,,,,,
  2.,091828 .,ОП Ост. Пункт 50 км,   7  км ,   9  км ,,,,,,,,,,,
  3.,091832 .,ОП Виестури,   9  км ,   7  км ,,,,,,,,,,,
  4.,091847 .,ОП Дорупе,  13  км ,   3  км ,,,,,,,,,,,
  5.,092801 .,Глуда,  16  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 19) участок 09-026 ""ЕЛГАВА - ТУКУМС II"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Елгава,до ст. Тукумс II,,,,,,,,,,,
  1.,091809 .,Елгава,   0  км ,  56  км ,,,,,,,,,,,
  2.,097612 .,ОП Бракшки,  13  км ,  43  км ,,,,,,,,,,,
  3.,097646 .,Ливберзе,  20  км ,  36  км ,,,,,,,,,,,
  4.,097627 .,ОП Апшупе,  30  км ,  26  км ,,,,,,,,,,,
  5.,097631 .,ОП Джуксте,  34  км ,  22  км ,,,,,,,,,,,
