Четверг 25 сен.2025г.  17:59,,,,,
,,,,,
АЛФАВИТНЫЙ СПИСОК ЖЕЛЕЗНОДОРОЖНЫХ СТАНЦИЙ,,,,,
,,,,,
АЛФАВИТНЫЙ СПИСОК ОСТАНОВОЧНЫХ ПУНКТОВ И ПЛАТФОРМ,,,,,
№ п/п,Наименование пункта,Операции,Дорога,Код станции,
 1012.,Власть Труда,О,63 Кбш (Р),637439,
 1013.,Водбольское,О,17 Моск (Р),227217,
 1014.,Воденяпино,О,63 Кбш (Р),633033,
 1015.,Водники,О,17 Моск (Р),237831,
 1016.,Водозабор,О,28 Сев (Р),303478,
 1017.,Водолеево,О,76 Сверд (Р),760510,
 1018.,Водопад,О,63 Кбш (Р),653855,
 1019.,Водопровод,О,48 Дон (У),496914,
 1020.,Водопровод ,О,84 84-я дорога,838414,
 1021.,Водопьянова,О,88 Крас (Р),890127,
 1022.,Водораздел,О,88 Крас (Р),890637,
 1023.,Водос,О ,01 Окт (Р),042056,
 1024.,Водяная,О,40 Од (У),411121,
 1025.,Водяная,О,51 С-Кав (Р),514737,
 1026.,Водяное,О,43 Южн (У),449612,
 1027.,Воеводское,О,63 Кбш (Р),641330,
 1028.,Вожаково,О,76 Сверд (Р),762535,
 1029.,Вождоромка,О,28 Сев (Р),290943,
 1030.,Возгорье,О,48 Дон (У),495639,
 1031.,Воздухоплавательный Парк,О,01 Окт (Р),033042,
 1032.,Возляково,О,32 Ю-Зап (У),349522,
 1033.,Вознесенская Горка,О,76 Сверд (Р),772522,
 1034.,Воиново,О,17 Моск (Р),230027,
 1035.,Войгяны,О,13 Бел,162436,
 1036.,Воймежный,О,17 Моск (Р),232323,
 1037.,Воймирово,О,17 Моск (Р),186021,
 1038.,Войновка,О,40 Од (У),423519,
 1039.,Войтешин,О,13 Бел,134243,
 1040.,Войтковичи,О,13 Бел,136732,
 1041.,Войцехово,О,45 Придн (У),450427,
 1042.,Воке,О,12 Лит,120819,
 1043.,Волга,О,24 Горьк (Р),260215,
 1044.,Волга-Пост,О,24 Горьк (Р),249023,
 1045.,Волгогрэс,О,61 Прив (Р),611617,
 1046.,Волеги,О,76 Сверд (Р),762658,
 1047.,Волегово,О,76 Сверд (Р),762130,
 1048.,Волжский,О,63 Кбш (Р),637532,
 1049.,Волжский-Химкомбинат,О,61 Прив (Р),610120,
 1050.,Волица,О,32 Ю-Зап (У),343556,
 1051.,Волково,О,61 Прив (Р),609340,
 1052.,Волковцы,О,32 Ю-Зап (У),333810,
 1053.,Волковцы Турильче,О,35 Льв (У),364113,
 1054.,Волковыск-Город,О,13 Бел,136713,
 1055.,Волконская,О,51 С-Кав (Р),533162,
 1056.,Воловники,О,13 Бел,158252,
 1057.,Володарского,О,76 Сверд (Р),768211,
 1058.,Володиевцы,О,32 Ю-Зап (У),332428,
 1059.,Володино,О,48 Дон (У),498727,
 1060.,Володино,О,84 84-я дорога,839211,
 1061.,Володьки,О,13 Бел,163922,
 1062.,Володькова Девица,О,32 Ю-Зап (У),323823,
 1063.,Воложка,О,24 Горьк (Р),255912,
 1064.,Волока,О,35 Льв (У),368237,
 1065.,Волоки,О,13 Бел,156539,
 1066.,Волома,О,01 Окт (Р),027412,
 1067.,Волонга,О,28 Сев (Р),300817,
 1068.,Волосское,О,32 Ю-Зап (У),331016,
 1069.,Волосянка,О,35 Льв (У),375326,
 1070.,Волотова,О,13 Бел,150547,
 1071.,Волоцкой,О,28 Сев (Р),303228,
 1072.,Волошино,Х,32 Ю-Зап (У),349518,
 1073.,Волошки,О,35 Льв (У),356649,
 1074.,Волудринцы,О,32 Ю-Зап (У),333740,
 1075.,Волхов Мост,О,01 Окт (Р),041833,
 1076.,Волхов-Пристань,О,01 Окт (Р),045213,
 1077.,Волхово,О,01 Окт (Р),041848,
 1078.,Волчейка,О,17 Моск (Р),170038,
 1079.,Волчковичи,О,13 Бел,144616,
 1080.,Волчковцы,О,35 Льв (У),389214,
 1081.,Волчья Яма,О,63 Кбш (Р),659325,
 1082.,Волшута,О,17 Моск (Р),228258,
 1083.,Вольное,О,45 Придн (У),452066,
 1084.,Вольное,О,51 С-Кав (Р),530212,
 1085.,Вольные Луки,Х,40 Од (У),414238,
 1086.,Вольный,О,61 Прив (Р),608614,
 1087.,Воля,О,48 Дон (У),488231,
 1088.,Воля,О,89 89-я дорога,928179,
 1089.,Воля Холоевская,О,35 Льв (У),370814,
 1090.,Вомпе,О,01 Окт (Р),054320,
 1091.,Вонлярово,О,17 Моск (Р),171647,
 1092.,Воньга,Б,01 Окт (Р),013513,
 1093.,Ворбузе,О,08 Эст,084627,
 1094.,Ворволинцы,П,35 Льв (У),365012,
 1095.,Ворзель,Б,32 Ю-Зап (У),322021,
 1096.,Воробка,О,01 Окт (Р),044812,
 1097.,Воробьевка,О,61 Прив (Р),609231,
 1098.,Воробьевский,О,24 Горьк (Р),248919,
 1099.,Ворокосово,О,80 Ю-Ур (Р),826421,
 1100.,Ворона,О,35 Льв (У),388527,
 1101.,Ворона,О,58 Ю-Вост (Р),598925,
 1102.,Воронино,О,17 Моск (Р),171651,
 1103.,Воронино-Пашня,О,83 З-Сиб (Р),874938,
 1104.,Воронка,О,01 Окт (Р),074714,
 1105.,Воронки,О,63 Кбш (Р),654519,
 1106.,Вороново,О,13 Бел,137816,
 1107.,Воронок,О,17 Моск (Р),235410,
 1108.,Ворота КМЗ,О,48 Дон (У),491817,
 1109.,Ворота КМЗ,О,89 89-я дорога,957331,
 1110.,Воротище,О,13 Бел,138634,
 1111.,Ворочево,О,35 Льв (У),381513,
 1112.,Ворошиловская,О,24 Горьк (Р),264818,
 1113.,Ворошиловский,О,92 В-Сиб (Р),927181,
 1114.,Ворсаньга,О,28 Сев (Р),298161,
 1115.,Ворскла,О,43 Южн (У),446031,
 1116.,Ворскла,О,43 Южн (У),448713,
 1117.,Воскресенка,О,94 Заб (Р),940542,
 1118.,Воссоединение,О,61 Прив (Р),610031,
 1119.,Восток,О,13 Бел,139162,
 1120.,Восток,О,40 Од (У),402828,
 1121.,Восток,О,63 Кбш (Р),638516,
 1122.,Восточная,О,92 В-Сиб (Р),931420,
 1123.,Восточная Губа,О,01 Окт (Р),015519,
 1124.,Восточный,О,43 Южн (У),448889,
 1125.,Восточный,О,58 Ю-Вост (Р),582019,
 1126.,Восточный,О,80 Ю-Ур (Р),809523,
 1127.,Восточный,О,92 В-Сиб (Р),920125,
 1128.,Восточный,О,94 Заб (Р),942919,
 1129.,Восточный переезд,О,83 З-Сиб (Р),873371,
 1130.,Восточный Порт,О,96 Д-Вост (Р),985929,
 1131.,Восточный-Сахалинский,О,96 Д-Вост (Р),995441,
 1132.,Востряково,О,17 Моск (Р),192817,
 1133.,Восход,О,51 С-Кав (Р),534820,
 1134.,Восход,О,94 Заб (Р),942317,
 1135.,Вохна,О,17 Моск (Р),230826,
 1136.,Воютычи,О,35 Льв (У),374952,
 1137.,ВОСХОД,О,24 Горьк (Р),266048,
 1138.,Врубовщик,О,48 Дон (У),480916,
 1139.,Врубовщик,О,89 89-я дорога,897516,
 1140.,Вруда,О,01 Окт (Р),073815,
 1141.,ВРД,О,24 Горьк (Р),250020,
 1142.,Всеволожская,О,01 Окт (Р),036712,
 1143.,Встреча,Б,76 Сверд (Р),772715,
 1144.,Встречная-Донецкая,Х,48 Дон (У),508721,
 1145.,Встречная-Донецкая,Х,84 84-я дорога,849743,
 1146.,Встречный,О,94 Заб (Р),951710,
 1147.,Вторчермет,О,76 Сверд (Р),780711,
 1148.,Вуд-Озеро,О,01 Окт (Р),014545,
 1149.,Вузловое,О,35 Льв (У),371598,
 1150.,Вузовские Сады,О,76 Сверд (Р),781131,
 1151.,Вулька-Антопольская,О,13 Бел,132820,
 1152.,Вулька-Лунинецкая,О,13 Бел,133452,
 1153.,Входная,О,68 Кзх,673312,
 1154.,Входное,О,80 Ю-Ур (Р),817418,
 1155.,Вчерайше,Б,32 Ю-Зап (У),342812,
 1156.,Выболово,О,24 Горьк (Р),269224,
 1157.,Выгов,О,32 Ю-Зап (У),348712,
 1158.,Выгода,О,13 Бел,138225,
 1159.,Выдерки,О,01 Окт (Р),055817,
 1160.,Выдерщина,О,13 Бел,142019,
 1161.,Выдрея,О,13 Бел,165720,
 1162.,Выдубичи-Трипольские,О,32 Ю-Зап (У),320859,
 1163.,Выдубычи,О,32 Ю-Зап (У),320098,
 1164.,Выемка,О,48 Дон (У),495038,
 1165.,Выемка,О,84 84-я дорога,838016,
 1166.,Вылазы,О,13 Бел,133467,
 1167.,Выползово,О,17 Моск (Р),215027,
 1168.,Вырубки,О,76 Сверд (Р),783423,
 1169.,Выселки,О,24 Горьк (Р),262827,
 1170.,Высокий,О,43 Южн (У),441150,
 1171.,Высоково,О,24 Горьк (Р),240187,
 1172.,Высокое,О,01 Окт (Р),050527,
 1173.,Высокое,О,17 Моск (Р),176250,
 1174.,Высокое,О,24 Горьк (Р),261330,
 1175.,Высокое,О,32 Ю-Зап (У),338532,
 1176.,Высокое-Город,О,13 Бел,131713,
 1177.,Высотная,О ,61 Прив (Р),609725,
 1178.,Выстороп,О,43 Южн (У),445857,
 1179.,Выстрел,О,76 Сверд (Р),791824,
 1180.,Выступовичи,П,32 Ю-Зап (У),347710,
 1181.,Выхино,О,17 Моск (Р),193839,
 1182.,Вышгород,О,17 Моск (Р),220631,
 1183.,Вышгород,О,32 Ю-Зап (У),320685,
 1184.,Вышгородок,О,35 Льв (У),360273,
 1185.,Вышгородская,О,32 Ю-Зап (У),320628,
 1186.,Вышегор,О,17 Моск (Р),172423,
 1187.,ВЫСОКОВО-КИРОВСКОЕ,О,24 Горьк (Р),271455,
 1188.,Вьюгово,О,01 Окт (Р),051233,
 1189.,Вяжище,О,01 Окт (Р),040212,
 1190.,Вяжли,О,63 Кбш (Р),632219,
 1191.,Вязники,О,51 С-Кав (Р),527050,
 1192.,Вязники,О,58 Ю-Вост (Р),581913,
 1193.,Вязов ручей,О,01 Окт (Р),040934,
 1194.,Вязовка,О,61 Прив (Р),623737,
 1195.,Вязовое,О,32 Ю-Зап (У),328916,
 1196.,Вязовые,О,24 Горьк (Р),249019,
 1197.,Вязовый,О,51 С-Кав (Р),588552,
 1198.,Вязовый Гай,Б,61 Прив (Р),624528,
 1199.,Вязынка,О,13 Бел,143416,
 1200.,Вялка,О,01 Окт (Р),041119,
 1201.,Вялки,О,17 Моск (Р),194620,
 1202.,Вяткино,О,17 Моск (Р),181237,
 1203.,Вятны,О,13 Бел,168324,
 1204.,Вячково,О,01 Окт (Р),047830,
 1205.,город Шиханы,О,61 Прив (Р),624725,
 1206.,Габдюково,О,63 Кбш (Р),653860,
 1207.,Гавердово,О,17 Моск (Р),220627,
 1208.,Гавиезе,О,09 Лат,098668,
 1209.,Гаврилково,О,28 Сев (Р),316514,
 1210.,Гагаринская,О,17 Моск (Р),235514,
 1211.,Гагаринская,О,83 З-Сиб (Р),850647,
 1212.,Гагра-Павильон,О,57 Грз,574314,
 1213.,Гадзинка,О,32 Ю-Зап (У),345659,
 1214.,Гаечное,Б,76 Сверд (Р),773313,
 1215.,Газобензиновый завод,О,55 Азерб,548112,
 1216.,Газовое,О,43 Южн (У),446741,
 1217.,Гаи Великие,О,35 Льв (У),360080,
 1218.,Гай,О,13 Бел,146842,
 1219.,Гай,О,32 Ю-Зап (У),343719,
 1220.,Гайдаш,О,51 С-Кав (Р),510045,
 1221.,Гайна,О,63 Кбш (Р),656726,
 1222.,Гайсма,О,09 Лат,090011,
 1223.,Галайбино,О,32 Ю-Зап (У),326319,
 1224.,Галанино,О,61 Прив (Р),609513,
 1225.,Галерея Сосновая,О,92 В-Сиб (Р),934166,
 1226.,Галино,О,32 Ю-Зап (У),344425,
 1227.,Галицкая,О,24 Горьк (Р),264019,
 1228.,Галичины,О,35 Льв (У),357317,
 1229.,Галично,О,01 Окт (Р),047444,
 1230.,Галкино,О,94 Заб (Р),947556,
 1231.,Гальян,О,76 Сверд (Р),784623,
 1232.,Галюгаевский,О,51 С-Кав (Р),539429,
 1233.,Гамарджвеба,О,57 Грз,561615,
 1234.,Гангура,О,39 Млд,399413,
 1235.,Ганза,О,57 Грз,563536,
 1236.,Ганзурино,О,92 В-Сиб (Р),935934,
 1237.,Ганина Гарь,О,88 Крас (Р),881819,
 1238.,Ганусино,О,32 Ю-Зап (У),341639,
 1239.,Гапоново,О,17 Моск (Р),207336,
 1240.,Гарадил,О,55 Азерб,546579,
 1241.,Гарбузовка,О,43 Южн (У),433421,
 1242.,Гарбузовка,О,43 Южн (У),445876,
 1243.,Гари,О,24 Горьк (Р),251216,
 1244.,Гарлява,О,12 Лит,123126,
 1245.,Гарнишевка,О,32 Ю-Зап (У),330117,
 1246.,Гарнышевский переезд,О,32 Ю-Зап (У),330121,
 1247.,Гарупе,О,09 Лат,096130,
 1248.,Гарциемс,О,09 Лат,096145,
 1249.,Гарь,О,28 Сев (Р),299836,
 1250.,Гастелло,О,96 Д-Вост (Р),995812,
 1251.,Гать,О,76 Сверд (Р),771515,
 1252.,Гаур,О,94 Заб (Р),948811,
 1253.,Гаути,О,13 Бел,163212,
 1254.,Гауя,О,09 Лат,096111,
 1255.,Гафури,О,63 Кбш (Р),651328,
 1256.,Гвандра,О,57 Грз,574028,
 1257.,Гвардейское,О,01 Окт (Р),020061,
 1258.,Гейнук,Б,55 Азерб,559418,
 1259.,Гелтосу,О,39 Млд,396839,
 1260.,Генералово,О,63 Кбш (Р),632435,
 1261.,Геодезическая,О,83 З-Сиб (Р),853611,
 1262.,Геолог,О,13 Бел,154463,
 1263.,Геологи,О,76 Сверд (Р),765529,
 1264.,Геологическая,О,88 Крас (Р),886352,
 1265.,Геологическая,О,96 Д-Вост (Р),982155,
 1266.,Геологический,О,40 Од (У),422925,
 1267.,Георгиевская,О,01 Окт (Р),042516,
 1268.,Георгиевский Завод,Б,01 Окт (Р),048527,
 1269.,Герасимовка,О,58 Ю-Вост (Р),439979,
 1270.,Герасимовка,О,48 Дон (У),491925,
 1271.,Герасимовка,О,89 89-я дорога,957420,
 1272.,Герей-Тюз,О,51 С-Кав (Р),543710,
 1273.,Герзель-Аул,О,51 С-Кав (Р),542648,
 1274.,Гермаковка,П,35 Льв (У),364128,
 1275.,Геройская,О,01 Окт (Р),030415,
 1276.,Герцовка,О,58 Ю-Вост (Р),435639,
 1277.,Гершуновка,О,39 Млд,396519,
 1278.,Геям,Б,55 Азерб,559615,
 1279.,ГЕОРГИЕВО,О,24 Горьк (Р),243116,
 1280.,Гибуличи,О,13 Бел,135284,
 1281.,Гидродобытчик,О,83 З-Сиб (Р),863327,
 1282.,Гидрозолоотвал,О,83 З-Сиб (Р),864419,
 1283.,Гиевка,О,43 Южн (У),449720,
 1284.,Гизель-Дере,О,51 С-Кав (Р),533348,
 1285.,Гилуйчяй,О,12 Лит,123681,
 1286.,Гинеевка,О,43 Южн (У),444229,
 1287.,Гипсы,О,76 Сверд (Р),763631,
 1288.,Гирне,О,35 Льв (У),377113,
 1289.,Гирьял,О,80 Ю-Ур (Р),803420,
 1290.,Глафировка,О,48 Дон (У),505329,
 1291.,Глебова Рудня,О,13 Бел,147510,
 1292.,Глеваха,О,32 Ю-Зап (У),321211,
 1293.,Глиненка,О,32 Ю-Зап (У),324239,
 1294.,Глинка,Б,17 Моск (Р),170630,
 1295.,Глиновка,О,83 З-Сиб (Р),870710,
 1296.,Глинск,О,35 Льв (У),350017,
 1297.,Глинско,О,35 Льв (У),372317,
 1298.,Глиняная,П,40 Од (У),412124,
 1299.,Глубокая Падь,О,94 Заб (Р),942548,
 1300.,Глубокий,О,94 Заб (Р),951439,
 1301.,Глубоково,О,17 Моск (Р),231410,
 1302.,Глубокое,О,76 Сверд (Р),794023,
 1303.,Глухарево,О,94 Заб (Р),951340,
 1304.,Глухарный,Б,76 Сверд (Р),776913,
 1305.,Глухарь,О,76 Сверд (Р),764210,
 1306.,Глуховская,О,83 З-Сиб (Р),832812,
 1307.,Глуховцы,О,32 Ю-Зап (У),342427,
 1308.,Глушковка,О,43 Южн (У),431430,
 1309.,Глушь,О,01 Окт (Р),030434,
 1310.,Глыбное,О,43 Южн (У),433811,
 1311.,Глядки,О,13 Бел,148316,
 1312.,Гнездышко,О,94 Заб (Р),949142,
 1313.,Гнилица,О,43 Южн (У),433224,
 1314.,Гоба,О,09 Лат,092125,
 1315.,Говилов,О,35 Льв (У),363017,
 1316.,Говорово,О,17 Моск (Р),228116,
 1317.,Годуновка,О,17 Моск (Р),174611,
 1318.,Годутишки,О,13 Бел,164342,
 1319.,Гожня,О,24 Горьк (Р),254816,
 1320.,Гокдере,О,75 Трк,752923,
 1321.,Голдино,О,17 Моск (Р),228313,
 1322.,Голицино,О,63 Кбш (Р),640022,
 1323.,Головач,О,43 Южн (У),447547,
 1324.,Головачанская,О,43 Южн (У),447532,
 1325.,Головинка,О,17 Моск (Р),209115,
 1326.,Головинка,О,51 С-Кав (Р),533136,
 1327.,Головино,О,58 Ю-Вост (Р),434419,
 1328.,Головки,О,32 Ю-Зап (У),347334,
 1329.,Головково,О,01 Окт (Р),060829,
 1330.,Голосков,О,35 Льв (У),388616,
 1331.,Голошевка,О,13 Бел,142112,
 1332.,Голубева Дача,О,51 С-Кав (Р),533244,
 1333.,Голубово,О,43 Южн (У),447316,
 1334.,Голубой карьер,О,63 Кбш (Р),655511,
 1335.,Голубцово,О,83 З-Сиб (Р),841142,
 1336.,Голубые Ели,О,92 В-Сиб (Р),932955,
 1337.,Голынка,О,13 Бел,136253,
 1338.,Голынь,О,35 Льв (У),387628,
 1339.,Гольцево,О,01 Окт (Р),070234,
 1340.,Голяткино,О,94 Заб (Р),940237,
 1341.,Гомель-Нечетный,О,13 Бел,150034,
 1342.,Гомель-Четный,О,13 Бел,150119,
 1343.,Гомоновка,О,13 Бел,146132,
 1344.,Гоносень,О,39 Млд,397136,
 1345.,Гончаровка,О,43 Южн (У),431642,
 1346.,Гончары,О,13 Бел,137627,
 1347.,Гора Крестовая,О,28 Сев (Р),288899,
 1348.,Гораган,Б,55 Азерб,559511,
 1349.,Горбатовка,О,24 Горьк (Р),264150,
 1350.,Горбуново,О,76 Сверд (Р),761532,
 1351.,Гордиевка,О,32 Ю-Зап (У),341910,
 1352.,Гордынь,О,32 Ю-Зап (У),344751,
 1353.,Горенка,О,01 Окт (Р),040243,
 1354.,Горенки,О,17 Моск (Р),230214,
 1355.,Гори-Грузовая,О,57 Грз,579201,
 1356.,Горизонт-3,О,61 Прив (Р),623756,
 1357.,Горицветный,О,48 Дон (У),509014,
 1358.,Горицветный,О,84 84-я дорога,849917,
 1359.,Горка,О,43 Южн (У),425113,
 1360.,Горка,О,92 В-Сиб (Р),932616,
 1361.,Горки,О,17 Моск (Р),175142,
 1362.,Горки,О,63 Кбш (Р),639311,
 1363.,Горки,О,76 Сверд (Р),764649,
 1364.,Горки,Б,94 Заб (Р),952713,
 1365.,Горланиха,О,28 Сев (Р),307520,
 1366.,Горная,О,88 Крас (Р),890536,
 1367.,Горная Поляна,О,61 Прив (Р),611547,
 1368.,Горный,О,51 С-Кав (Р),521410,
 1369.,Горный,О,80 Ю-Ур (Р),802930,
 1370.,Горный Воздух,О,51 С-Кав (Р),532951,
 1371.,Горный Воздух,О,80 Ю-Ур (Р),818548,
 1372.,Горняцкая,О,48 Дон (У),495610,
 1373.,Городенка-Город,Б,35 Льв (У),389017,
 1374.,Городище,О,35 Льв (У),379028,
 1375.,Городовичи,О,35 Льв (У),374914,
 1376.,Городок,О,17 Моск (Р),189744,
 1377.,Городок,О,40 Од (У),403939,
 1378.,Городок,О,43 Южн (У),425923,
 1379.,Городок Иванова,О,51 С-Кав (Р),541113,
 1380.,Городок ПМС,О,88 Крас (Р),887815,
 1381.,Городская,О,24 Горьк (Р),240029,
 1382.,Городская,О,88 Крас (Р),886348,
 1383.,Городской Дворец Культуры,О,63 Кбш (Р),654523,
 1384.,Городщина,О,13 Бел,157527,
 1385.,Горожа,О,13 Бел,146471,
 1386.,Горошков,О,32 Ю-Зап (У),338528,
 1387.,Горская,О,01 Окт (Р),039015,
 1388.,Горшково,О,17 Моск (Р),226746,
 1389.,Горькая Балка,О,51 С-Кав (Р),518013,
 1390.,Горьковка,О,76 Сверд (Р),792117,
 1391.,Горьковский,О,61 Прив (Р),610667,
 1392.,Горьковское,О,01 Окт (Р),039513,
 1393.,Горького,О,51 С-Кав (Р),515419,
 1394.,Горятино,Б,01 Окт (Р),044831,
 1395.,Горячий Источник,О,92 В-Сиб (Р),903454,
 1396.,Госпиталь,О,51 С-Кав (Р),535733,
 1397.,Гостеприимная,О,80 Ю-Ур (Р),815018,
 1398.,Гостинополье,О,01 Окт (Р),045497,
 1399.,Гостомля,О,17 Моск (Р),205434,
 1400.,Гостюхино,О,24 Горьк (Р),263340,
 1401.,ГОСТЮХИНСКИЙ КАРЬЕР,О,24 Горьк (Р),263213,
 1402.,ГПЗ,О,61 Прив (Р),620719,
 1403.,Грабовка,О,13 Бел,150316,
 1404.,Гравийный,О,76 Сверд (Р),781911,
 1405.,Града,О,32 Ю-Зап (У),345023,
 1406.,Гражданская,О,17 Моск (Р),196235,
 1407.,Гранит,О,83 З-Сиб (Р),860511,
 1408.,Гранитный,О,01 Окт (Р),030542,
 1409.,Гранки,О,17 Моск (Р),227221,
 1410.,Граново,О,45 Придн (У),456423,
 1411.,Греблово,О,01 Окт (Р),056415,
 1412.,Гребнево,О,13 Бел,168714,
 1413.,Гредьки,О,35 Льв (У),354446,
 1414.,Гредякино,О,17 Моск (Р),173623,
 1415.,Грезля,О,32 Ю-Зап (У),346810,
 1416.,Гремучий,О,17 Моск (Р),225245,
 1417.,Гремячий,О,92 В-Сиб (Р),934626,
 1418.,Грениковка,О,43 Южн (У),432018,
 1419.,Грехили-Аведжи,О,57 Грз,576822,
 1420.,Гречанский Переезд,О,32 Ю-Зап (У),330615,
 1421.,Грибная,О,28 Сев (Р),293098,
 1422.,Грибная,О,83 З-Сиб (Р),832738,
 1423.,Грибная,О,88 Крас (Р),880074,
 1424.,Грибное,О,01 Окт (Р),030129,
 1425.,Грибное,О,83 З-Сиб (Р),840522,
 1426.,Гривка,О,17 Моск (Р),171026,
 1427.,Гривятки,О,35 Льв (У),354041,
 1428.,Григоро-Ивановка,О,32 Ю-Зап (У),323838,
 1429.,Григоровка,О,48 Дон (У),492631,
 1430.,Григорово,О,17 Моск (Р),194687,
 1431.,Гридасово,О,58 Ю-Вост (Р),437210,
 1432.,Гриневка,О,17 Моск (Р),205114,
 1433.,Гриньки,О,13 Бел,136910,
 1434.,Грицово,О,17 Моск (Р),226534,
 1435.,Гришаны,О,13 Бел,160017,
 1436.,Гришинский,О,58 Ю-Вост (Р),607217,
 1437.,Гришки,О,32 Ю-Зап (У),331124,
 1438.,Гришки,О,43 Южн (У),429341,
 1439.,Гробиня,О,09 Лат,098691,
 1440.,Грудинино,О,17 Моск (Р),176710,
 1441.,Гружейкяй,О,12 Лит,108427,
 1442.,Груздевка,О,83 З-Сиб (Р),834042,
 1443.,Грузовой Двор,О,92 В-Сиб (Р),935741,
 1444.,Грузское,Б,32 Ю-Зап (У),329016,
 1445.,Грушевка,О,13 Бел,150710,
 1446.,Грушево,О,35 Льв (У),385618,
 1447.,Грушка,О,48 Дон (У),505615,
 1448.,Грушка,О,84 84-я дорога,848276,
 1449.,Гряда,О,13 Бел,149215,
 1450.,Грязная Падь,О,92 В-Сиб (Р),923123,
 1451.,Грязный,О,88 Крас (Р),892480,
 1452.,ГРЭС,О,17 Моск (Р),226318,
 1453.,ГРЭС,О,35 Льв (У),388118,
 1454.,Губерля,О,80 Ю-Ур (Р),813811,
 1455.,Губкин-Пассажирский,Б,58 Ю-Вост (Р),437949,
 1456.,Гудай,О,12 Лит,106830,
 1457.,Гудермес-Западный,О,51 С-Кав (Р),542544,
 1458.,Гужевое,Б,76 Сверд (Р),792140,
 1459.,Гукливый,О,35 Льв (У),383716,
 1460.,Гульбах,О,73 Узбк,740625,
 1461.,Гульбахор,О,73 Узбк,724020,
 1462.,Гульск,О,32 Ю-Зап (У),348093,
 1463.,Гуляево,О,24 Горьк (Р),276124,
 1464.,Гуляйполе,О,35 Льв (У),361219,
 1465.,Гуляны,О,39 Млд,393934,
 1466.,Гуменное,О,32 Ю-Зап (У),335854,
 1467.,Гумны,О,58 Ю-Вост (Р),438317,
 1468.,Гуп,О,57 Грз,573330,
 1469.,Гура Каменчий,О,39 Млд,395613,
 1470.,Гура Кэйнарулуй,О,39 Млд,395427,
 1471.,Гурбей,О,92 В-Сиб (Р),921151,
 1472.,Гурия,О,57 Грз,570510,
 1473.,Гусаровка,Х,32 Ю-Зап (У),346833,
 1474.,Гусевка,О,76 Сверд (Р),781428,
 1475.,Гусевская,О,17 Моск (Р),220063,
 1476.,Гусиный Брод,О,83 З-Сиб (Р),852021,
 1477.,Густафьево,О,83 З-Сиб (Р),830018,
 1478.,Гута,О,13 Бел,164836,
 1479.,Гутиско,О,35 Льв (У),361740,
 1480.,Гуторово,О,58 Ю-Вост (Р),437333,
 1481.,Гущин,О,35 Льв (У),354520,
 1482.,Гырах Кесемен,О,55 Азерб,557228,
 1483.,Гярконис,О,12 Лит,129118,
 1484.,Даба,О,57 Грз,577632,
 1485.,Даба-Дзвели,О,57 Грз,575514,
 1486.,Дабужа,О,17 Моск (Р),187310,
 1487.,Дайгур,О,94 Заб (Р),941117,
 1488.,Дайнава,О,12 Лит,123658,
 1489.,Далай,О,88 Крас (Р),893549,
 1490.,Далбе,О,09 Лат,091512,
 1491.,Далекий,О,13 Бел,137557,
 1492.,Дальний Буланаш,О,76 Сверд (Р),784727,
 1493.,Дальницкий Переезд,О,40 Од (У),400254,
 1494.,Дальняя Сакарка,О,61 Прив (Р),614634,
 1495.,Дальняя Чернавка,О,61 Прив (Р),624551,
 1496.,Данилково,О,28 Сев (Р),305420,
 1497.,Данилов Мост,О,13 Бел,147830,
 1498.,Даниловка,О,32 Ю-Зап (У),321194,
 1499.,Даниловка,О,40 Од (У),414836,
 1500.,Даниловская,О,17 Моск (Р),233928,
 1501.,Даниловское,О,17 Моск (Р),226820,
 1502.,Даниловцы,О,13 Бел,137222,
 1503.,Дапнари,О,57 Грз,570050,
 1504.,Дарга,О,96 Д-Вост (Р),963845,
 1505.,Дарзини,О,09 Лат,090030,
 1506.,Дарквети,О,57 Грз,576343,
 1507.,Дарливое,О,13 Бел,158132,
 1508.,Дарница-Депо,О,32 Ю-Зап (У),320011,
 1509.,Даровица,О,24 Горьк (Р),268151,
 1510.,Дары,О,13 Бел,157718,
 1511.,Дарьевка,О,40 Од (У),421674,
 1512.,Даугмале,О,09 Лат,090055,
 1513.,Дачи,О,35 Льв (У),360945,
 1514.,Дачи,О,39 Млд,391021,
 1515.,Дачи,О,43 Южн (У),430813,
 1516.,Дачи,О,61 Прив (Р),615444,
 1517.,Дачи,О,88 Крас (Р),886672,
 1518.,Дачи,О,92 В-Сиб (Р),920055,
 1519.,Дачи,О,68 Кзх,673331,
 1520.,Дачная,О,13 Бел,146734,
 1521.,Дачная,О,17 Моск (Р),181013,
 1522.,Дачная,О,24 Горьк (Р),250069,
 1523.,Дачная,О,32 Ю-Зап (У),334334,
 1524.,Дачная,О,58 Ю-Вост (Р),596046,
 1525.,Дачная,О,63 Кбш (Р),631926,
 1526.,Дачная,О,63 Кбш (Р),637922,
 1527.,Дачная,О,76 Сверд (Р),764634,
 1528.,Дачная,О,83 З-Сиб (Р),830075,
 1529.,Дачная,О,83 З-Сиб (Р),853518,
 1530.,Дачная,О,83 З-Сиб (Р),862343,
 1531.,Дачная,О,88 Крас (Р),887711,
 1532.,Дачная,О,88 Крас (Р),893727,
 1533.,Дачная,О,92 В-Сиб (Р),932940,
