Четверг 25 сен.2025г.  17:59,,,,,
,,,,,
АЛФАВИТНЫЙ СПИСОК ЖЕЛЕЗНОДОРОЖНЫХ СТАНЦИЙ,,,,,
,,,,,
АЛФАВИТНЫЙ СПИСОК ОСТАНОВОЧНЫХ ПУНКТОВ И ПЛАТФОРМ,,,,,
№ п/п,Наименование пункта,Операции,Дорога,Код станции,
  118.,Аленушка,О,13 Бел,133310,
  119.,Алешево,О,24 Горьк (Р),248158,
  120.,Алешино,О,24 Горьк (Р),261612,
  121.,Алиабад,Б,55 Азерб,559526,
  122.,Алисово,О,58 Ю-Вост (Р),595221,
  123.,Алитус II,О,12 Лит,123613,
  124.,Аллак,О,83 З-Сиб (Р),836715,
  125.,Алмаз,О,32 Ю-Зап (У),322411,
  126.,Алмало,О,51 С-Кав (Р),542915,
  127.,Алонский,О,83 З-Сиб (Р),832422,
  128.,Алтай,О,83 З-Сиб (Р),844557,
  129.,Алтай,О,68 Кзх,670189,
  130.,Алтайсельмаш,О,83 З-Сиб (Р),843412,
  131.,Алтайская Площадка,О,83 З-Сиб (Р),840013,
  132.,Алтайстрой,О,83 З-Сиб (Р),842157,
  133.,Алтары,О,63 Кбш (Р),641665,
  134.,Алтуховка,О,63 Кбш (Р),659014,
  135.,Алтын-Таш,О,80 Ю-Ур (Р),805552,
  136.,Алферово,О,17 Моск (Р),173522,
  137.,Алфимово,О,01 Окт (Р),052217,
  138.,Альксненай,О,12 Лит,124114,
  139.,АЛЕКСАНДРОВКА,О,24 Горьк (Р),242217,
  140.,Амаляй,О,12 Лит,122941,
  141.,Аметхан-Султан,О,45 Придн (У),474366,
  142.,Аметхан-Султан,О,85 Крым (Р),858719,
  143.,Амосово,Б,24 Горьк (Р),243559,
  144.,Амре,О,83 З-Сиб (Р),834517,
  145.,Амур,О,45 Придн (У),450624,
  146.,Анага,О,57 Грз,562016,
  147.,Анамжак,О,94 Заб (Р),949369,
  148.,Анария,О,57 Грз,573218,
  149.,Анатолий,О,83 З-Сиб (Р),841614,
  150.,Ангарская,О,10 Клг (Р),102516,
  151.,Ангеловка,О,35 Льв (У),360951,
  152.,Анджиевский,Б,51 С-Кав (Р),531963,
  153.,Андома Переезд,О,28 Сев (Р),305416,
  154.,Андреевка,О,43 Южн (У),444110,
  155.,Андреевка,О,48 Дон (У),491937,
  156.,Андреевка,О,89 89-я дорога,957435,
  157.,Андреевский,О,24 Горьк (Р),248938,
  158.,Андреевское,О,28 Сев (Р),304432,
  159.,Андрейшур,О,24 Горьк (Р),277714,
  160.,Андроновка,О,17 Моск (Р),193928,
  161.,Андроповский,О,51 С-Кав (Р),531450,
  162.,Андрусово,О,32 Ю-Зап (У),338119,
  163.,Анены,О,39 Млд,390716,
  164.,Аникеевка,О,17 Моск (Р),196536,
  165.,Аникино,О,76 Сверд (Р),762323,
  166.,Анисимово,О,83 З-Сиб (Р),846213,
  167.,Анисово,О,32 Ю-Зап (У),325021,
  168.,Анкудиновка,О,24 Горьк (Р),269455,
  169.,Анне,О,08 Эст,085615,
  170.,Анненковский лес,О,63 Кбш (Р),643938,
  171.,Аннинское,О,28 Сев (Р),303285,
  172.,Анновка,О,40 Од (У),412726,
  173.,Аношкино,О,58 Ю-Вост (Р),597335,
  174.,Антипино,О,28 Сев (Р),305331,
  175.,Антиповка,О,61 Прив (Р),609316,
  176.,Антонины Петровой,О,01 Окт (Р),072117,
  177.,Антоновка,О,13 Бел,157724,
  178.,Антоновка,О,40 Од (У),409244,
  179.,Антоново,О,28 Сев (Р),280519,
  180.,Антополь,О,13 Бел,132816,
  181.,Антополь,О,13 Бел,154726,
  182.,Антропово,О,88 Крас (Р),884041,
  183.,Анужяй,О,12 Лит,108747,
  184.,Анусино,О,13 Бел,143524,
  185.,Анфалово,О,80 Ю-Ур (Р),829612,
  186.,Анцелович,О,58 Ю-Вост (Р),585111,
  187.,Апгулде,О,09 Лат,092841,
  188.,Апнерка,Б,24 Горьк (Р),245520,
  189.,Аполлоновка,О,13 Бел,156825,
  190.,Апраксин,О,01 Окт (Р),048476,
  191.,Апрелково,О,94 Заб (Р),948027,
  192.,Апсагачево,О,83 З-Сиб (Р),875413,
  193.,Апсени,О,09 Лат,113340,
  194.,Апушкино,О,28 Сев (Р),306033,
  195.,Апшупе,О,09 Лат,097627,
  196.,Ара-Булак,О,94 Заб (Р),943517,
  197.,Араду,О,57 Грз,573345,
  198.,Аракаево,О,76 Сверд (Р),782219,
  199.,Арашенда,О,57 Грз,561511,
  200.,Аргаза,О,88 Крас (Р),888964,
  201.,Арги-Паги,О,96 Д-Вост (Р),997926,
  202.,Аргистар,О,88 Крас (Р),885519,
  203.,Аргудан,О,51 С-Кав (Р),537724,
  204.,Аргуновский,О,63 Кбш (Р),648630,
  205.,Ардава,О,09 Лат,113410,
  206.,Арзув,О,75 Трк,751013,
  207.,Аркарлы,О,68 Кзх,677258,
  208.,Аркино,О,17 Моск (Р),204639,
  209.,Арламовская Воля,О,35 Льв (У),374223,
  210.,Армази,О,57 Грз,560420,
  211.,Арматнюв,О,35 Льв (У),359011,
  212.,Артаниш,О,56 Ю-Кав,569015,
  213.,Артем,О,96 Д-Вост (Р),982210,
  214.,Артемовка,О,43 Южн (У),441112,
  215.,Артемовский,О,76 Сверд (Р),784912,
  216.,Архарлы,О,68 Кзх,700825,
  217.,Арчалы,О,80 Ю-Ур (Р),803453,
  218.,Арыс II,П,68 Кзх,698019,
  219.,Асановский,О,13 Бел,163528,
  220.,Асари,О,09 Лат,097237,
  221.,Асеевка,О,13 Бел,144828,
  222.,Асеевский,О,28 Сев (Р),280721,
  223.,Асино,О,13 Бел,144438,
  224.,Ассы,О,63 Кбш (Р),653937,
  225.,Астаховка,О,68 Кзх,673420,
  226.,Астраханский,О,61 Прив (Р),620086,
  227.,Астрачи,Б,01 Окт (Р),047420,
  228.,Атгазене,О,09 Лат,091014,
  229.,Атер,О,24 Горьк (Р),258319,
  230.,Атлашкино,О,24 Горьк (Р),251112,
  231.,Атыково,О,24 Горьк (Р),248139,
  232.,Атюхта,О,51 С-Кав (Р),512765,
  233.,Аури,О,09 Лат,092835,
  234.,Ауце,О,09 Лат,099514,
  235.,Афросимовский,О,61 Прив (Р),608718,
  236.,Ахалдаба,Б,57 Грз,577505,
  237.,Ахалкалаки-Пассажирская,О,57 Грз,563216,
  238.,Ахалцихе-Пассажирская,П,57 Грз,578423,
  239.,Ахашени,О,57 Грз,561920,
  240.,Ахтамар,О,56 Ю-Кав,568924,
  241.,Ахун,О,51 С-Кав (Р),532843,
  242.,Ацоне,О,09 Лат,090079,
  243.,Ачадара,О,57 Грз,573913,
  244.,Ачакс,О,24 Горьк (Р),245546,
  245.,Ачка,Б,24 Горьк (Р),245018,
  246.,Ачунанда,О,94 Заб (Р),949316,
  247.,Аше,О,51 С-Кав (Р),533225,
  248.,Ашенда,О,57 Грз,579233,
  249.,Ашкадар,О,63 Кбш (Р),652725,
  250.,Ашмарино,О,83 З-Сиб (Р),865017,
  251.,Ашукинская,О,17 Моск (Р),236019,
  252.,Ашурково,О,48 Дон (У),491732,
  253.,Ашурково,О,89 89-я дорога,957280,
  254.,Аэродром,О,88 Крас (Р),880619,
  255.,Аэродром,О,88 Крас (Р),893430,
  256.,Аэропорт,О,01 Окт (Р),034825,
  257.,Аэропорт,О,57 Грз,560186,
  258.,Аэропорт Волгоград,О,61 Прив (Р),610718,
  259.,Аэропорт Гагарин ,О,61 Прив (Р),623879,
  260.,Аэропорт Кневичи,Б,96 Д-Вост (Р),982167,
  261.,Аэропорт Сочи,О,51 С-Кав (Р),532720,
  262.,Аэропорт-Домодедово,О,17 Моск (Р),193114,
  263.,Аэропорт-Курумоч,О,63 Кбш (Р),637528,
  264.,Аэрофлот,О,83 З-Сиб (Р),850134,
  265.,Аязгулова,О,80 Ю-Ур (Р),802959,
  266.,Бабаковка,О,32 Ю-Зап (У),329247,
  267.,Бабанаково,О,83 З-Сиб (Р),862316,
  268.,Бабариковская,О,43 Южн (У),443714,
