Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ МЕЖДУ СТАНЦИЯМИ НА УЧАСТКАХ ЖЕЛЕЗНЫХ ДОРОГ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Расстояния между станциями Грузинской ж.д. (код дороги 57),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  1) участок 57-001 ""ГАНТИАДИ (ЭКСП.) - СЕНАКИ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Гантиади (эксп.),до ст. Сенаки (эксп.),,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Самтредиа,до ст. Хашури (эксп.),,,,,,,,,,,
  1.,570008 .,Самтредиа,   0  км , 124  км ,,,,,,,,,,,
  2.,570065 .,ОП Самтредиа 2,   3  км , 121  км ,,,,,,,,,,,
  3.,570012 .,ОП Платформа 2264 км,   5  км , 119  км ,,,,,,,,,,,
  4.,570027 .,ОП Ианети,   7  км , 117  км ,,,,,,,,,,,
  5.,574507 .,Копитнари,  13  км , 111  км ,,,,,,,,,,,
  6.,574511 .,ОП Парцханаканеби,  18  км , 106  км ,,,,,,,,,,,
  7.,574526 .,ОП Платформа 2279 км,  20  км , 104  км ,,,,,,,,,,,
  8.,574600 .,Мухиани,  22  км , 102  км ,,,,,,,,,,,
  9.,575209 .,Броцеула,  27  км ,  97  км ,,,,,,,,,,,
 10.,575105 .,Риони,  31  км ,  93  км ,,,,,,,,,,,
 11.,575694 .,Аджамети,  39  км ,  85  км ,,,,,,,,,,,
 12.,575711 .,ОП Симонети,  43  км ,  81  км ,,,,,,,,,,,
 13.,575798 .,Свири,  48  км ,  76  км ,,,,,,,,,,,
 14.,575904 .,Аргвета,  55  км ,  69  км ,,,,,,,,,,,
 15.,575919 .,ОП Сакара,  59  км ,  65  км ,,,,,,,,,,,
 16.,576004 .,Зестафони,  61  км ,  63  км ,,,,,,,,,,,
 17.,576606 .,Шорапани,  65  км ,  59  км ,,,,,,,,,,,
 18.,576610 .,ОП Цева,  70  км ,  54  км ,,,,,,,,,,,
 19.,576625 .,ОП Платформа 2327 км,  71  км ,  53  км ,,,,,,,,,,,
 20.,576705 .,Дзирула,  75  км ,  49  км ,,,,,,,,,,,
 21.,576714 .,ОП Лаше,  78  км ,  46  км ,,,,,,,,,,,
 22.,576639 .,ОП Платформа 2338 км,  79  км ,  45  км ,,,,,,,,,,,
 23.,576729 .,ОП Базалети,  82  км ,  42  км ,,,,,,,,,,,
 24.,576803 .,Харагоули,  84  км ,  40  км ,,,,,,,,,,,
 25.,576837 .,ОП Саганзиле,  85  км ,  39  км ,,,,,,,,,,,
 26.,576818 .,ОП Платформа 2350 км,  89  км ,  35  км ,,,,,,,,,,,
 27.,576822 .,ОП Грехили-Аведжи,  91  км ,  33  км ,,,,,,,,,,,
 28.,576907 .,Марелиси,  94  км ,  30  км ,,,,,,,,,,,
 29.,576841 .,ОП Левана Мегрелишвили,  96  км ,  28  км ,,,,,,,,,,,
 30.,576911 .,ОП Платформа 2357 км,  97  км ,  27  км ,,,,,,,,,,,
 31.,576926 .,ОП Платформа 2359 км,  98  км ,  26  км ,,,,,,,,,,,
 32.,577007 .,Молити, 101  км ,  23  км ,,,,,,,,,,,
 33.,577030 .,ОП Чрдили, 104  км ,  20  км ,,,,,,,,,,,
 34.,577011 .,ОП Платформа 2363 км, 105  км ,  19  км ,,,,,,,,,,,
 35.,577026 .,Ципа, 108  км ,  16  км ,,,,,,,,,,,
 36.,577115 .,ОП Платформа 2369 км, 111  км ,  13  км ,,,,,,,,,,,
 37.,577120 .,ОП Платформа 2373 км, 115  км ,   9  км ,,,,,,,,,,,
 38.,577134 .,Лихи, 116  км ,   8  км ,,,,,,,,,,,
 39.,577168 .,ОП Саванис Убани, 118  км ,   6  км ,,,,,,,,,,,
 40.,577149 .,ОП Тезери, 120  км ,   4  км ,,,,,,,,,,,
 41.,577153 .,ОП Платформа 2380 км, 122  км ,   2  км ,,,,,,,,,,,
 42.,577100 .,Хашури (эксп.), 124  км ,   0  км ,,,,,,,,,,,
 43.,577204 .,Хашури, 124  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  4) участок 57-004 ""ХАШУРИ - ТБИЛИСИ-УЗЛОВАЯ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Хашури,до ст. Тбилиси-Узловая,,,,,,,,,,,
  1.,577100 .,Хашури (эксп.),   0  км , 126  км ,,,,,,,,,,,
  2.,577204 .,Хашури,   0  км , 126  км ,,,,,,,,,,,
  3.,577219 .,ОП Осиаури,   5  км , 121  км ,,,,,,,,,,,
  4.,577280 .,ОП Платформа 2391 км,   7  км , 119  км ,,,,,,,,,,,
  5.,578601 .,Гоми,  11  км , 115  км ,,,,,,,,,,,
  6.,578620 .,Гоми (эксп.),  11  км , 115  км ,,,,,,,,,,,
  7.,578616 .,ОП Мохиси,  16  км , 110  км ,,,,,,,,,,,
  8.,578705 .,Агара,  20  км , 106  км ,,,,,,,,,,,
  9.,578809 .,Карели,  26  км , 100  км ,,,,,,,,,,,
