Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
АЛФАВИТНЫЙ СПИСОК ЖЕЛЕЗНОДОРОЖНЫХ СТАНЦИЙ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Алфавитный список МОРСКИХ портов и пунктов, включенных в прямое смешанное железнодорожно-водное сообщение",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
№ п/п,Порт,Параграфы,Пароходство,Место,Операции,,,,,,,,,,,,,,,
   47.,Высоцк,"§ 1, 7",,Финский залив,ОП,,,,,,,,,,,,,,,
   48.,Гремиха,"§ 2, 5, 6",,Баренцево море,ОП,,,,,,,,,,,,,,,
   49.,Гурьев,"§ 4, 5",Каспийское,р. Урал,ОП,,,,,,,,,,,,,,,
   50.,Дальние Зеленцы,"§ 2, 5, 6",,Баренцево море,ОП,,,,,,,,,,,,,,,
   51.,Диксон,"§ 3, 4",,Карское море,ОП,,,,,,,,,,,,,,,
   52.,Драугисте (паромная,"§ 1, 7",Литовское,Балтийское море,,,,,,,,,,,,,,,,
,переправа Клайпеда-Мукран ДБАГ),,,,ОП,,,,,,,,,,,,,,,
   53.,Дудинка,"§ 1, 4, 5, 6, 7",,Карское море,ОП,,,,,,,,,,,,,,,
   54.,Евпатория,§ 3,ГАМРТУ,Черное море,ОП,,,,,,,,,,,,,,,
   55.,Зарубино,"§ 1, 7",,Японское море,ОП,,,,,,,,,,,,,,,
   56.,ЗАО Дальзавод-Терминал,"§ 1, 7",,Японское море,ОП,,,,,,,,,,,,,,,
   57.,ЗАО Дальневосточный,"§ 1, 7",,Японское море,,,,,,,,,,,,,,,,
,судомеханический завод,,,,ОП,,,,,,,,,,,,,,,
   58.,Зеленый Мыс,"§ 1*,4, 6, 7",,р. Колыма,ОП,,,,,,,,,,,,,,,
,,* С ограничением массы до 15 т в одном месте.,,,,,,,,,,,,,,,,,,
   59.,Измаил,§ 1,ГАМРТУ,р. Дунай,ОП,,,,,,,,,,,,,,,
   60.,Иня,"§ 2, 4, 5, 6",,Охотское море,ОП,,,,,,,,,,,,,,,
   61.,Ича,"§ 2, 4, 5, 6",,Охотское море,ОП,,,,,,,,,,,,,,,
   62.,Кавказ,"§ 1, 7",,Азовское море,ОП,,,,,,,,,,,,,,,
   63.,"Кавказ ЗАО ""ВЕРП""","§ 1, 7",,Азовское море,ОП,,,,,,,,,,,,,,,
   64.,Казакевичи (Най-Най),"§ 2, 4, 5, 6",,Татарский пролив,ОП,,,,,,,,,,,,,,,
   65.,Калининград,"§ 1, 7",,Балтийское море,ОП,,,,,,,,,,,,,,,
   66.,Камыш-Бурун,"§ 3, 4, 5, 6",Азовское,Азовское море,ОП,,,,,,,,,,,,,,,
   67.,Кандалакша,"§ 1, 7",,Белое море,ОП,,,,,,,,,,,,,,,
