Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ МЕЖДУ СТАНЦИЯМИ НА УЧАСТКАХ ЖЕЛЕЗНЫХ ДОРОГ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Расстояния между станциями Крымской ж.д. (код дороги 85),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  1) участок 85-001 ""СОЛЕНОЕ ОЗЕРО (СТЫК.) - ДЖАНКОЙ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Соленое Озеро (стык.),до ст. Джанкой,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Крым-Паром,до ст. Керчь,,,,,,,,,,,
  1.,867101 .,Крым-Паром,   0  км ,  21  км ,,,,,,,,,,,
  2.,867008 .,Крым,   2  км ,  19  км ,,,,,,,,,,,
  3.,867116 .,ОП Платформа 107 км,   4  км ,  17  км ,,,,,,,,,,,
  4.,867120 .,ОП Платформа 105 км,   6  км ,  15  км ,,,,,,,,,,,
  5.,867135 .,ОП Платформа 103 км,   8  км ,  13  км ,,,,,,,,,,,
  6.,867147 .,ОП Платформа 101 км,  10  км ,  11  км ,,,,,,,,,,,
  7.,867154 .,ОП Платформа 99 км,  12  км ,   9  км ,,,,,,,,,,,
  8.,867169 .,ОП Платформа 97 км,  14  км ,   7  км ,,,,,,,,,,,
  9.,867205 .,Керченский Завод,  15  км ,   6  км ,,,,,,,,,,,
 10.,867213 .,ОП Ост. Пункт 94 км,  17  км ,   4  км ,,,,,,,,,,,
 11.,867309 .,Керчь,  21  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  5) участок 85-005 ""КЕРЧЬ - АРШИНЦЕВО"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Керчь,до ст. Аршинцево,,,,,,,,,,,
  1.,867309 .,Керчь,   0  км ,  18  км ,,,,,,,,,,,
