Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ МЕЖДУ СТАНЦИЯМИ НА УЧАСТКАХ ЖЕЛЕЗНЫХ ДОРОГ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Расстояния между станциями Южной ж.д. (код дороги 43),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  1) участок 43-001 ""ХАРЬКОВ-СОРТИРОВОЧНЫЙ - МЕРЕФА"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Харьков-Сортировочный,до ст. Мерефа,,,,,,,,,,,
"  6) участок 43-006 ""МЕРЕФА - КРАСНОГРАД"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Мерефа,до ст. Красноград,,,,,,,,,,,
  1.,441108 .,Мерефа,   0  км ,  76  км ,,,,,,,,,,,
  2.,442123 .,ОП Утковка,   4  км ,  72  км ,,,,,,,,,,,
  3.,442100 .,Ордовка,  10  км ,  66  км ,,,,,,,,,,,
  4.,442011 .,ОП Джгун,  14  км ,  62  км ,,,,,,,,,,,
  5.,442007 .,Водолага,  20  км ,  56  км ,,,,,,,,,,,
  6.,441907 .,Кварцевый,  24  км ,  52  км ,,,,,,,,,,,
  7.,441837 .,ОП Сосоновка,  28  км ,  48  км ,,,,,,,,,,,
  8.,441822 .,Караван (рзд),  31  км ,  45  км ,,,,,,,,,,,
  9.,441818 .,ОП Станица,  34  км ,  42  км ,,,,,,,,,,,
 10.,441803 .,Власовка,  39  км ,  37  км ,,,,,,,,,,,
 11.,441729 .,Широкий (рзд),  48  км ,  28  км ,,,,,,,,,,,
 12.,441714 .,ОП Ост. Пункт 53 км,  53  км ,  23  км ,,,,,,,,,,,
 13.,441709 .,Берестовеньки,  58  км ,  18  км ,,,,,,,,,,,
 14.,441644 .,Нововербовка (рзд),  66  км ,  10  км ,,,,,,,,,,,
 15.,441606 .,Красноград,  76  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  7) участок 43-007 ""ЛОЗОВАЯ - КРАСНОГРАД"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Лозовая,до ст. Красноград,,,,,,,,,,,
  1.,442806 .,Лозовая,   0  км ,  95  км ,,,,,,,,,,,
  2.,442647 .,Гражданский (рзд),   7  км ,  88  км ,,,,,,,,,,,
  3.,442632 .,ОП Мирная,   9  км ,  86  км ,,,,,,,,,,,
  4.,442628 .,ОП Страстной,  12  км ,  83  км ,,,,,,,,,,,
  5.,442613 .,ОП Захарьинский,  17  км ,  78  км ,,,,,,,,,,,
  6.,442609 .,Орелька,  25  км ,  70  км ,,,,,,,,,,,
