Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ МЕЖДУ СТАНЦИЯМИ НА УЧАСТКАХ ЖЕЛЕЗНЫХ ДОРОГ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Расстояния между станциями Октябрьской ж.д. (код дороги 01),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  1) участок 01-011 ""ОБУХОВО - ЧУДОВО-МОСКОВСКОЕ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Обухово,до ст. Чудово-Московское,,,,,,,,,,,
"  3) участок 01-013 ""ОКУЛОВКА - БОЛОГОЕ-МОСКОВСКОЕ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Окуловка,до ст. Бологое-Московское,,,,,,,,,,,
  1.,053703 .,Окуловка,   0  км ,  70  км ,,,,,,,,,,,
  2.,053332 .,Блокпост 119 км,   7  км ,  63  км ,,,,,,,,,,,
  3.,053328 .,ОП Яблоновка,  12  км ,  58  км ,,,,,,,,,,,
  4.,053309 .,Угловка,  20  км ,  50  км ,,,,,,,,,,,
  5.,053347 .,ОП Ост. Пункт 271 км,  22  км ,  48  км ,,,,,,,,,,,
  6.,053243 .,ОП Ост. Пункт 274 км,  25  км ,  45  км ,,,,,,,,,,,
  7.,053239 .,ОП Селище,  29  км ,  41  км ,,,,,,,,,,,
  8.,053224 .,Блокпост 120 км,  32  км ,  38  км ,,,,,,,,,,,
  9.,053210 .,ОП Ост. Пункт 284 км,  35  км ,  35  км ,,,,,,,,,,,
 10.,053258 .,ОП Лыкошино,  39  км ,  31  км ,,,,,,,,,,,
 11.,053116 .,ОП Заключье,  43  км ,  27  км ,,,,,,,,,,,
 12.,053101 .,Алешинка,  48  км ,  22  км ,,,,,,,,,,,
 13.,053012 .,ОП Ост. Пункт 301 км,  52  км ,  18  км ,,,,,,,,,,,
 14.,053008 .,Березайка,  56  км ,  14  км ,,,,,,,,,,,
 15.,050033 .,ОП Ост. Пункт 310 км,  61  км ,   9  км ,,,,,,,,,,,
 16.,050029 .,ОП Поплавенец,  63  км ,   7  км ,,,,,,,,,,,
 17.,050014 .,Блокпост 122 км,  66  км ,   4  км ,,,,,,,,,,,
 18.,050067 .,ОП Родионовская,  68  км ,   2  км ,,,,,,,,,,,
 19.,050009 .,Бологое-Московское,  70  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  4) участок 01-014 ""БОЛОГОЕ-МОСКОВСКОЕ - ЛИХОСЛАВЛЬ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Бологое-Московское,до ст. Лихославль,,,,,,,,,,,
  1.,050009 .,Бологое-Московское,   0  км , 122  км ,,,,,,,,,,,
  2.,052842 .,ОП Веерное Депо,   2  км , 120  км ,,,,,,,,,,,
  3.,052804 .,Бушевец,   7  км , 115  км ,,,,,,,,,,,
  4.,052819 .,ОП Петерсоновка,  11  км , 111  км ,,,,,,,,,,,
  5.,052823 .,ОП Бочановка,  14  км , 108  км ,,,,,,,,,,,
  6.,052838 .,ОП Платформа Костромцовская,  20  км , 102  км ,,,,,,,,,,,
  7.,052857 .,ОП Платформа Соболево,  24  км ,  98  км ,,,,,,,,,,,
  8.,062900 .,Академическая,  26  км ,  96  км ,,,,,,,,,,,
  9.,062810 .,ОП Почвино,  31  км ,  91  км ,,,,,,,,,,,
 10.,062736 .,Леонтьево,  37  км ,  85  км ,,,,,,,,,,,
 11.,062721 .,ОП Ост. пункт 360 км,  40  км ,  82  км ,,,,,,,,,,,
 12.,062702 .,Вышний Волочек,  45  км ,  77  км ,,,,,,,,,,,
 13.,062524 .,Елизаровка,  52  км ,  70  км ,,,,,,,,,,,
 14.,062515 .,ОП Терелесовская,  56  км ,  66  км ,,,,,,,,,,,
 15.,062505 .,Осеченка,  61  км ,  61  км ,,,,,,,,,,,
 16.,062420 .,ОП Индустрия,  66  км ,  56  км ,,,,,,,,,,,
 17.,062416 .,ОП Любинка,  71  км ,  51  км ,,,,,,,,,,,
 18.,062401 .,Спирово,  79  км ,  43  км ,,,,,,,,,,,
 19.,062327 .,ОП Левошинка,  89  км ,  33  км ,,,,,,,,,,,
 20.,062312 .,ОП Бухаловский Переезд,  94  км ,  28  км ,,,,,,,,,,,
 21.,062308 .,Калашниково, 100  км ,  22  км ,,,,,,,,,,,
 22.,062153 .,ОП Муташелиха, 105  км ,  17  км ,,,,,,,,,,,
 23.,062149 .,ОП Барановка, 111  км ,  11  км ,,,,,,,,,,,
 24.,062134 .,ОП Локотцы, 115  км ,   7  км ,,,,,,,,,,,
 25.,062120 .,ОП Шлюз, 118  км ,   4  км ,,,,,,,,,,,
 26.,062100 .,Лихославль, 122  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  5) участок 01-015 ""ЛИХОСЛАВЛЬ - ТВЕРЬ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Лихославль,до ст. Тверь,,,,,,,,,,,
  1.,062100 .,Лихославль,   0  км ,  42  км ,,,,,,,,,,,
  2.,062011 .,ОП Поршинец,   7  км ,  35  км ,,,,,,,,,,,
  3.,062026 .,ОП Крючково,  11  км ,  31  км ,,,,,,,,,,,
  4.,061926 .,ОП Трубино,  16  км ,  26  км ,,,,,,,,,,,
  5.,061911 .,ОП Кулицкий Мох,  19  км ,  23  км ,,,,,,,,,,,
  6.,061644 .,ОП Кулицкая,  22  км ,  20  км ,,,,,,,,,,,
  7.,061639 .,ОП Тверца,  25  км ,  17  км ,,,,,,,,,,,
  8.,061625 .,ОП Санатория,  29  км ,  13  км ,,,,,,,,,,,
  9.,061610 .,Брянцево,  33  км ,   9  км ,,,,,,,,,,,
 10.,061659 .,Дорошиха,  37  км ,   5  км ,,,,,,,,,,,
 11.,061517 .,ОП Пролетарская,  40  км ,   2  км ,,,,,,,,,,,
 12.,061502 .,Тверь,  42  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  6) участок 01-016 ""ТВЕРЬ - ХОВРИНО"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Тверь,до ст. Ховрино,до ст. Поварово II,,,,,,,,,,
  1.,061502 .,Тверь,   0  км , 154  км , 120  км ,,,,,,,,,,
  2.,061432 .,ОП Чуприяновка,  13  км , 141  км , 107  км ,,,,,,,,,,
  3.,061428 .,ОП Кузьминка,  21  км , 133  км ,  99  км ,,,,,,,,,,
  4.,061413 .,ОП Межево,  26  км , 128  км ,  94  км ,,,,,,,,,,
  5.,061409 .,Редкино,  35  км , 119  км ,  85  км ,,,,,,,,,,
  6.,061310 .,ОП Московское Море,  41  км , 113  км ,  79  км ,,,,,,,,,,
  7.,061305 .,Завидово,  48  км , 106  км ,  72  км ,,,,,,,,,,
  8.,061112 .,ОП Черничная,  55  км ,  99  км ,  65  км ,,,,,,,,,,
  9.,061108 .,Решетниково,  62  км ,  92  км ,  58  км ,,,,,,,,,,
 10.,060919 .,ОП Ямуга,  70  км ,  84  км ,  50  км ,,,,,,,,,,
 11.,060904 .,Клин,  78  км ,  76  км ,  42  км ,,,,,,,,,,
 12.,060853 .,ОП Стреглово,  83  км ,  71  км ,  37  км ,,,,,,,,,,
 13.,060849 .,ОП Фроловское,  86  км ,  68  км ,  34  км ,,,,,,,,,,
 14.,060834 .,Покровка,  92  км ,  62  км ,  28  км ,,,,,,,,,,
 15.,060829 .,ОП Головково,  97  км ,  57  км ,  23  км ,,,,,,,,,,
 16.,060815 .,ОП Сенеж,  98  км ,  56  км ,  22  км ,,,,,,,,,,
 17.,060800 .,Подсолнечная, 102  км ,  52  км ,  18  км ,,,,,,,,,,
 18.,060711 .,ОП Березки-Дачные, 112  км ,  42  км ,   8  км ,,,,,,,,,,
 19.,060707 .,Поварово I, 115  км ,  39  км ,   5  км ,,,,,,,,,,
 20.,060637 .,ОП Поваровка, 117  км ,  37  км ,   7  км ,,,,,,,,,,
 21.,060622 .,ОП Радищево, 120  км ,  34  км ,  10  км ,,,,,,,,,,
 22.,060618 .,ОП Алабушево, 124  км ,  30  км ,  14  км ,,,,,,,,,,
 23.,060433 .,Крюково, 128  км ,  26  км ,  18  км ,,,,,,,,,,
 24.,060425 .,ОП Малино, 131  км ,  23  км ,  21  км ,,,,,,,,,,
 25.,060410 .,ОП Фирсановская, 134  км ,  20  км ,  24  км ,,,,,,,,,,
 26.,060444 .,Сходня, 137  км ,  17  км ,  27  км ,,,,,,,,,,
 27.,060336 .,ОП Подрезково, 139  км ,  15  км ,  29  км ,,,,,,,,,,
 28.,060321 .,ОП Новоподрезково, 140  км ,  14  км ,  30  км ,,,,,,,,,,
 29.,060317 .,ОП Молжаниново, 143  км ,  11  км ,  33  км ,,,,,,,,,,
 30.,060302 .,Химки, 148  км ,   6  км ,  38  км ,,,,,,,,,,
 31.,060016 .,ОП Левобережная, 150  км ,   4  км ,  40  км ,,,,,,,,,,
 32.,060001 .,Ховрино, 154  км ,   0  км ,  44  км ,,,,,,,,,,
,,,,,,,,,,,,,,,
"  7) участок 01-017 ""ХОВРИНО - МОСКВА-ПАССАЖИРСКАЯ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Ховрино,до ст. Москва-Пассажирская,,,,,,,,,,,
  1.,060001 .,Ховрино,   0  км ,  13  км ,,,,,,,,,,,
  2.,060020 .,ОП Моссельмаш,   1  км ,  12  км ,,,,,,,,,,,
  3.,060035 .,ОП Лихоборы,   2  км ,  11  км ,,,,,,,,,,,
  4.,060048 .,ОП Петровско-Разумовская,   4  км ,   9  км ,,,,,,,,,,,
  5.,060054 .,ОП Останкино,   7  км ,   6  км ,,,,,,,,,,,
  6.,060069 .,ОП Рижская,  10  км ,   3  км ,,,,,,,,,,,
  7.,060232 .,Москва-Товарная,  11  км ,   2  км ,,,,,,,,,,,
  8.,060073 .,Москва-Пассажирская,  13  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  8) участок 01-018 ""ДОРОШИХА - ДОРОНИНСКАЯ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Дорошиха,до ст. Лихославль,до ст. Тверь,,,,,,,,,,
  1.,061659 .,Дорошиха,   0  км ,  37  км ,   5  км ,,,,,,,,,,
  2.,061733 .,ОП Литвинки,   6  км ,  43  км ,  11  км ,,,,,,,,,,
  3.,061729 .,ОП Шаблино,   9  км ,  46  км ,  14  км ,,,,,,,,,,
  4.,061705 .,Доронинская,  11  км ,  48  км ,  16  км ,,,,,,,,,,
,,,,,,,,,,,,,,,
"  9) участок 01-020 ""РЕШЕТНИКОВО - КОНАКОВО ГРЭС"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Решетниково,до ст. Конаково ГРЭС,,,,,,,,,,,
  1.,061108 .,Решетниково,   0  км ,  36  км ,,,,,,,,,,,
  2.,061127 .,ОП Путепроводная,   7  км ,  29  км ,,,,,,,,,,,
  3.,061131 .,Конаковский Мох,  18  км ,  18  км ,,,,,,,,,,,
