Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ МЕЖДУ СТАНЦИЯМИ НА УЧАСТКАХ ЖЕЛЕЗНЫХ ДОРОГ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Расстояния между станциями Северо-Кавказской ж.д. (код дороги 51),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  1) участок 51-001 ""ЗВЕРЕВО - ГОРНАЯ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Зверево,до ст. Горная,,,,,,,,,,,
  8.,511122 .,ОП Миусский,  30  км ,  33  км ,,,,,,,,,,,
  9.,511118 .,ОП Колесниковский,  35  км ,  28  км ,,,,,,,,,,,
 10.,511103 .,Матвеев Курган,  38  км ,  25  км ,,,,,,,,,,,
 11.,510948 .,ОП Краснобумажник,  43  км ,  20  км ,,,,,,,,,,,
 12.,510933 .,ОП Ост. Пункт 1229 км,  46  км ,  17  км ,,,,,,,,,,,
 13.,510929 .,ОП Закадычное,  51  км ,  12  км ,,,,,,,,,,,
 14.,510914 .,ОП Самарский,  56  км ,   7  км ,,,,,,,,,,,
 15.,510907 .,Успенская,  62  км ,   1  км ,,,,,,,,,,,
 16.,511002 .,Успенская (эксп.),  63  км ,   0  км ,,,,,,,,,,,
 17.,511014 .,Успенская (стык),  63  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  8) участок 51-008 ""КИЗИТЕРИНКА - РОСТОВ-ГЛАВНЫЙ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Кизитеринка,до ст. Ростов-Главный,,,,,,,,,,,
  1.,513607 .,Кизитеринка,   0  км ,  20  км ,,,,,,,,,,,
  2.,510134 .,ОП Красный Аксай,   4  км ,  16  км ,,,,,,,,,,,
  3.,510126 .,Развилка (рзд),   5  км ,  15  км ,,,,,,,,,,,
  4.,510115 .,ОП Сельмаш,  10  км ,  10  км ,,,,,,,,,,,
  5.,510100 .,Ростов-Товарный,  11  км ,   9  км ,,,,,,,,,,,
  6.,510149 .,ОП Рабочий Городок,  15  км ,   5  км ,,,,,,,,,,,
  7.,510153 .,Зоологический Сад(рзд),  16  км ,   4  км ,,,,,,,,,,,
  8.,510204 .,Ростов-Главный,  20  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  9) участок 51-009 ""МАРЦЕВО - ХАПРЫ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Марцево,до ст. Хапры,,,,,,,,,,,
  1.,511404 .,Марцево,   0  км ,  50  км ,,,,,,,,,,,
  2.,511419 .,Таганрог-Пассажирский,   3  км ,  47  км ,,,,,,,,,,,
  3.,511423 .,ОП Михайловка,   6  км ,  44  км ,,,,,,,,,,,
  4.,511438 .,ОП Ост. пункт 1283 км,   7  км ,  43  км ,,,,,,,,,,,
  5.,511442 .,ОП Бессергеновка,  10  км ,  40  км ,,,,,,,,,,,
  6.,511457 .,ОП Вареновка,  11  км ,  39  км ,,,,,,,,,,,
  7.,511461 .,ОП Приморка,  14  км ,  36  км ,,,,,,,,,,,
  8.,511349 .,Морская,  17  км ,  33  км ,,,,,,,,,,,
  9.,511334 .,ОП Мержаново,  20  км ,  30  км ,,,,,,,,,,,
 10.,511321 .,ОП Ост. Пункт 1300 км,  24  км ,  26  км ,,,,,,,,,,,
 11.,511315 .,ОП Морской Чулек,  27  км ,  23  км ,,,,,,,,,,,
 12.,511353 .,Синявская,  30  км ,  20  км ,,,,,,,,,,,
 13.,510558 .,ОП Танаис,  36  км ,  14  км ,,,,,,,,,,,
 14.,510543 .,ОП Недвиговка,  38  км ,  12  км ,,,,,,,,,,,
 15.,510539 .,ОП Мартыново,  40  км ,  10  км ,,,,,,,,,,,
 16.,510524 .,ОП Сафьяново,  44  км ,   6  км ,,,,,,,,,,,
 17.,510511 .,ОП Мокрый Чалтырь,  46  км ,   4  км ,,,,,,,,,,,
 18.,510505 .,Хапры,  50  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 10) участок 51-010 ""ХАПРЫ - РОСТОВ-ГЛАВНЫЙ (через ст. Темерник)"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Хапры,до ст. Ростов-Главный,,,,,,,,,,,
  1.,510505 .,Хапры,   0  км ,  20  км ,,,,,,,,,,,
  2.,510416 .,Пост 1330 км,   4  км ,  16  км ,,,,,,,,,,,
  3.,510401 .,Ростов-Западный,   8  км ,  12  км ,,,,,,,,,,,
  4.,510242 .,ОП Ост. Пункт 1337 км,  11  км ,   9  км ,,,,,,,,,,,
  5.,510238 .,Темерник,  15  км ,   5  км ,,,,,,,,,,,
  6.,510223 .,ОП Ост. Пункт 1344 км,  18  км ,   2  км ,,,,,,,,,,,
  7.,510204 .,Ростов-Главный,  20  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 11) участок 51-011 ""РОСТОВ-ГЛАВНЫЙ - БАТАЙСК"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Ростов-Главный,до ст. Батайск,,,,,,,,,,,
  1.,510204 .,Ростов-Главный,   0  км ,  10  км ,,,,,,,,,,,
  2.,510702 .,Заречная,   2  км ,   8  км ,,,,,,,,,,,
  3.,511300 .,Заречная (перев.),   2  км ,   8  км ,,,,,,,,,,,
  4.,515301 .,Заречная (эксп.),   2  км ,   8  км ,,,,,,,,,,,
  5.,510011 .,ОП Электродепо,   9  км ,   1  км ,,,,,,,,,,,
  6.,510007 .,Батайск,  10  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 12) участок 51-012 ""БАТАЙСК - КИЗИТЕРИНКА"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Батайск,до ст. Кизитеринка,,,,,,,,,,,
  1.,510007 .,Батайск,   0  км ,  13  км ,,,,,,,,,,,
  2.,510050 .,Зеленый Луг (рзд),   6  км ,   7  км ,,,,,,,,,,,
  3.,510064 .,Проточный (бп),  10  км ,   3  км ,,,,,,,,,,,
  4.,513607 .,Кизитеринка,  13  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 13) участок 51-013 ""БАТАЙСК - СОСЫКА-РОСТОВСКАЯ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Батайск,до ст. Сосыка-Ростовская,,,,,,,,,,,
  1.,510007 .,Батайск,   0  км , 131  км ,,,,,,,,,,,
  2.,510026 .,ОП Ост. Пункт 1359 км,   3  км , 128  км ,,,,,,,,,,,
  3.,510030 .,ОП Ост. Пункт 1361 км,   6  км , 125  км ,,,,,,,,,,,
  4.,510045 .,ОП Гайдаш,   8  км , 123  км ,,,,,,,,,,,
  5.,514101 .,Койсуг,  12  км , 119  км ,,,,,,,,,,,
  6.,514116 .,ОП Ост. Пункт 1370 км,  15  км , 116  км ,,,,,,,,,,,
  7.,514120 .,ОП Ост. Пункт 1373 км,  18  км , 113  км ,,,,,,,,,,,
  8.,514135 .,ОП Кочеванчик,  19  км , 112  км ,,,,,,,,,,,
