Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ (в км) МЕЖДУ ТРАНЗИТНЫМИ ПУНКТАМИ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Казахстан,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Конечный пункт маршрута,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Актау-Порт,Актогай,Алимбет (эксп.),Алматы 1,Алтынколь (эксп.),Арыс 1,Астана-1,Бейнеу,Берлик I,Болашак (эксп.),Дины Нурпеисовой (рзд) (эксп.),Достык (эксп.),Екибастуз I,Елимай (обп) (эксп.),Ерейментау,Есиль,Жана-Есиль,Жана-Семей,Жарык,Жетыген,Зерновая (эксп.),Золотая Сопка (эксп.),Илецк I (эксп.),Кандыагаш,Караганда-Сортировочная,Караганды,Кокшетау I,Костанай,Куркамыс (эксп.),Курык-Порт,Кызылжар,Локоть (эксп. на Малиновое Озеро),Макат,Мангистау,Мойынты,Никельтау,Новоустькаменогорск,Оазис (рзд) (эксп.),Оскемен-1,Павлодар,Петропавловск (эксп.),Сарыагаш (эксп.),Сексеул,Семей,Семиглавый Мар (эксп.),Сороковая,Тараз,Тобол,Турксиб (эксп.),Шагыр (эксп.),Шалкар,Шар,Шымкент
№ п/п,Начальный пункт маршрута,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
15,Ерейментау,2515,1088,1399,1433,1769,1652,139,2107,1130,2837,2258,1406,167,908,0,515,623,628,477,1476,793,1012,1745,1456,333,356,435,846,416,2584,731,752,1848,2511,692,1321,887,2186,899,299,630,1783,1443,633,2126,127,1370,803,1253,1688,1608,736,1573
16,Есиль,2041,1477,884,1694,2030,1913,376,1633,1391,2363,1743,1786,682,393,515,0,599,1143,738,1737,769,542,1230,941,594,617,672,376,931,2110,992,1267,1333,2037,953,806,1402,1712,1414,814,867,2044,1379,1148,1611,388,1631,288,1514,1949,1214,1251,1834
17,Жана-Есиль,2072,1585,915,1802,2138,2021,484,1664,1499,2394,1774,1894,790,424,623,599,0,1251,846,1845,170,389,1261,972,702,725,188,223,1039,2141,1100,1375,1364,2068,1061,837,1510,1743,1522,922,383,2152,1410,1256,1642,496,1739,319,1622,2057,1245,1359,1942
18,Жана-Семей,3143,460,2027,1017,1267,1842,767,2735,1320,3465,2886,778,461,1536,628,1143,1251,0,1105,974,1421,1640,2373,2084,961,984,1063,1474,494,3212,1359,127,2476,3139,984,1949,259,2814,271,377,1258,1973,2071,8,2754,755,1560,1431,1443,1878,2236,108,1763
19,Жарык,2038,739,1617,956,1292,1175,362,1630,653,2360,2206,1048,644,1131,477,738,846,1105,0,999,1016,1235,1693,1404,144,121,658,1069,893,2107,254,1229,1796,2034,215,1539,1242,1709,1254,776,853,1306,966,1110,2074,350,893,1026,776,1211,1131,1091,1096
20,Жетыген,2835,514,2414,43,293,868,1361,2427,346,3157,3003,821,1435,2130,1476,1737,1845,974,999,0,2015,2234,2490,2201,1143,1120,1657,2068,1468,2904,1253,1101,2593,2831,784,2336,1017,2506,1029,1351,1852,999,1763,982,2871,1349,586,2025,469,904,1928,866,789
21,Зерновая (эксп.),2242,1755,1085,1972,2308,2191,654,1834,1669,2564,1944,2064,960,594,793,769,170,1421,1016,2015,0,559,1431,1142,872,895,358,393,1209,2311,1270,1545,1534,2238,1231,1007,1680,1913,1692,1092,553,2322,1580,1426,1812,666,1909,489,1792,2227,1415,1529,2112
22,Золотая Сопка (эксп.),2015,1974,858,2191,2527,2248,873,1607,1888,2337,1717,2283,1179,367,1012,542,389,1640,1235,2234,559,0,1204,915,1091,1114,577,166,1428,2084,1489,1764,1307,2011,1450,780,1899,1686,1911,1311,772,2379,1353,1645,1585,885,2128,262,2011,2284,1188,1748,2327
23,Илецк I (эксп.),1389,2432,502,2447,2783,1622,1606,981,2144,1711,1091,2741,1912,1047,1745,1230,1261,2373,1693,2490,1431,1204,0,289,1824,1814,1449,1038,2161,1458,1439,2497,681,1385,1908,424,2632,1060,2644,2044,1644,1753,727,2378,381,1618,1904,942,2021,1658,562,2481,1701
24,Кандыагаш,1100,2143,213,2158,2494,1333,1317,692,1855,1422,802,2452,1623,758,1456,941,972,2084,1404,2201,1142,915,289,0,1535,1525,1160,749,1872,1169,1150,2208,392,1096,1619,135,2343,771,2355,1755,1355,1464,438,2089,670,1329,1615,653,1732,1369,273,2192,1412
