Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ МЕЖДУ СТАНЦИЯМИ НА УЧАСТКАХ ЖЕЛЕЗНЫХ ДОРОГ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Расстояния между станциями Свердловской ж.д. (код дороги 76),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  1) участок 76-001 ""ЧЕПЦА - ПЕРМЬ-СОРТИРОВОЧНАЯ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Чепца,до ст. Пермь-Сортировочная,,,,,,,,,,,
  6.,761513 .,ОП Кочкино,  22  км , 271  км ,,,,,,,,,,,
  7.,761528 .,ОП Клестовский,  26  км , 267  км ,,,,,,,,,,,
  8.,761532 .,ОП Горбуново,  28  км , 265  км ,,,,,,,,,,,
  9.,761706 .,Мулянка,  30  км , 263  км ,,,,,,,,,,,
 10.,761710 .,ОП Медовый Дол,  37  км , 256  км ,,,,,,,,,,,
 11.,763006 .,Юг,  40  км , 253  км ,,,,,,,,,,,
 12.,763010 .,ОП Янычи,  47  км , 246  км ,,,,,,,,,,,
 13.,763100 .,Кукуштан,  54  км , 239  км ,,,,,,,,,,,
 14.,763114 .,ОП СНТ Вита,  59  км , 234  км ,,,,,,,,,,,
 15.,763129 .,ОП Курашимский,  65  км , 228  км ,,,,,,,,,,,
 16.,763133 .,ОП Кыласово,  71  км , 222  км ,,,,,,,,,,,
 17.,763608 .,Ергач,  78  км , 215  км ,,,,,,,,,,,
 18.,763612 .,ОП Блины,  84  км , 209  км ,,,,,,,,,,,
 19.,763504 .,Иренский,  91  км , 202  км ,,,,,,,,,,,
 20.,763631 .,ОП Гипсы,  96  км , 197  км ,,,,,,,,,,,
 21.,763646 .,ОП Шпальник,  99  км , 194  км ,,,,,,,,,,,
 22.,763701 .,Кунгур, 101  км , 192  км ,,,,,,,,,,,
 23.,763716 .,ОП Чикали, 110  км , 183  км ,,,,,,,,,,,
 24.,763720 .,ОП Камаи, 115  км , 178  км ,,,,,,,,,,,
