Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ МЕЖДУ СТАНЦИЯМИ НА УЧАСТКАХ ЖЕЛЕЗНЫХ ДОРОГ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Расстояния между станциями Азербайджанской ж.д. (код дороги 55),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  1) участок 55-001 ""ЯЛАМА (ЭКСП.) - БАЛАДЖАРЫ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Ялама (эксп.),до ст. Баладжары,,,,,,,,,,,
 15.,554927 .,Аликент, 131  км , 245  км ,,,,,,,,,,,
 16.,554931 .,ОП Платформа 283 км, 134  км , 242  км ,,,,,,,,,,,
 17.,554946 .,ОП Платформа 279 км, 138  км , 238  км ,,,,,,,,,,,
 18.,555008 .,Ляки, 142  км , 234  км ,,,,,,,,,,,
 19.,555012 .,Малай, 154  км , 222  км ,,,,,,,,,,,
 20.,555027 .,Разъезд 257 км, 161  км , 215  км ,,,,,,,,,,,
 21.,555031 .,ОП Платформа 254 км, 164  км , 212  км ,,,,,,,,,,,
 22.,555101 .,Евлах, 167  км , 209  км ,,,,,,,,,,,
 23.,555116 .,ОП Платформа 243 км, 174  км , 202  км ,,,,,,,,,,,
 24.,555703 .,Мингечаур, 179  км , 197  км ,,,,,,,,,,,
 25.,555900 .,Геран, 192  км , 184  км ,,,,,,,,,,,
 26.,557605 .,Кюрок-Чай, 204  км , 172  км ,,,,,,,,,,,
 27.,555927 .,ОП Платформа 209 км, 209  км , 167  км ,,,,,,,,,,,
 28.,555934 .,ОП Платформа 203 км, 215  км , 161  км ,,,,,,,,,,,
 29.,556000 .,Далимамедлы, 217  км , 159  км ,,,,,,,,,,,
 30.,556104 .,Зазалы, 224  км , 152  км ,,,,,,,,,,,
 31.,556119 .,ОП Платформа 187 км, 230  км , 146  км ,,,,,,,,,,,
 32.,556208 .,Гянджа, 235  км , 141  км ,,,,,,,,,,,
 33.,556212 .,ОП Платформа 181 км, 237  км , 139  км ,,,,,,,,,,,
 34.,556227 .,ОП Платформа 178 км, 240  км , 136  км ,,,,,,,,,,,
