Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ МЕЖДУ СТАНЦИЯМИ НА УЧАСТКАХ ЖЕЛЕЗНЫХ ДОРОГ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Расстояния между станциями Литовской ж.д. (код дороги 12),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  1) участок 12-001 ""ЙОНИШКИС (ЭКСП.) - ШЯУЛЯЙ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
"  8) участок 12-010 ""КРЯТИНГА - ПАГЕГЯЙ (ЭКСП.)"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Крятинга,до ст. Пагегяй (эксп.),,,,,,,,,,,
  1.,107809 .,Крятинга,   0  км , 114  км ,,,,,,,,,,,
  2.,107814 .,ОП Байорай,   2  км , 112  км ,,,,,,,,,,,
  3.,107833 .,Крятингале,   7  км , 107  км ,,,,,,,,,,,
  4.,107852 .,Гируляй,  16  км ,  98  км ,,,,,,,,,,,
  5.,107867 .,ОП Пауостис,  20  км ,  94  км ,,,,,,,,,,,
  6.,108003 .,Клайпеда,  23  км ,  91  км ,,,,,,,,,,,
  7.,108107 .,Клайпеда (эксп.),  23  км ,  91  км ,,,,,,,,,,,
  8.,108408 .,Римкай,  32  км ,  82  км ,,,,,,,,,,,
  9.,108427 .,ОП Гружейкяй,  36  км ,  78  км ,,,,,,,,,,,
 10.,108501 .,Прекуле,  44  км ,  70  км ,,,,,,,,,,,
 11.,108605 .,Вилькичяй,  53  км ,  61  км ,,,,,,,,,,,
 12.,108619 .,ОП Пликоряй,  55  км ,  59  км ,,,,,,,,,,,
 13.,108709 .,Шилуте,  73  км ,  41  км ,,,,,,,,,,,
 14.,108713 .,ОП Юкнайчяй,  82  км ,  32  км ,,,,,,,,,,,
 15.,108766 .,ОП Кугеляй,  87  км ,  27  км ,,,,,,,,,,,
 16.,108728 .,ОП Усенай,  93  км ,  21  км ,,,,,,,,,,,
 17.,108732 .,Стонишкяй,  97  км ,  17  км ,,,,,,,,,,,
 18.,108751 .,ОП Жиргинас, 101  км ,  13  км ,,,,,,,,,,,
 19.,108747 .,ОП Анужяй, 104  км ,  10  км ,,,,,,,,,,,
 20.,107000 .,Пагегяй, 109  км ,   5  км ,,,,,,,,,,,
 21.,107903 .,Пагегяй (эксп.), 114  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  9) участок 12-011 ""РИМКАЙ - ДРАУГИСТЕ (ПОРТ, ЭКСП.)"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Римкай,до ст. Крятинга,,,,,,,,,,,
  1.,108408 .,Римкай,   0  км ,  32  км ,,,,,,,,,,,
  2.,108200 .,Драугисте,   3  км ,  35  км ,,,,,,,,,,,
  3.,108304 .,Драугисте (паром),   3  км ,  35  км ,,,,,,,,,,,
  4.,106101 .,"Драугисте (порт, эксп.)",   4  км ,  35  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 10) участок 12-012 ""КИБАРТАЙ (ЭКСП.) - КАЗЛУ-РУДА"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Кибартай (эксп.),до ст. Казлу-Руда,,,,,,,,,,,
  1.,124400 .,Кибартай (эксп.),   0  км ,  51  км ,,,,,,,,,,,
  2.,124307 .,Кибартай,   1  км ,  50  км ,,,,,,,,,,,
  3.,124203 .,Вилкавишкис,  19  км ,  32  км ,,,,,,,,,,,
  4.,124114 .,ОП Альксненай,  26  км ,  25  км ,,,,,,,,,,,
  5.,124104 .,Пильвишкяй,  31  км ,  20  км ,,,,,,,,,,,
  6.,123408 .,Казлу-Руда,  51  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 11) участок 12-013 ""КАЗЛУ-РУДА - КАУНАС"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Казлу-Руда,до ст. Каунас,,,,,,,,,,,
  1.,123408 .,Казлу-Руда,   0  км ,  36  км ,,,,,,,,,,,
  2.,123228 .,Юре,   5  км ,  31  км ,,,,,,,,,,,
  3.,123215 .,ОП Пабалишкяй,  10  км ,  26  км ,,,,,,,,,,,
  4.,123200 .,Мауручяй,  17  км ,  19  км ,,,,,,,,,,,
  5.,123126 .,ОП Гарлява,  26  км ,  10  км ,,,,,,,,,,,
  6.,123107 .,Каунас,  36  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 12) участок 12-014 ""КАЗЛУ-РУДА - АЛИТУС"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Казлу-Руда,до ст. Алитус,до ст. Моцкава (эксп.),,,,,,,,,,
  1.,123408 .,Казлу-Руда,   0  км , 103  км ,  80  км ,,,,,,,,,,
  2.,124038 .,ОП Бябрулишке,   6  км ,  97  км ,  74  км ,,,,,,,,,,
  3.,124010 .,ОП Будвечяй,  17  км ,  86  км ,  63  км ,,,,,,,,,,
  4.,124006 .,Мариямполе,  25  км ,  78  км ,  55  км ,,,,,,,,,,
  5.,123855 .,ОП Тургалаукис,  33  км ,  70  км ,  47  км ,,,,,,,,,,
  6.,123840 .,Калвария,  41  км ,  62  км ,  39  км ,,,,,,,,,,
  7.,123836 .,ОП Сувалькеляй,  45  км ,  58  км ,  35  км ,,,,,,,,,,
  8.,123821 .,ОП Лакинскай,  46  км ,  57  км ,  34  км ,,,,,,,,,,
  9.,123817 .,ОП Миляй,  49  км ,  54  км ,  31  км ,,,,,,,,,,
 10.,123802 .,Шяштокай,  58  км ,  45  км ,  22  км ,,,,,,,,,,
 11.,123713 .,ОП Кросна II,  64  км ,  39  км ,  28  км ,,,,,,,,,,
 12.,123709 .,Кросна,  66  км ,  37  км ,  30  км ,,,,,,,,,,
 13.,123681 .,ОП Гилуйчяй,  70  км ,  30  км ,  34  км ,,,,,,,,,,
 14.,123677 .,ОП Симнас,  74  км ,  29  км ,  38  км ,,,,,,,,,,
 15.,123658 .,ОП Дайнава,  81  км ,  22  км ,  45  км ,,,,,,,,,,
 16.,123643 .,ОП Сантайка,  85  км ,  18  км ,  49  км ,,,,,,,,,,
 17.,123639 .,ОП Балкунай,  89  км ,  14  км ,  53  км ,,,,,,,,,,
 18.,123624 .,ОП Курненай,  92  км ,  11  км ,  56  км ,,,,,,,,,,
 19.,123613 .,ОП Алитус II,  97  км ,   6  км ,  61  км ,,,,,,,,,,
 20.,123605 .,Алитус, 103  км ,   0  км ,  67  км ,,,,,,,,,,
,,,,,,,,,,,,,,,
" 13) участок 12-015 ""КАУНАС - КАЙШЯДОРИС"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Каунас,до ст. Кайшядорис,,,,,,,,,,,
  1.,123107 .,Каунас,   0  км ,  37  км ,,,,,,,,,,,
  2.,122941 .,ОП Амаляй,   5  км ,  32  км ,,,,,,,,,,,
  3.,122922 .,Палямонас,  10  км ,  27  км ,,,,,,,,,,,
  4.,122918 .,ОП Карчюпис,  15  км ,  22  км ,,,,,,,,,,,
  5.,122903 .,Правенишкес,  20  км ,  17  км ,,,,,,,,,,,
  6.,122829 .,ОП Памерис,  25  км ,  12  км ,,,,,,,,,,,
  7.,122814 .,ОП Пагиряй,  30  км ,   7  км ,,,,,,,,,,,
  8.,122803 .,Кайшядорис,  37  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 14) участок 12-016 ""КАУНАС - ГАЙЖЮНАЙ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Каунас,до ст. Гайжюнай,,,,,,,,,,,
  1.,123107 .,Каунас,   0  км ,  36  км ,,,,,,,,,,,
  2.,123145 .,ОП Каунас I,   3  км ,  33  км ,,,,,,,,,,,
  3.,122941 .,ОП Амаляй,   5  км ,  31  км ,,,,,,,,,,,
  4.,122922 .,Палямонас,  10  км ,  26  км ,,,,,,,,,,,
  5.,124627 .,ОП Пабиржис,  16  км ,  20  км ,,,,,,,,,,,
  6.,124608 .,Кальненай,  23  км ,  13  км ,,,,,,,,,,,
  7.,124612 .,ОП Думсяй,  31  км ,   5  км ,,,,,,,,,,,
  8.,124504 .,Гайжюнай,  36  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 15) участок 12-017 ""ГАЙЖЮНАЙ - РАДВИЛИШКИС"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Гайжюнай,до ст. Радвилишкис,,,,,,,,,,,
  1.,124504 .,Гайжюнай,   0  км , 103  км ,,,,,,,,,,,
  2.,124701 .,Ионава,   8  км ,  95  км ,,,,,,,,,,,
  3.,124716 .,Жеймяй,  17  км ,  86  км ,,,,,,,,,,,
  4.,124909 .,Лукшяй,  27  км ,  76  км ,,,,,,,,,,,
  5.,125009 .,Кедайняй,  39  км ,  64  км ,,,,,,,,,,,
  6.,125117 .,Дотнува,  52  км ,  51  км ,,,,,,,,,,,
  7.,125167 .,ОП Мантвилишкис,  60  км ,  43  км ,,,,,,,,,,,
  8.,125121 .,Гуджюнай,  66  км ,  37  км ,,,,,,,,,,,
  9.,125032 .,Байсогала,  78  км ,  25  км ,,,,,,,,,,,
 10.,125140 .,Гимбогала,  91  км ,  12  км ,,,,,,,,,,,
 11.,125155 .,Линкайчяй,  97  км ,   6  км ,,,,,,,,,,,
 12.,125507 .,Радвилишкис, 103  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 16) участок 12-018 ""ЛУКШЯЙ - ШИЛАЙНЯЙ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Лукшяй,до ст. Шилайняй,,,,,,,,,,,
  1.,124909 .,Лукшяй,   0  км ,   5  км ,,,,,,,,,,,
  2.,125206 .,Шилайняй,   5  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 17) участок 12-019 ""ИОНАВА - РИЗГОНИС"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Ионава,до ст. Гайжюнай,,,,,,,,,,,
  1.,124701 .,Ионава,   0  км ,   8  км ,,,,,,,,,,,
  2.,124805 .,Ризгонис,  23  км ,  31  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 18) участок 12-020 ""РАДВИЛИШКИС - ШАПЯЛЯЙ (РЗД)"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Радвилишкис,до ст. Шапяляй (рзд),,,,,,,,,,,
  1.,125507 .,Радвилишкис,   0  км , 165  км ,,,,,,,,,,,
  2.,125155 .,Линкайчяй,   6  км , 159  км ,,,,,,,,,,,
  3.,127108 .,Шядува,  18  км , 147  км ,,,,,,,,,,,
  4.,127201 .,Густонис,  42  км , 123  км ,,,,,,,,,,,
