Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ (в км) МЕЖДУ ТРАНЗИТНЫМИ ПУНКТАМИ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Беларусь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Конечный пункт маршрута,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Алеща (эксп.),Андреевичи (рзд),Барановичи-Центральные,Белынковичи (эксп.),Беняконе (эксп.),Берестовица (рзд),Бигосово (эксп.),Бигосово,Брест-Восточный,Брест-Полесский,Брест-Северный (эксп.),Брест-Центральный (эксп.),Брест-Центральный,Брузги (эксп.),Витебск,Волковыск,Высоко-Литовск (эксп.),Высоко-Литовск,Гомель,Горынь (эксп.),Гродно,Гудогай (эксп.),Езерище (эксп.),Жабинка (эксп.),Жабинка,Жлобин,Закопытье (эксп.),Закопытье,Заольша (эксп.),Калинковичи,Кричев I,Крулевщизна,Лида,Лунинец,Лынтупы,Минск-Сортировочный,Могилев II,Молодечно,Мосты,Новобелицкая,Орша-Центральная,Осиновка (эксп.),Осиповичи I,Полоцк парк Громы,Полоцк,Поречье,Свислочь (эксп.),Свислочь,Словечно (эксп.),Тереховка (эксп.),Тереховка,Терюха (эксп.),Терюха,Хотислав (эксп.),Шестеровка (эксп.)
19,Гомель,526,533,401,394,560,556,564,557,527,530,535,535,530,640,376,523,579,571,0,356,617,468,459,504,504,86,45,37,436,125,311,495,515,302,610,304,210,388,559,5,292,340,193,477,479,649,566,552,196,48,40,39,27,587,352
20,Горынь (эксп.),643,305,174,640,333,329,681,674,279,282,287,287,282,413,612,296,331,323,356,0,390,476,695,255,256,332,401,393,672,231,557,503,288,54,618,312,456,396,332,361,528,576,382,594,596,422,339,325,302,404,396,395,383,339,598
21,Гродно,507,104,216,741,177,127,545,538,415,418,423,423,418,23,559,94,467,459,617,390,0,340,642,392,392,531,662,654,619,513,658,367,132,336,482,344,557,260,58,622,560,608,424,458,460,32,137,123,584,665,657,656,644,475,699
22,Гудогай (эксп.),327,328,302,592,253,351,365,358,501,504,509,509,504,363,379,318,553,545,468,476,340,0,462,478,478,382,513,505,439,483,509,187,208,422,302,164,408,80,282,473,380,428,275,278,280,372,361,347,554,516,508,507,495,561,550
23,Езерище (эксп.),233,629,521,384,555,653,271,264,720,723,728,728,723,665,83,620,772,764,459,695,642,462,0,701,697,373,504,496,143,474,301,275,510,641,390,383,249,382,584,464,167,215,382,184,186,673,663,649,545,507,499,498,486,780,342
24,Жабинка (эксп.),645,308,176,701,335,331,683,676,23,26,31,31,26,415,622,298,75,67,504,255,392,478,701,0,,480,549,541,678,379,618,505,290,202,620,314,517,398,334,509,530,578,384,596,598,424,341,327,450,552,544,543,531,83,659
25,Жабинка,645,308,176,701,335,331,683,676,23,26,31,31,26,415,614,298,75,67,504,256,392,478,697,,0,480,549,541,674,379,618,505,290,202,620,314,517,398,334,509,530,578,384,596,598,424,341,327,450,552,544,543,531,83,659
26,Жлобин,440,447,315,308,474,470,478,471,503,506,511,511,506,554,290,437,555,547,86,332,531,382,373,480,480,0,131,123,350,101,225,409,429,278,524,218,124,302,473,91,206,254,107,391,393,563,480,466,172,134,126,125,113,563,266
27,Закопытье (эксп.),571,578,446,439,605,601,609,602,572,575,580,580,575,685,421,568,624,616,45,401,662,513,504,549,549,131,0,8,481,170,356,540,560,347,655,349,255,433,604,40,337,385,238,522,524,694,611,597,241,83,75,74,62,632,397
28,Закопытье,563,570,438,431,597,593,601,594,564,567,572,572,567,677,413,560,616,608,37,393,654,505,496,541,541,123,8,0,473,162,348,532,552,339,647,341,247,425,596,32,329,377,230,514,516,686,603,589,233,75,67,66,54,624,389
