Четверг 25 сен.2025г.  17:59,,,,,
,,,,,
АЛФАВИТНЫЙ СПИСОК ЖЕЛЕЗНОДОРОЖНЫХ СТАНЦИЙ,,,,,
,,,,,
"АЛФАВИТНЫЙ СПИСОК РАЗДЕЛЬНЫХ ПУНКТОВ (станций, разъездов, постов, блокпостов и обгонных пунктов)",,,,,
№ п/п,Наименование пункта,Операции,Дорога,Транзитные пукты и расстояния до них,Код станции
   54.,Агур-Кархана,О 3,57 Грз,"570008 Самтредиа - 20км, 571903 Сенаки - 8км",571808
   55.,Адабаш,Б 3,40 Од (У),"411901 Помошная - 16км, 420008 Им. Тараса Шевченко - 113км",423805
   56.,Ададурово,"Б 1,3",61 Прив (Р),"605300 Балашов I - 169км, 621801 Петров Вал - 81км",622202
   57.,Адамово (рзд),О,13 Бел,"161306 Полоцк - 25км, 161401 Бигосово (эксп.) - 60км",162012
   58.,Адамполь,Б 3,32 Ю-Зап (У),"334103 Староконстантинов I - 40км, 335801 Винница - 105км, 342701 Казатин I - 107км",337604
   59.,Адарка,О,96 Д-Вост (Р),"970406 Хабаровск I - 513км, 974801 Сибирцево - 73км",974214
   60.,Аджамети,Х,57 Грз,570008 Самтредиа - 39км,575694
   61.,Аджибугут,О 3,73 Узбк,"731306 Навои - 196км, 739806 Мискин - 305км",732402
   62.,Адзюбжа (рзд),О 3,57 Грз,"571903 Сенаки - 103км, 574704 Гантиади (эксп.) - 133км",573701
   63.,Адикаевка (рзд),О,63 Кбш (Р),"630105 Пенза I - 101км, 632401 Вернадовка - 117км",633226
   64.,Адищево (рзд),О,76 Сверд (Р),"760604 Левшино - 12км, 766108 Калино - 87км",765321
   65.,Адлер,"П 1,3,4",51 С-Кав (Р),"532608 Веселое (эксп.) - 11км, 533403 Туапсе-Сортировочная - 105км",532805
   66.,Адникан (рзд),3,96 Д-Вост (Р),"917103 Новый Ургал - 42км, 961604 Известковая - 305км",919005
   67.,Адриановка,Б 3,94 Заб (Р),"943108 Карымская - 21км, 944702 Борзя - 226км",943305
   68.,Адуй,Б 3,76 Сверд (Р),"780800 Аппаратная - 42км, 785908 Егоршино - 65км",785403
   69.,Адыр,"Б 3,7,8н,10н",68 Кзх,"680000 Есиль - 189км, 690002 Астана-1 - 187км",691406
   70.,Ажинияз (рзд),Х,73 Узбк,"736808 Каракалпакстан (эксп.) - 220км, 737800 Найманкуль (эксп.) - 211км",737124
   71.,Аза,О,55 Азерб,"550004 Джульфа - 22км, 552620 Османлы-Новые - 327км",550023
   72.,Азадыкент,Х,55 Азерб,"552620 Османлы-Новые - 17км, 554109 Астара - 166км",552635
   73.,Азанка,О 3,76 Сверд (Р),785908 Егоршино - 210км,788408
   74.,Азарово,О 3,17 Моск (Р),"188718 Муратовка - 10км, 210004 Плеханово - 131км",188601
   75.,Азат,"Б 3,8н,10н",68 Кзх,"688708 Петропавловск (эксп.) - 159км, 687008 Кокшетау I - 36км",687508
   76.,Азатлык,О 3,75 Трк,"749901 Разъезд № 161 (эксп.) - 122км, 759301 Талимарджан (эксп.) - 72км",749301
   77.,Азей,Б 3,92 В-Сиб (Р),"920002 Тайшет - 300км, 930108 Иркутск-Пассажирский - 370км",922205
   78.,Азиатская,Б 3,76 Сверд (Р),"767308 Чусовская - 168км, 772607 Гороблагодатская - 15км",772908
   79.,Азизобод (рзд),П,73 Узбк,"728002 Мароканд - 214км, 730002 Бухара I - 17км",730445
   80.,Азов,"Б 1,3,8н,10н,",51 С-Кав (Р),ТП,510806
,,"11н,12н",,,
   81.,Азов (перев.),,51 С-Кав (Р),510007 Батайск - 30км,518704
   82.,Азов (эксп.),,51 С-Кав (Р),510007 Батайск - 30км,510308
   83.,Азовская,П 3,45 Придн (У),"470007 Джанкой - 21км, 479904 Владиславовка - 80км",472303
   84.,Азовская,П 3,85 Крым (Р),"856200 Джанкой - 21км, 868301 Владиславовка - 80км",869304
   85.,Азотная,3,17 Моск (Р),"170466 Духовская - 105км, 174306 Вязьма - 94км",172705
   86.,Азям (рзд),Х,80 Ю-Ур (Р),"782505 Дружинино - 173км, 806606 Бердяуш - 80км",807122
   87.,Аиртау,О 1,68 Кзх,"709105 Шар - 115км, 713806 Новоустькаменогорск - 36км",684209
   88.,Ай,П,80 Ю-Ур (Р),"804808 Полетаево I - 152км, 806606 Бердяуш - 34км",806466
   89.,Айвазовская,"Б 1,3,8",45 Придн (У),ТП,471809
   90.,Айвазовская,"Б 1,3,8",85 Крым (Р),ТП,868405
   91.,Айвазовская (эксп.),,45 Придн (У),,471902
   92.,Айвазовская (эксп.),,85 Крым (Р),,868509
   93.,Айгеван,"Б 3,8н",56 Ю-Кав,"567400 Масис - 30км, 569903 Ерасх (эксп.) - 27км",569405
   94.,Айгир (рзд),О,63 Кбш (Р),"652000 Карламан - 137км, 816203 Карталы I - 315км",654010
   95.,Айгыржал,О,68 Кзх,"708009 Актогай - 168км, 709105 Шар - 184км",708742
   96.,Айдарлы (рзд),Х,68 Кзх,"700505 Жетыген - 219км, 707701 Алтынколь (эксп.) - 74км",700596
   97.,Айдынг,Б,75 Трк,"751309 Мары - 701км, 754609 Туркменбаши I (эксп.) - 202км",753945
   98.,Айдырля,"П 1,3,4",80 Ю-Ур (Р),"814301 Никель - 139км, 816203 Карталы I - 140км",815802
   99.,Айзкраукле,О 3,09 Лат,"090064 Яняварти - 78км, 117604 Плявиняс - 30км",093700
  100.,Айка (рзд),Х,76 Сверд (Р),790408 Войновка - 908км,798236
  101.,Айке,Б 3,68 Кзх,"668600 Никельтау - 292км, 683102 Тобол - 226км",682100
  102.,Айна-Булак,О 3,68 Кзх,"700505 Жетыген - 183км, 708009 Актогай - 331км, 708507 Достык (эксп.) - 638км",701300
  103.,Айнак,Б 3,83 З-Сиб (Р),"835558 Осолодино (обп) - 77км, 844805 Кулунда (эксп.) - 98км",837303
  104.,Айни,"О 1,3",74 Тадж,"745205 Душанбе I - 13км, 746000 Пахтаабад (эксп.) - 58км",745506
  105.,Айни (эксп.),,74 Тадж,,745402
  106.,Айрум,"П 1,3,9",56 Ю-Кав,,564702
  107.,Айрум (эксп.),,56 Ю-Кав,ТП,569706
  108.,Айрытам,"Б 1,10",73 Узбк,"728002 Мароканд - 64км, 733208 Кашкадарья - 63км",733405
  109.,Айса,О,68 Кзх,"675905 Жарык - 44км, 677309 Мойынты - 171км",675939
  110.,Айсары,О 3,68 Кзх,693405 Ерейментау - 220км,694107
  111.,Айтеке Би,"Б 1,3",68 Кзх,"668600 Никельтау - 181км, 683102 Тобол - 337км",669105
  112.,Ак Ил,"П 1,3",75 Трк,"752800 Ашгабат - 340км, 754609 Туркменбаши I (эксп.) - 291км, 758101 Дашогуз - 834км",751009
  113.,Ак-Булак,"П 1,2,3,4,9",68 Кзх,"660007 Кандыагаш - 239км, 666501 Илецк I (эксп.) - 50км",667307
  114.,Ак-Булат,О,68 Кзх,"708009 Актогай - 60км, 709105 Шар - 292км",708621
  115.,Ак-Кистау,"Б 1,3",68 Кзх,"661103 Макат - 199км, 662002 Дины Нурпеисовой (рзд) (эксп.) - 211км",662106
  116.,Ак-Куль,"Б 3,8н,10н",68 Кзх,"687008 Кокшетау I - 191км, 690002 Астана-1 - 105км",692601
  117.,Ак-Тобе (рзд),Х,73 Узбк,"736808 Каракалпакстан (эксп.) - 61км, 737800 Найманкуль (эксп.) - 370км",737048
  118.,Ак-Узяк,О,68 Кзх,"700505 Жетыген - 355км, 708009 Актогай - 159км, 708507 Достык (эксп.) - 466км",702430
  119.,Академическая,Б 3,01 Окт (Р),"050009 Бологое-Московское - 26км, 062100 Лихославль - 96км",062900
  120.,Акадыр,"Б 1,2,3,9",68 Кзх,"675905 Жарык - 78км, 677309 Мойынты - 137км",677205
  121.,Акалтын,"О 1,3,8н,10н",73 Узбк,"722400 Ташкент - 112км, 725803 Хаваст - 47км",724904
  122.,Акара,"П 1,4",55 Азерб,"550004 Джульфа - 140км, 552620 Османлы-Новые - 209км",551505
  123.,Акармара,Б 3,57 Грз,"571903 Сенаки - 115км, 574704 Гантиади (эксп.) - 193км",573504
  124.,Акбалык,О,68 Кзх,"700505 Жетыген - 458км, 708009 Актогай - 56км, 708507 Достык (эксп.) - 363км",702657
  125.,Акбарабад,О,73 Узбк,"740004 Коканд I - 88км, 743604 Андижан I - 48км",743214
  126.,Акбаш,О,63 Кбш (Р),ТП,647523
  127.,Акбобек (рзд),О,68 Кзх,"663306 Мангистау - 223км, 664703 Болашак (эксп.) - 103км, 691607 Курык-Порт - 204км",663927
  128.,Акдала (рзд),О,68 Кзх,"670102 Сексеул - 885км, 698004 Арыс 1 - 10км",698112
  129.,Акджагуйма,Б,75 Трк,"751309 Мары - 668км, 754609 Туркменбаши I (эксп.) - 235км",753926
  130.,Акджадепе,Х,75 Трк,,876717
  131.,Акеспе (рзд),О,68 Кзх,"669904 Шалкар - 124км, 670102 Сексеул - 41км",670051
  132.,Акжайдак,О 3,68 Кзх,"677309 Мойынты - 214км, 708009 Актогай - 310км, 708507 Достык (эксп.) - 619км",677900
  133.,Акжайык,"П 1,3,4",68 Кзх,"661103 Макат - 125км, 662002 Дины Нурпеисовой (рзд) (эксп.) - 292км",661601
  134.,Акжар (рзд),О,68 Кзх,"670102 Сексеул - 259км, 698004 Арыс 1 - 636км",670583
  135.,Акжигит,Б 1,68 Кзх,"662801 Бейнеу - 52км, 662905 Оазис (рзд) (эксп.) - 27км",662708
  136.,Акжолтай,О 3,68 Кзх,"677309 Мойынты - 64км, 704703 Берлик I - 374км",705602
  137.,Акимовка,Б 3,45 Придн (У),"470007 Джанкой - 126км, 476304 Федоровка - 51км",475903
  138.,Акимовка,П 3,82 82-я дорога,822308 Федоровка - 51км,822007
  139.,Аккайтым(рзд),О,68 Кзх,"669904 Шалкар - 53км, 662801 Бейнеу - 446км",679709
  140.,Аккаржа,Б 3,40 Од (У),"403206 Белгород-Днестровский - 54км, 405101 Одесса-Застава I - 36км",401905
  141.,Аккемер,"Б 1,3,4",68 Кзх,"660007 Кандыагаш - 22км, 666501 Илецк I (эксп.) - 267км",668507
