Четверг 25 сен.2025г.  17:59,,,,,
,,,,,
АЛФАВИТНЫЙ СПИСОК ЖЕЛЕЗНОДОРОЖНЫХ СТАНЦИЙ,,,,,
,,,,,
"АЛФАВИТНЫЙ СПИСОК РАЗДЕЛЬНЫХ ПУНКТОВ (станций, разъездов, постов, блокпостов и обгонных пунктов)",,,,,
№ п/п,Наименование пункта,Операции,Дорога,Транзитные пукты и расстояния до них,Код станции
 3452.,Инкерман I,Б 3,45 Придн (У),ТП,473202
 3453.,Инкерман I,Б 3,85 Крым (Р),ТП,858009
 3454.,Инкерман I (эксп.),,45 Придн (У),,478403
 3455.,Инкерман I (эксп.),,85 Крым (Р),,858102
 3456.,Инкерман II,3,45 Придн (У),473202 Инкерман I - 2км,473109
 3457.,Инкерман II,3,85 Крым (Р),858009 Инкерман I - 2км,858206
 3458.,Иноземцево,П,51 С-Кав (Р),"530208 Армавир-Ростовский - 205км, 537601 Прохладная - 114км",531959
 3459.,Иноковка,П 3,58 Ю-Вост (Р),"601403 Тамбов I - 70км, 607607 Ртищево I - 118км",602503
 3460.,Инсар,Б,63 Кбш (Р),"222209 Кустаревка - 152км, 640003 Рузаевка - 52км",641044
 3461.,Инская,Б 3,83 З-Сиб (Р),ТП,850007
 3462.,Инта I,"П 3,8н,10н",28 Сев (Р),285801 Сосногорск - 429км,288600
 3463.,Инта II,"3,8н,10н,11н,",28 Сев (Р),285801 Сосногорск - 437км,288704
,,12н,,,
 3464.,Инчукалнс,"О 1,3",09 Лат,"095000 Земитаны - 36км, 111307 Иерики - 34км",095208
 3465.,Инчхе,"П 1,4",51 С-Кав (Р),"543301 Махачкала - 72км, 544501 Дербент - 57км",544003
 3466.,Иня (рзд),О,83 З-Сиб (Р),"850007 Инская - 6км, 850609 Новосибирск-Главный - 12км",850030
 3467.,Иня-Восточная,"Б К2н,3,8н,10н,",83 З-Сиб (Р),"850609 Новосибирск-Главный - 13км, 851809 Сокур - 23км",851601
,,"11н,12н",,,
 3468.,Иолча,Б,32 Ю-Зап (У),325000 Чернигов - 55км,324607
 3469.,Ионава,"Б 1,3",12 Лит,"124504 Гайжюнай - 8км, 125507 Радвилишкис - 95км",124701
 3470.,Иори,"Б 1,3",57 Грз,560101 Тбилиси-Узловая - 36км,561206
 3471.,Иоссер,Б 3,28 Сев (Р),"282407 Микунь - 133км, 285801 Сосногорск - 122км",285000
 3472.,Ипатово,Б 3,51 С-Кав (Р),"520009 Кавказская - 265км, 537601 Прохладная - 346км",528301
 3473.,Ипполитовка,Б,96 Д-Вост (Р),"974801 Сибирцево - 23км, 977000 Дубининский - 27км",976718
 3474.,Ипуть,О,13 Бел,150208 Новобелицкая - 5км,155771
 3475.,Ипуть,3,17 Моск (Р),"202008 Унеча - 24км, 202807 Сураж (эксп.) - 20км",203000
 3476.,Ираель,П 3,28 Сев (Р),285801 Сосногорск - 117км,287102
 3477.,Ирба,О,88 Крас (Р),"887675 Тигей - 143км, 889100 Саянская - 279км",888447
 3478.,Ирбейская,"П 1,3",88 Крас (Р),"889100 Саянская - 47км, 920002 Тайшет - 202км",889308
 3479.,Ирбит,"Б 1,3,8н",76 Сверд (Р),785908 Егоршино - 84км,787804
 3480.,Иргиз,О 3,61 Прив (Р),"624000 Сенная - 124км, 627704 Пугачевск - 24км",625304
 3481.,Ирджарская,"Б 1,3,10",73 Узбк,"725803 Хаваст - 161км, 728002 Мароканд - 203км",725502
 3482.,Ирдыкан (рзд),О,92 В-Сиб (Р),"917103 Новый Ургал - 2497км, 920002 Тайшет - 802км, 927105 Лена - 82км",902216
 3483.,Иренский,О 3,76 Сверд (Р),"761104 Пермь II - 91км, 782702 Кузино - 202км",763504
 3484.,Иркир (рзд),О,96 Д-Вост (Р),"990005 Корсаков - 573км, 993304 Холмск - 566км",997818
 3485.,Иркутск-Пассажирский,"П 2,3,4,8,10",92 В-Сиб (Р),ТП,930108
 3486.,Иркутск-Сортировочный,"Б 1,2,3,8н,10н,",92 В-Сиб (Р),"920002 Тайшет - 662км, 930108 Иркутск-Пассажирский - 8км",930004
,,"11н,12н",,,
 3487.,Ирпень,Б 3,32 Ю-Зап (У),"320505 Киев-Волынский - 18км, 346308 Коростень - 131км",322206
 3488.,Ирса,"Б 1,3",01 Окт (Р),ТП,042107
 3489.,Иртышский Завод,Б 3,68 Кзх,"711302 Локоть (эксп. на Малиновое Озеро) - 203км, 713007 Оскемен-1 - 35км",712700
 3490.,Иртышское,"Б 1,3,4",83 З-Сиб (Р),ТП,835007
 3491.,Ирченко,"Б 3,7,8н,10н",68 Кзх,"680000 Есиль - 203км, 690002 Астана-1 - 173км",691306
 3492.,Ирша,"О 1,3",32 Ю-Зап (У),"320505 Киев-Волынский - 84км, 346308 Коростень - 65км",347601
 3493.,Иршава (узк.),О,35 Льв (У),"382501 Батево - 70км, 384704 Королево - 86км",384526
 3494.,Иса,Б 3,96 Д-Вост (Р),"910000 Тында - 754км, 917103 Новый Ургал - 197км",916401
 3495.,Исакан (рзд),О,96 Д-Вост (Р),"910000 Тында - 735км, 917103 Новый Ургал - 216км",916134
 3496.,Исаковский (обп),О,80 Ю-Ур (Р),"801104 Чурилово - 20км, 801405 Электростанция - 28км, 804600 Еманжелинск - 34км,",800332
,,,,               804808 Полетаево I - 22км,
 3497.,Исакогорка,"Б 3,8н,10н,11н,",28 Сев (Р),"290507 Архангельск-Город - 14км, 295002 Обозерская - 119км",290009
,,12н,,,
 3498.,Исатай,Б 3,68 Кзх,"661103 Макат - 286км, 662002 Дины Нурпеисовой (рзд) (эксп.) - 124км",678903
 3499.,Исгендер,П,75 Трк,"751309 Мары - 594км, 754609 Туркменбаши I (эксп.) - 309км",753822
 3500.,Исеть,Б 3,76 Сверд (Р),"770005 Смычка - 124км, 780001 Екатеринбург-Сортировочный - 19км",771500
 3501.,Исилькуль,"Б 1,3",83 З-Сиб (Р),830304 Карбышево I - 133км,832009
 3502.,Искине,"Б 1,3",68 Кзх,"661103 Макат - 65км, 662002 Дины Нурпеисовой (рзд) (эксп.) - 345км",661404
 3503.,Искинский (рзд),О,76 Сверд (Р),790408 Войновка - 50км,795628
 3504.,Искитим,"Б 1,3",83 З-Сиб (Р),"840804 Среднесибирская - 112км, 850007 Инская - 49км",853005
 3505.,Искра (рзд),Х,83 З-Сиб (Р),"840804 Среднесибирская - 52км, 850007 Инская - 109км",841012
 3506.,Искренное,О,40 Од (У),"421104 Христиновка - 113км, 422605 Цветково - 35км",420101
 3507.,Искровка (пп),П,43 Южн (У),"448709 Полтава-Южная - 51км, 449608 Люботин - 65км",449010
 3508.,Исметово,О,63 Кбш (Р),"647523 Акбаш - 90км, 651506 Чишмы - 145км",650611
 3509.,Испас,"О 1,3",35 Льв (У),"366301 Лужаны - 46км, 388809 Коломыя - 74км",389604
 3510.,Исталсна,О,09 Лат,113105 Резекне II - 33км,112920
 3511.,Истиклол,,74 Тадж,,747304
 3512.,Истиклол,"О 1,3,8,10",73 Узбк,739806 Мискин - 22км,739900
 3513.,Истиклол (эксп.),,74 Тадж,,747408
 3514.,Исток,О ,76 Сверд (Р),"780603 Шарташ - 11км, 793209 Богданович - 84км",794112
 3515.,Источник,"О 3,8н,10н",76 Сверд (Р),774706 Серов-Сортировочный - 8км,775003
 3516.,Исфара,"Б 1,3,4",74 Тадж,"748006 Канибадам - 39км, 748608 Шураб - 14км",748504
 3517.,Исфара (эксп.),,74 Тадж,,938504
 3518.,Итат,"П 3,8н,10н,11н",88 Крас (Р),"875907 Анжерская - 213км, 880002 Ачинск I - 105км",880604
 3519.,Итатка,О,83 З-Сиб (Р),873308 Тайга - 141км,874904
 3520.,Иткуль (рзд),О,80 Ю-Ур (Р),"780603 Шарташ - 114км, 801405 Электростанция - 128км",802111
 3521.,Итларь,Б,28 Сев (Р),"237007 Александров - 71км, 310005 Ярославль-Главный - 99км",313910
 3522.,Иту-Яха (рзд),Х,76 Сверд (Р),790408 Войновка - 945км,798274
 3523.,Итыкит (рзд),Х,92 В-Сиб (Р),"917103 Новый Ургал - 1946км, 927105 Лена - 619км",904122
 3524.,Ичня,"Б 1,3,8н,10н",43 Южн (У),"326003 Бахмач-Пассажирский - 50км, 429002 Прилуки - 33км",429200
 3525.,Ичогуз,3,75 Трк,"752800 Ашгабат - 267км, 754609 Туркменбаши I (эксп.) - 796км, 758101 Дашогуз - 283км",752406
 3526.,Ишалино (рзд),О,80 Ю-Ур (Р),"780603 Шарташ - 204км, 801405 Электростанция - 38км",803129
 3527.,Ишаново,"О 3,8н,10н,11н,",83 З-Сиб (Р),"871107 Топки - 30км, 875907 Анжерская - 118км",871200
,,12н,,,
 3528.,Ишим,"Б 1,2,3,4,8н,",76 Сверд (Р),"790408 Войновка - 281км, 830304 Карбышево I - 278км",791608
,,10н,,,
 3529.,Ишково (рзд),Х,61 Прив (Р),"627704 Пугачевск - 67км, 638605 Звезда - 66км",627920
 3530.,Иштуган,Б,24 Горьк (Р),"251004 Дербышки - 99км, 254905 Агрыз - 188км",253616
 3531.,Ишутино (рзд),О,17 Моск (Р),"185005 Сухиничи - 60км, 210004 Плеханово - 166км, 214700 Горбачево - 82км",213426
 3532.,Ищерская,"П 1,3,8н,10н,",51 С-Кав (Р),"537601 Прохладная - 89км, 542510 Червленная-Узловая - 77км",539503
,,"11н,12н",,,
 3533.,Июс,П 1,88 Крас (Р),"880002 Ачинск I - 231км, 887675 Тигей - 204км",885400
 3534.,Йонайтишкяй,Б,12 Лит,"107903 Пагегяй (эксп.) - 138км, 125507 Радвилишкис - 10км",125511
 3535.,Йонишкис,"Б 1,3",12 Лит,"125704 Шяуляй - 44км, 126105 Йонишкис (эксп.) - 16км",126001
 3536.,Йонишкис (эксп.),,12 Лит,ТП,126105
 3537.,Йошкар-Ола,"П 1,2,3,4,8,11н,",24 Горьк (Р),"249004 Свияжск - 112км, 250001 Юдино - 128км",252401
,,12н,,,
 3538.,Йыгева,"О 1,3",08 Эст,"080005 Тапа - 66км, 084805 Тарту - 47км",084400
 3539.,Йыхви,"Б 1,3",08 Эст,"080005 Тапа - 88км, 083906 Нарва (эксп.) - 45км",083408
 3540.,Кааламо,О 3,01 Окт (Р),"022404 Хийтола - 115км, 024202 Вяртсиля (эксп.) - 34км, 025120 Янисъярви - 32км",023905
 3541.,Каарепере,О,08 Эст,"080005 Тапа - 77км, 084805 Тарту - 36км",084422
 3542.,Кабадиан (рзд),Х,74 Тадж,746805 Хошады (эксп.) - 95км,746617
 3543.,Кабаклы (обп),Б,83 З-Сиб (Р),"833001 Татарская - 25км, 850100 Обь - 416км",833042
 3544.,Кабаково,О,63 Кбш (Р),"650005 Дема - 29км, 652000 Карламан - 20км",651972
 3545.,Кабала,О,08 Эст,"080005 Тапа - 45км, 083906 Нарва (эксп.) - 88км",082922
 3546.,Кабалуд,О,76 Сверд (Р),"275901 Пибаньшур - 42км, 760008 Пермь-Сортировочная - 174км",762037
 3547.,Кабановка,Б,63 Кбш (Р),"651506 Чишмы - 448км, 657305 Кинель - 89км",658755
 3548.,Кабанье,"П 1,3",48 Дон (У),"497813 Венгеровка - 74км, 430002 Купянск-Сортировочный - 79км",498905
 3549.,Кабанье,"П 1,3",84 84-я дорога,838541 Венгеровка - 74км,839402
 3550.,Кабарга,О,96 Д-Вост (Р),"970406 Хабаровск I - 431км, 974801 Сибирцево - 155км",973828
 3551.,Кабардинская,"Б 1,3",51 С-Кав (Р),"530208 Армавир-Ростовский - 158км, 533403 Туапсе-Сортировочная - 76км",534105
 3552.,Кабельная,"О 3,6,8н,10н,",76 Сверд (Р),"760008 Пермь-Сортировочная - 14км, 760604 Левшино - 7км",760506
,,"11н,12н",,,
 3553.,Кабожа,"Б 1,2,3,4",01 Окт (Р),ТП,043203
 3554.,Кавалерский,Б,51 С-Кав (Р),"510007 Батайск - 82км, 514807 Сосыка-Ростовская - 49км",514510
 3555.,Кавказ,"Б 3,8н,10н,11н",51 С-Кав (Р),"516200 Тимашевская - 268км, 521603 Крымская - 164км",527900
 3556.,"Кавказ (паром, эксп. на",,51 С-Кав (Р),,528602
,Варну),,,,
 3557.,"Кавказ (паром, эксп. на",,51 С-Кав (Р),,529906
,Керчь),,,,
 3558.,"Кавказ (паром, эксп. на",,51 С-Кав (Р),,529408
,Крым),,,,
 3559.,"Кавказ (паром, эксп. на",,51 С-Кав (Р),,528208
,Поти),,,,
 3560.,"Кавказ (паром, эксп.)",,51 С-Кав (Р),,528000
 3561.,"Кавказ (паром,эксп. на",,51 С-Кав (Р),,528801
,Самсун),,,,
 3562.,Кавказ (эксп.),,51 С-Кав (Р),"516200 Тимашевская - 268км, 521603 Крымская - 164км",528104
 3563.,Кавказ-Варна (условный,,51 С-Кав (Р),,005201
,код),,,,
 3564.,Кавказская,"П 1,2,3,4,5",51 С-Кав (Р),ТП,520009
 3565.,Кавокта,О,92 В-Сиб (Р),"917103 Новый Ургал - 1970км, 927105 Лена - 609км",903914
 3566.,Кавтисхеви (рзд),"О 1,3",57 Грз,"560101 Тбилиси-Узловая - 49км, 577204 Хашури - 77км",560701
 3567.,Кавуны,П 3,40 Од (У),"411901 Помошная - 46км, 412707 Колосовка - 100км",413409
 3568.,Кагальник,"П 1,3",51 С-Кав (Р),"510007 Батайск - 49км, 518403 Сальск - 128км",517203
 3569.,Кагамлыкская,"О 3,8н",43 Южн (У),425001 Кременчуг - 9км,428207
 3570.,Кагамлыкская (эксп.),,43 Южн (У),,427806
 3571.,Каган,"О 1,3,10",73 Узбк,"730002 Бухара I - 4км, 733208 Кашкадарья - 141км",740606
 3572.,Кагарлык,Б 3,32 Ю-Зап (У),"320100 Киев-Демеевский - 75км, 344406 Мироновка - 27км",344603
 3573.,Кадала,"Б 1,3,8,8н,10н,",94 Заб (Р),"935703 Заудинский - 536км, 943108 Карымская - 109км",942105
,,"11н,12н",,,
 3574.,Кадамовка,О 3,51 С-Кав (Р),"512708 Горная - 22км, 580300 Замчалово - 63км",512500
 3575.,Каджером,Б 3,28 Сев (Р),285801 Сосногорск - 164км,287504
 3576.,Кади-Юрт,Б,51 С-Кав (Р),542807 Кизилюрт - 48км,542629
 3577.,Кадниковский,Б 3,28 Сев (Р),"293007 Коноша I - 80км, 300107 Вологда I - 131км",301307
 3578.,Кадошкино,"Б 1,3",63 Кбш (Р),"222209 Кустаревка - 163км, 640003 Рузаевка - 41км",641101
 3579.,Кадрина,О,08 Эст,"080005 Тапа - 14км, 083906 Нарва (эксп.) - 119км",082937
 3580.,Кадуй,"Б 1,3",01 Окт (Р),"046803 Подборовье - 132км, 302304 Череповец I - 48км",046108
 3581.,Кадырья,"О 1,3",73 Узбк,722400 Ташкент - 17км,721200
 3582.,Каерак,Б 3,68 Кзх,"682203 Золотая Сопка (эксп.) - 9км, 684001 Костанай - 157км",685201
 3583.,Каз,3,83 З-Сиб (Р),860206 Новокузнецк-Восточный - 114км,865801
 3584.,Казаки,"Б 1,2,3,4",17 Моск (Р),"217709 Верховье - 85км, 593000 Елец - 18км",218203
 3585.,Казаклия (рзд),О,39 Млд,399606 Етулия (эксп.) - 64км,398711
 3586.,Казаковка,П,61 Прив (Р),"620103 Трофимовский I - 90км, 624000 Сенная - 37км",623949
 3587.,Казалы,"П 1,2,3,4,9",68 Кзх,"670102 Сексеул - 180км, 698004 Арыс 1 - 715км",670507
 3588.,Казанбасы,П 3,68 Кзх,"683102 Тобол - 78км, 680000 Есиль - 210км, 684001 Костанай - 166км",682805
 3589.,Казанка,"Б 1,3",40 Од (У),"414100 Долинская - 26км, 415103 Николаев - 122км",414401
 3590.,Казанкан (рзд),О,92 В-Сиб (Р),"917103 Новый Ургал - 1927км, 927105 Лена - 652км",905712
 3591.,Казаново,О 3,94 Заб (Р),"943108 Карымская - 135км, 951602 Бамовская - 846км",947804
 3592.,Казановская,О,88 Крас (Р),"864601 Томусинская - 229км, 887675 Тигей - 98км",886935
 3593.,Казань,П 3,24 Горьк (Р),ТП,250302
 3594.,Казань (перев.),,24 Горьк (Р),250001 Юдино - 14км,250406
 3595.,Казариново,Б,28 Сев (Р),"304606 Буй - 25км, 311101 Данилов - 68км",304377
 3596.,Казатин I,"П Г,М,Т,1,3,8н,",32 Ю-Зап (У),ТП,342701
,,11н,,,
 3597.,Казатин II,"Б 3,8н,10н",32 Ю-Зап (У),"342400 Бердичев - 20км, 342701 Казатин I - 8км",342608
 3598.,Казах,"П 1,3,4",55 Азерб,557200 Акстафа - 12км,557408
 3599.,Казахская,"О 3,7",68 Кзх,"680000 Есиль - 92км, 690002 Астана-1 - 284км",680509
 3600.,Казахстан,"П 1,2,3,8н,9,",68 Кзх,"664900 Семиглавый Мар (эксп.) - 235км, 666501 Илецк I (эксп.) - 146км",666408
,,10н,,,
 3601.,Казачий,О,96 Д-Вост (Р),"950008 Белогорск - 298км, 961604 Известковая - 71км",961110
 3602.,Казачья Лопань,Б 3,43 Южн (У),ТП,432306
 3603.,Казачья Лопань (эксп.),,43 Южн (У),,441201
 3604.,Казиевка,О 3,68 Кзх,"711302 Локоть (эксп. на Малиновое Озеро) - 229км, 713007 Оскемен-1 - 9км",712907
 3605.,Казинка,Б 3,58 Ю-Вост (Р),"591907 Грязи-Воронежские - 19км, 593000 Елец - 96км",592100
 3606.,Казлу-Руда,"Б 1,3",12 Лит,ТП,123408
 3607.,Казначеевка,"О 3,8н,10н,11н,",17 Моск (Р),"210201 Тула I-Курская - 17км, 214700 Горбачево - 65км",214005
,,12н,,,
 3608.,Казрети,"О 1,3",57 Грз,560101 Тбилиси-Узловая - 73км,564401
 3609.,Казумлы,О,55 Азерб,"552620 Османлы-Новые - 123км, 554109 Астара - 60км",553500
 3610.,Казыбек-Бек,"О 3,8н,10н",68 Кзх,"704703 Берлик I - 239км, 700007 Алматы 1 - 64км",703607
 3611.,Казыкурт,"3,8н,10н",68 Кзх,"698606 Шымкент - 7км, 706304 Тараз - 204км",698704
 3612.,Каинды,"П 1,3,4",70 Кирг,,715708
 3613.,Кайгур,3,83 З-Сиб (Р),"871107 Топки - 119км, 875907 Анжерская - 29км",872102
 3614.,Кайдакская,3,45 Придн (У),ТП,451203
 3615.,Кайдакская (эксп.),,45 Придн (У),451203 Кайдакская - 0км,451805
 3616.,Кайдауыл,Б 1,68 Кзх,"660007 Кандыагаш - 231км, 669904 Шалкар - 42км",669800
 3617.,Кайирма,Х,73 Узбк,"733208 Кашкадарья - 61км, 735608 Кумкургон - 203км",728816
 3618.,Кайлю,О,75 Трк,"751309 Мары - 876км, 754609 Туркменбаши I (эксп.) - 27км",754280
 3619.,Кайраккум (рзд),О,74 Тадж,"747501 Спитамен (эксп.) - 61км, 748106 Канибадам (эксп.) - 48км",747817
 3620.,Кайракты,О,68 Кзх,"700505 Жетыген - 286км, 708009 Актогай - 228км, 708507 Достык (эксп.) - 535км",702133
 3621.,Кайранкуль,"Б 3,7,8н,10н",68 Кзх,"685707 Жана-Есиль - 98км, 685803 Зерновая (эксп.) - 72км",686204
 3622.,Кайрат (рзд),"О 3,8н,10н",68 Кзх,"700007 Алматы 1 - 32км, 700505 Жетыген - 11км",704309
 3623.,Кайратколь,О,68 Кзх,"677309 Мойынты - 257км, 704703 Берлик I - 181км",705316
 3624.,Кайсацкая,П,61 Прив (Р),"618207 Верхний Баскунчак - 170км, 626504 Красный Кут - 136км",618921
 3625.,Кайшядорис,"Б 1,3",12 Лит,ТП,122803
 3626.,Кайыр (рзд),Б,68 Кзх,"660007 Кандыагаш - 214км, 669904 Шалкар - 59км",669730
 3627.,Кака,"П 1,2,4,9",75 Трк,"751309 Мары - 214км, 754609 Туркменбаши I (эксп.) - 689км",752001
 3628.,Какавадзор,О 3,56 Ю-Кав,568703 Иджеван - 75км,568506
 3629.,Каква,О,76 Сверд (Р),"772607 Гороблагодатская - 190км, 774706 Серов-Сортировочный - 8км",774320
 3630.,Какир,"О 1,8",73 Узбк,"740004 Коканд I - 11км, 743604 Андижан I - 125км",742207
 3631.,Какичев,Б 3,51 С-Кав (Р),"580003 Лихая - 43км, 588302 Морозовская - 107км",587600
 3632.,Кала,Х,55 Азерб,546808 Баладжары - 39км,547675
 3633.,Калакачан (рзд),Х,92 В-Сиб (Р),"917103 Новый Ургал - 2497км, 920002 Тайшет - 802км",903030
 3634.,Каланчак,"Б 1,3",40 Од (У),"417804 Херсон - 88км, 470007 Джанкой - 103км",419000
 3635.,Калары,О 3,83 З-Сиб (Р),860206 Новокузнецк-Восточный - 146км,866005
 3636.,Калач,"П 1,3",58 Ю-Вост (Р),"582005 Лиски - 193км, 584405 Поворино - 220км",583506
 3637.,Калачинская,"Б 1,2,3",83 З-Сиб (Р),"830304 Карбышево I - 84км, 833001 Татарская - 90км",832808
 3638.,Калаш,О,68 Кзх,"698004 Арыс 1 - 27км, 698606 Шымкент - 52км",698057
 3639.,Калашниково,"Б 1,3,6",01 Окт (Р),"050009 Бологое-Московское - 100км, 062100 Лихославль - 22км",062308
 3640.,Калашниковский (рзд),О,61 Прив (Р),"618207 Верхний Баскунчак - 186км, 626504 Красный Кут - 120км",618917
 3641.,Калвария,Б,12 Лит,"123003 Моцкава (эксп.) - 39км, 123408 Казлу-Руда - 41км",123840
 3642.,Калвене,О 3,09 Лат,"092801 Глуда - 118км, 098600 Лиепая - 46км",093503
 3643.,Каледино,"О 3,8н,10н",13 Бел,"137608 Лида - 122км, 162900 Молодечно - 6км",162807
 3644.,Калети,О,09 Лат,"099105 Приекуле - 16км, 099800 Калети (эксп.) - 4км",099124
 3645.,Калети (эксп.),,09 Лат,ТП,099800
 3646.,Калий I,"О 1,3,7,8н,10н",13 Бел,"138507 Барановичи-Центральные - 134км, 146407 Осиповичи I - 124км",148208
 3647.,Калий III,"О 3,8н,10н",13 Бел,"138507 Барановичи-Центральные - 128км, 146407 Осиповичи I - 118км",148301
 3648.,Калий IV,"О 3,8н,10н",13 Бел,"138507 Барановичи-Центральные - 144км, 146407 Осиповичи I - 134км",148509
 3649.,Калийная,Б,76 Сверд (Р),768118 Няр - 87км,769017
 3650.,Каликино,"Б 1,3",24 Горьк (Р),"260003 Нижний Новгород-Сортировочный - 37км, 267801 Котельнич I - 341км",265505
 3651.,Калининград-Пассажирский,П,10 Клг (Р),,100016
 3652.,Калининград-Сортировочный,"П К2н,1,2,3,4,5,",10 Клг (Р),ТП,100001
,,"8,8н,10,10н,11н,12н",,,
 3653.,Калининград-Сортировочный,,10 Клг (Р),,100302
,(перев.),,,,
 3654.,Калининград-Сортировочный,,10 Клг (Р),,100105
,(эксп.),,,,
 3655.,Калининдорф,Б,40 Од (У),"416106 Снигиревка - 20км, 466603 Апостолово - 86км",416303
 3656.,Калинино,О 3,61 Прив (Р),"584405 Поворино - 219км, 614206 Иловля I - 55км",613909
 3657.,Калинино-Сахалинское,П,96 Д-Вост (Р),"990005 Корсаков - 327км, 993304 Холмск - 22км",993159
 3658.,Калининск-Саратовский,"П 1,3,8н,10н,",61 Прив (Р),"608807 Аткарск - 85км, 620103 Трофимовский I - 157км",609104
,,"11н,12н",,,
 3659.,Калинковичи,"Б 1,3,4,8,10,11,",13 Бел,ТП,153808
,,12,,,
 3660.,Калино,"П 1,3",76 Сверд (Р),ТП,766108
 3661.,Калинов,О,35 Льв (У),"370006 Львов - 69км, 375705 Самбор - 9км",375847
 3662.,Калиновка I,"Б 1,3",32 Ю-Зап (У),"334103 Староконстантинов I - 122км, 335801 Винница - 23км, 342701 Казатин I - 41км",336804
 3663.,Калиновка II,О 3,32 Ю-Зап (У),,337402
 3664.,Калище,"Б 1,3,8н,10н,",01 Окт (Р),"034505 Лигово - 68км, 073603 Веймарн - 66км",074803
,,"11н,12н",,,
 3665.,Калкаман,"Б 1,3,8н,10н",68 Кзх,"694605 Екибастуз I - 57км, 696102 Павлодар - 75км, 709302 Жана-Семей - 404км, 709406",695400
,,,,               Семей - 409км,
 3666.,Калмаккырган,Б,68 Кзх,"660007 Кандыагаш - 62км, 661103 Макат - 330км",660327
 3667.,Калманка,Б 3,83 З-Сиб (Р),"840109 Барнаул - 42км, 843304 Локоть (эксп. на Рубцовск) - 264км",844608
 3668.,Калмык,П 3,58 Ю-Вост (Р),"582005 Лиски - 194км, 584405 Поворино - 31км",584208
 3669.,Калтан,Б 3,83 З-Сиб (Р),860206 Новокузнецк-Восточный - 31км,865106
 3670.,Калтахчи,Б 3,56 Ю-Кав,565809 Гюмри - 30км,565508
 3671.,Калуга I,"Б 1,3,4,5,8,10",17 Моск (Р),"188718 Муратовка - 15км, 210004 Плеханово - 126км",188205
 3672.,Калуга-Сергиев Скит,П 3,17 Моск (Р),"184204 Тихонова Пустынь - 12км, 185005 Сухиничи - 75км",184401
 3673.,Калуш,"П 1,3",35 Льв (У),"377408 Стрый - 66км, 388508 Хрыплин - 46км",387702
 3674.,Калфа (рзд),Б,39 Млд,"390001 Бендер I - 11км, 391207 Кишинэу - 49км",390616
 3675.,Кальмиус,Б 3,48 Дон (У),483806 Ларино - 25км,484207
 3676.,Кальмиус,Б 3,89 89-я дорога,"899117 Ларино - 25км, 897003 Ясиноватая - 8км",899507
 3677.,Кальненай,Б,12 Лит,"123107 Каунас - 23км, 124504 Гайжюнай - 13км",124608
 3678.,Кальпе,О 3,68 Кзх,"700505 Жетыген - 242км, 708009 Актогай - 272км, 708507 Достык (эксп.) - 579км",702002
 3679.,Кальчик,О 3,48 Дон (У),"484601 Мариуполь-Порт - 34км, 486202 Волноваха - 44км",485708
 3680.,Кальчик,О 3,89 89-я дорога,"900704 Волноваха - 44км, 899600 Мариуполь-Порт - 34км",900301
 3681.,Калязин,"П 1,3",01 Окт (Р),051106 Сонково - 76км,050508
 3682.,Калязин-Пост,О,01 Окт (Р),051106 Сонково - 75км,050457
 3683.,Калякурья (рзд),О,28 Сев (Р),285801 Сосногорск - 375км,288422
 3684.,Кама,Б 3,24 Горьк (Р),ТП,257000
 3685.,Кама (перев.),,24 Горьк (Р),254905 Агрыз - 84км,257104
 3686.,Кама (эксп.),,24 Горьк (Р),,257208
 3687.,Камала,Б 3,88 Крас (Р),"892705 Уяр - 54км, 920002 Тайшет - 233км",893200
 3688.,Камарчага,П 3,88 Крас (Р),"880002 Ачинск I - 268км, 892705 Уяр - 49км",892508
 3689.,Камаши,"П 1,2,3,4,9,10",73 Узбк,"733208 Кашкадарья - 88км, 734408 Нишан (эксп.) - 138км",733808
 3690.,Камбарка,"Б 1,3,6",24 Горьк (Р),"257000 Кама - 10км, 782505 Дружинино - 392км",257405
 3691.,Каменец-Подольский,"Б 1,3,4,8",32 Ю-Зап (У),"333702 Ярмолинцы - 67км, 367605 Ларга - 40км",332907
 3692.,Каменица-Волынская,Б,35 Льв (У),"350002 Здолбунов - 49км, 379809 Красне - 95км",350318
 3693.,Каменище,Б,24 Горьк (Р),"244208 Арзамас II - 81км, 248105 Канаш - 174км",244710
 3694.,Каменка,"Б 1,3",40 Од (У),"411102 Чернолесская - 53км, 420008 Им. Тараса Шевченко - 24км",422906
 3695.,Каменка,О,58 Ю-Вост (Р),"591907 Грязи-Воронежские - 64км, 600006 Кочетовка I - 4км",600044
 3696.,Каменка,Б,61 Прив (Р),"620508 Саратов II-Товарный - 130км, 621801 Петров Вал - 71км",621515
 3697.,Каменка-Бугская,П 1,35 Льв (У),"359007 Киверцы - 139км, 370909 Сапежанка - 3км",370100
 3698.,Каменная,Б,13 Бел,"130308 Брест-Полесский - 12км, 132106 Хотислав (эксп.) - 45км",130914
 3699.,Каменная Речка,Б,88 Крас (Р),"892705 Уяр - 423км, 920002 Тайшет - 262км",895510
 3700.,Каменногорск,"Б 1,3",01 Окт (Р),"020004 Выборг - 40км, 021901 Светогорск (эксп.) - 27км, 022404 Хийтола - 53км",021702
